postId,post_title,posting_score_numeric,exposure_score,score_가독성,score_주제,score_콘텐츠,score_키워드,score_형태소,score_후기/정보,content_with_space,word_count,valid_images,invalid_images,non_brand_inflow,non_brand_average_C
223277112963,동탄 치과 송곳니 충치는 레진으로 당일 치료 !,6,48.13,73.94,75.61,68.99,87.91,56.28,84.0,2209.0,171.0,0.0,5.0,856,0.03050324056389057
223577753077,"""이가 깨졌어요 발치 해야 되나요?""깨진 앞니 레진 수복으로 해결한 케이스 동탄동 치과",5,37.71,77.84,67.71,59.89,81.87,64.54,79.0,1643.0,108.0,0.0,4.0,536,0.02282795330809008
223314621811,동탄2치과 '치수 절단술(pulpotomy)'로 자연치아 살리기,5,36.47,75.29,75.29,59.96,81.6,64.97,14.0,1632.0,121.0,2.0,8.0,437,0.008143323399367885
223298901342,동탄치과 재신경치료 기간 / 과정 / 후기를 담은 글,5,36.47,77.6,76.0,59.57,83.26,59.97,70.0,1558.0,103.0,2.0,9.0,368,0.04311245354040678
223205080746,"""교정 중인데 이가 까맣게 변했어요."" 변색 원인 및 치료 과정 동탄 내이튼 치과",5,37.71,77.81,70.22,66.82,81.06,71.52,55.0,1233.0,82.0,2.0,3.0,225,0.050112774399136
223733898487,앞니 벌어짐 어떤 방법으로 해결할 수 있을까? 동탄2 치과 에서 자연스러운 모습으로 개선한 증례,5,37.71,78.91,66.28,59.14,34.12,58.01,13.0,1586.0,108.0,2.0,1.0,336,0.007382751760402722
223630259710,화성 치과 앞니 신경치료 후 잇몸 변색과 뿌리 염증이 나타났다? 치아 발치 후 브릿지로 해결한 사례,5,37.71,76.76,66.74,61.88,83.67,67.82,87.0,1864.0,119.0,3.0,2.0,270,0.07053017360914093
223357699582,이가 안으로 들어가는 '함입 외상 (Intrusion injury)' 화성 치과 신경치료로 신경 및 혈관 손상 개선,5,36.47,75.36,70.56,66.9,79.73,67.88,81.0,2078.0,132.0,2.0,7.0,239,0.005111623529490946
223469003670,"동탄치과, 보존과 전문의의 재신경치료 과정! 이렇게 해야합니다!",5,37.71,76.24,66.81,63.32,81.15,46.93,18.0,1959.0,144.0,2.0,3.0,228,0.06710168992633023
223278935005,"오래된 아말감과 2차 충치 한 번에 레진 인레이로 교체, 동탄 치과",5,37.71,76.74,70.78,73.98,79.96,53.78,90.0,2628.0,193.0,1.0,5.0,213,0.020310601462503755
223619831819,"치주염으로 인한 앞니 잇몸 퇴축, 치과 에서 치아 브릿지 교체와 치주 치료로 해결한 사례",5,37.71,79.88,66.31,59.82,82.77,66.8,16.0,1630.0,119.0,1.0,2.0,163,0.016537316067797583
223167068424,"타원 발치 진단을 받은 치아, 보존과 전문의의 신경치료로 자연치아 살리기! 동탄치과추천",5,37.71,74.8,66.93,60.72,79.72,56.58,21.0,1739.0,111.0,1.0,5.0,203,0.04908980852078434
223236128970,"""이가 썩은 거 같아요!"" 소구치 인접면, 교합면 동탄 충치치료 과정",5,37.71,79.23,71.99,59.38,80.01,57.24,15.0,1563.0,101.0,0.0,4.0,195,0.01918236647879349
223199107505,"금이 간 어금니, 동탄치과 크랙 치아 신경치료 및 크라운 수복 과정",5,37.71,76.04,72.46,69.62,83.29,65.53,16.0,1496.0,111.0,1.0,4.0,190,0.02392437952972204
223269220996,"잇몸에 가득 찬 염증, 대학병원 가지 않고 화성치과 재신경치료로 개선 완료",5,36.47,74.0,69.52,59.38,82.47,58.35,64.0,1529.0,108.0,2.0,6.0,188,0.03279416630695114
223232140530,미세현미경을 사용한 동탄역치과 고난도 재신경치료 케이스!,5,36.47,78.14,76.8,69.09,81.7,56.17,67.0,1480.0,100.0,5.0,5.0,137,0.01261003427351781
