club_id,cafe_name,count,total_count,percentage,view,membercount
10050813,카페 파우더룸 [ 화장품.뷰티.쇼핑.일상 ],3,3,100.0,1587,1941995
10070820,"나트랑도깨비-베트남나트랑자유여행,무이네,달랏,맛집,호텔,투어",2,2,100.0,243,1023021
10094499,"맘스홀릭 베이비 (350만 엄마들의 임신, 육아 지식in 카페)",9,9,100.0,1673,3536750
10100874,"동탄맘[동탄맘들모여라,동탄맘,동투맘,동탄2신도시,동탄,화성]",19,19,100.0,3596,51078
10211896,"백조&백수의 희망만들기_취업,구인,구직,이력서,자소서,면접",1,1,100.0,26,96600
10258021,"강사모-반려견 훈련 교육법, 강아지 종류 유기견 입양 방법 안내",3,3,100.0,1009,1988458
10288937,코기러브[한국웰시코기클럽],1,1,100.0,422,32432
10298136,"레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아,커뮤니티]",5,5,100.0,867,3008068
10322296,ㆍ피터팬의 좋은방 구하기ㆍ,1,1,100.0,100,3053936
10505621,[죽방] 죽전보정마북구성동백 엄마들의 카페,1,1,100.0,493,35037
10912875,『여우야』뷰티카페 (성형수술/화장품/성형후기/이벤트/체험단),3,3,100.0,1520,2005086
11121149,용광맘(용인맘 광교맘 수원맘 수지맘 분당맘 판교 동탄맘 안성맘,16,16,100.0,4468,328522
11262350,●디젤매니아● 대한민국 일등 패션 커뮤니티 디매인 DMAIN,1,1,100.0,139,1140371
11291786,"임산부모여라 알럽맘-임신,출산,육아,이벤트,공구,실비,태아보험",1,1,100.0,0,430688
11397348,상가뉴스레이다,1,1,100.0,9,10678
11427205,청소동우회,4,4,100.0,895,97967
11833155,철도청[치아턱교정치과보험양악수술임플란트미백돌출입안티성형],58,58,100.0,12722,624105
12026840,"독공사★공무원카페,9급7급공무원,PSAT,군무원,계리직,사회복지",2,2,100.0,1080,885593
12285441,"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",7,7,100.0,923,624917
12567918,행복한 이야기 카페,20,20,100.0,1014,3038
12730407,부동산 스터디',19,19,100.0,947,2187657
12767397,[ 부동산몬스터 ] 개발사업.분양대행.시행.분양상담사.분양광고,1,1,100.0,16,29851
12877516,용인 한보라마을,3,3,100.0,885,17633
12905973,◆동탄맘들 모여라,124,124,100.0,69557,323100
12988928,오산맘들의 스토리(오맘스),1,1,100.0,89,40065
13047793,용인맘 모여라♥1위 맘카페-광교맘 분당맘 수지맘 기흥맘 처인맘,1,1,100.0,48,360807
13070027,"다낭 고스트 - 베트남 다낭자유여행 ,다낭여행,맛집,호텔리조트",1,1,100.0,236,889160
13276223,♬~수원맘 모여라,5,5,100.0,2448,378347
13607041,아름다운 여인들 치과위생사,1,1,100.0,76,13911
13680385,보라카이 드보라 자유여행,1,1,100.0,29,68949
13692492,♥유방암 이야기♥ [유방암/수술/치료/유방재건/친목] 대표카페,1,1,100.0,782,187156
13886818,안녕 서울,29,29,100.0,2261,1694
13903827,"푸꾸옥 도깨비- 베트남 푸꾸옥 자유여행,호텔리조트,항공권,맛집",2,2,100.0,840,341671
13908132,청소야 놀자 [전국청소전문가모임]청소무료교육모임카페동우회,1,1,100.0,9,12732
14435163,프리도그-강아지무료분양 고양이무료분양 유기견무료분양 사이트,1,1,100.0,111,357055
14819076,한국노르딕워킹센터(KNWC),1,1,100.0,0,1503
14911692,명품 치과위생사,3,3,100.0,1207,79172
14985149,타일마켓_타일시공 견적비교&셀프인테리어,1,1,100.0,960,855
15061734,[용인맘] 용인엄마들의 모임,1,1,100.0,182,70817
15194989,분따 - 분당.판교.위례 따라잡기,1,1,100.0,0,262406
15240504,"지후맘-임신, 출산, 육아정보, 체험단,이벤트 광고,아기용품공구",1,1,100.0,0,465380
15542115,정관진 제3군단,1,1,100.0,19,2414
15579944,♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),5,5,100.0,4232,48448
15588492,오큐소프트 카페,1,1,100.0,7,1050
15630388,바른탑치과 남양점 * 치아건강 지킴이,1,1,100.0,22,313
15654813,산화스트레스와SOD,1,1,100.0,7,744
15724392,미즈넷-임신 육아 임산부 교육 뷰티 아기용품 핫딜 리뷰 체험단,1,1,100.0,82,332032
15754634,"스펙업｜취업,대학생,인턴,대기업,GSAT,대외활동,공모전,스펙",3,3,100.0,1120,2152707
15856367,슬랜더톤,1,1,100.0,0,737
15877415,데드라이엠푸드(이고시다카페) - 데드라(Dedra EM Food),1,1,100.0,2,804
15880379,"가아사(성형카페,피부,동안,재수술정보공유)",1,1,100.0,90,364184
16203348,"[정성쿡]외식창업아카데미/음식점,호프,포차,식당,치킨,고기창업",1,1,100.0,5,15887
16555151,통큰자유,1,1,100.0,9,165
16635819,양심치과 정보 한눈에 보기,10,10,100.0,253,3009
16996348,"독취사-취업,대학생,대기업,공기업,GSAT,NCS,인턴,공모전,토익",1,1,100.0,133,3440028
17149780,▶▶동탄맘스모여라◀◀,4,4,100.0,371,17952
17157963,『재잘재잘』재수술 잘해보자-성형외과 안과 치과 피부과 화장품,4,4,100.0,1856,121013
17373998,"베나자-베트남나트랑자유여행,달랏,무이네,호텔,투어,리조트맛집",1,1,100.0,207,1076612
17697338,건강지킴이들의모임,13,13,100.0,277,3079
17728831,건강이 행복이다,3,3,100.0,62,6027
17902534,[거북맘vs토끼맘]아동심리/언어치료센터/ADHD/틱/발달장애/상담,1,1,100.0,162,337071
17902928,신동탄 반월맘 모여라!,1,1,100.0,102,4137
18103359,인생 유통기한 변경 유튜브 커뮤니티,5,5,100.0,219,9372
18496353,인천맘 부평맘 톡톡 (부평 부개 삼산 산곡 청천 갈산 ),13,13,100.0,845,1909
18769195,"경남개인회생,경남개인파산 전문 법무법인 율인",1,1,100.0,43,2447
18824112,병점맘 스토리,22,22,100.0,6731,55167
18935280,선침패치&디톡스패치,1,1,100.0,14,969
18947600,완정 사랑 이야기,2,2,100.0,7,798
18997605,패밀리세일,1,1,100.0,144,446922
19180393,내소원內瀟園,1,1,100.0,0,780
19308021,"맘스톡톡 - 엄마들의 이야기 (육아정보,체험단,홈스쿨,돌잔치)",1,1,100.0,446,130517
19476767,오산 세교맘들의 동행,9,9,100.0,3020,38187
19861665,에브리뷰핏 - 세상의모든 리뷰&커뮤니티 카페,2,2,100.0,1093,3028
19886439,수원맘스토리♥영통 권선 장안 팔달 광교맘카페-동탄 오산 화성,1,1,100.0,48,168508
20024373,피티스(onpts)온라인퍼스널트레이닝,1,1,100.0,2,1409
20091703,"미엘맘스비 No.1 안성,평택,고덕 육아커뮤니티 / 안평맘",2,2,100.0,581,83126
20154241,"향남맘카페_네이버 대표 향남맘 카페(향남1,향남2지구,향남엄마)",4,4,100.0,1272,29255
20308773,알고가자 동네병원,1,1,100.0,27,481
20548201,"급매물과 반값매매-부동산,창업 투자,구인구직,유통,라이프정보",4,4,100.0,1077,887482
20635410,생활의 모든 정보! 개꿀딱 커뮤니케이션!,1,1,100.0,6,18720
20682796,당뇨친구(1형당뇨/2형당뇨/임신당뇨/당뇨학교/당뇨연합),1,1,100.0,557,6036
20902646,동탄2신도시 / 고덕신도시 부동산이야기 & 상가분양정보,1,1,100.0,53,54
21600445,평택과 고덕신도시 내집마련 부동산과 분양정보 [올어바웃평택],1,1,100.0,371,131231
21749336,"십자인대 및 무릎환자(연골판,관절연골,관절염)치료/재활 모임",1,1,100.0,1562,98014
21822361,화성시 맛집 정보 지역꿀팁,1,1,100.0,49,18955
21970463,드림성형외과/안면윤곽/눈성형/코성형/지방이식/가슴성형/리프팅,1,1,100.0,0,2711
22305183,뷰메랑 :: [뷰티&메디컬&라이프&리뷰&체험&핫딜&건강],1,1,100.0,139,30852
22457457,네이버No.1 이명극복 고군분투 성장기 카페,1,1,100.0,527,101262
22487277,"♧건강한 마을♧(친환경,유기농,건강식품,다이어트,효소,오가닉)",3,3,100.0,232,797
22507132,일상정보 공유 카페,13,13,100.0,698,3461
22630643,난치성 피부질환 완전정복,1,1,100.0,0,910
22681220,인천맘 쏙 (인천 부평 계양 작전 서구 청라),15,15,100.0,709,3434
22862667,치건사모 - 치과 건강보험을 사랑하는 모임,14,14,100.0,2689,79093
23394851,"간대모│임상, 대학원, 보험심사/건보/공무원, 산업/연구 간호사",1,1,100.0,304,122776
23491849,◈EV4 공식 동호회◈ 기아 『클럽 EV4』 대표카페,3,3,100.0,8,84353
23877303,◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,2,2,100.0,17,791
23989226,선천성모반을 완치하는 그날까지,1,1,100.0,882,101396
24081850,일등맘 수다방,1,1,100.0,737,158758
24095040,동탄2신도시 분양 정보 & 경기 남부&진안 부동산 투자 정보,41,41,100.0,22108,224562
24137083,"메디칼리뷰 - 전문 의료 정보, 고급 의료 정보, 의료전문 상담",1,1,100.0,2,788
24146661,수원 아이파크시티맘,1,1,100.0,324,4258
24161771,인생 하프타임,17,17,100.0,644,3171
24382523,안평맘 ♥ 평택 안성 1위 맘카페-평택맘 안성맘 고덕맘 오산맘,8,8,100.0,1958,173456
24502148,ㅣ의사이야기ㅣ병원개원 A to Z,16,16,100.0,2319,16210
24524198,메디114 ▶ 성공개원과 병원성장을 위한 의사소통 플랫폼,21,21,100.0,3759,33427
24558872,iNG 요가&플라잉요가 연희점,1,1,100.0,21,751
24621251,<오행공> 오산맘들의 행복한 공간,21,21,100.0,8575,45039
24660992,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣,223,223,100.0,138236,154649
24767342,설탕보다 나트라비아!! 천연 스테비아 입니다.,1,1,100.0,6,1099
24821657,"서울삼성병원, 대학교수출신 교정 전문의, 30년 경력 경승현치과",109,109,100.0,5347,1102
24826558,세상 모든 정보 여기에,4,4,100.0,79,2849
24885887,척추질환 환우모임 [국내 최대의 모든 척추 관련 커뮤니티 공간],3,3,100.0,502,465380
24940962,크리닉 석세스 가이드의 의료상권조사,11,11,100.0,14,16
25016228,"국내1위 다이어트 커뮤니티 씨씨앙(식단,운동,후기,헬스,체험단)",2,2,100.0,1027,542376
25070018,시흥 배곧신도시 총연합회,1,1,100.0,699,93039
25082827,치아모 :: 치아 건강정보 모음,3,3,100.0,37,523
25159465,건강한 방법,1,1,100.0,0,8604
25273665,아반강고 힐링카페 아픈 반려 강아지와 고양이를 위한 힐링카페,2,2,100.0,480,299126
25455369,동탄 부동산 현재와미래,2,2,100.0,372,48417
25519541,이가득 - 치아검진/충치치료/임플란트/치아교정/라미네이트/ETC,1,1,100.0,20,12133
25585583,"부지런한 사장님 - 소상공인,병원,학원,이미용,온라인전단지",3,3,100.0,302,10294
25617002,"레몬테라쓰 [인테리어,리폼,DIY,결혼,육아,요리]",1,1,100.0,43,815
25843751,(화성태안3지구)안녕 송산맘 모여라♬,1,1,100.0,829,8986
26329657,에코짐ecogym,3,3,100.0,198,903
