cafe_name,cafe_nickname,membercount
"서울삼성병원, 대학교수출신 교정 전문의, 30년 경력 경승현치과",azeratgxz,1102
안녕 서울,qnaclub,1694
♥유방암 이야기♥ [유방암/수술/치료/유방재건/친목] 대표카페,uvacenter,187156
동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣,dongtantwomom,154649
경매아라누리,johnadan1741,150
동탄2신도시 분양 정보 & 경기 남부&진안 부동산 투자 정보,ehdxks2,224562
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,2933coco,1229
"동탄맘♡동탄스토리 [동탄1,2신도시 동탄맘들의 카페]",minskin7679,49699
병점맘 스토리,bgga,55167
용광맘(용인맘 광교맘 수원맘 수지맘 분당맘 판교 동탄맘 안성맘,junkart,328522
◆동탄맘들 모여라,dongtanmom,323100
철도청[치아턱교정치과보험양악수술임플란트미백돌출입안티성형],chuldo,624105
명품 치과위생사,1stdh,79172
e편한세상 용인 한숲시티 입주민 대표 카페,forestcitypeople,19547
"십자인대 및 무릎환자(연골판,관절연골,관절염)치료/재활 모임",aclknee,98014
"미엘맘스비 No.1 안성,평택,고덕 육아커뮤니티 / 안평맘",magic26,83126
"동탄맘[동탄맘들모여라,동탄맘,동투맘,동탄2신도시,동탄,화성]",eulkwan,51078
청소동우회,clean365,97967
메디114 ▶ 성공개원과 병원성장을 위한 의사소통 플랫폼,kfpsdotcom,33427
코기러브[한국웰시코기클럽],corgilove,32432
수원 망포맘,orangetoak4,16758
ㅣ의사이야기ㅣ병원개원 A to Z,icompanion,16210
<오행공> 오산맘들의 행복한 공간,ohanggong,45039
"맘스홀릭 베이비 (350만 엄마들의 임신, 육아 지식in 카페)",imsanbu,3536750
♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),hnmom,48448
수원여대 치위생과,cldnltodrhkghkdlxld,2464
치건사모 - 치과 건강보험을 사랑하는 모임,chigunsamo,79093
카페 파우더룸 [ 화장품.뷰티.쇼핑.일상 ],cosmania,1941995
개원비밀공간,anesinformation,7167
(치아)를 사랑하는 사람들 모임,victory009,3
일상정보 공유 카페,gozldwns123,3461
타일마켓_타일시공 견적비교&셀프인테리어,officenara,855
행복한 이야기 카페,ucando44,3038
부동산 스터디',jaegebal,2187657
선천성모반을 완치하는 그날까지,moban7,101396
덴탈잡코리아,dentaljobkorea,7879
화성맘♥경기도 화성시 육아 맘카페♥동탄 신도시,focsa,79569
"가아사(성형카페,피부,동안,재수술정보공유)",luxury009,364184
인천맘 부평맘 톡톡 (부평 부개 삼산 산곡 청천 갈산 ),koo0959,1909
"임산부모여라 알럽맘-임신,출산,육아,이벤트,공구,실비,태아보험",15668981,430688
건강한 방법,5513135,8604
"부지런한 사장님 - 소상공인,병원,학원,이미용,온라인전단지",hackseason1,10294
◈EV4 공식 동호회◈ 기아 『클럽 EV4』 대표카페,clubng,84353
"모두의건강[성형외과,안과,치과,피부과,한의원,병원, 정보공유",everyhealthtime,1311
"탈다이어트, 행복은 내가 알아차릴 때 비로소 존재하는 것",roloc,1131
오산 세교맘들의 동행,sekoymom,38187
