cafe_name,clinic_name,positive,neutral,negative
<오행공> 오산맘들의 행복한 공간,내이튼치과의원,1,1,0
<오행공> 오산맘들의 행복한 공간,네이버치과의원,0,3,0
<오행공> 오산맘들의 행복한 공간,동탄CL치과의원,0,1,0
<오행공> 오산맘들의 행복한 공간,마이홈치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,새로미치과의원,0,0,1
<오행공> 오산맘들의 행복한 공간,서울삼성치과교정과치과의원,1,1,0
<오행공> 오산맘들의 행복한 공간,세교아이들치과의원,0,1,0
<오행공> 오산맘들의 행복한 공간,애플치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,연세바로치과교정과치과의원,5,3,0
<오행공> 오산맘들의 행복한 공간,연세참예쁜치과교정과치과의원 동탄,1,0,0
<오행공> 오산맘들의 행복한 공간,예나치과교정과치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,오산디에스치과의원,0,1,0
<오행공> 오산맘들의 행복한 공간,오산본플란트치과의원,1,1,0
<오행공> 오산맘들의 행복한 공간,유노부부치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,유노치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,유디치과의원 동탄점,1,0,0
<오행공> 오산맘들의 행복한 공간,유림치과병원,1,1,0
<오행공> 오산맘들의 행복한 공간,이루다치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,이젤치과의원,8,2,0
<오행공> 오산맘들의 행복한 공간,코코치과교정과치과의원,0,1,0
<오행공> 오산맘들의 행복한 공간,하이치과의원,1,0,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",스노우치과의원,1,0,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",연세윤손치과의원,0,1,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",플란치과의원 경기 동탄점,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,경승현치과 교정과 치과의원 동탄,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,동탄아이비치과의원,1,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,미소자인교정치과의원,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,바른이턱치과의원 동탄점,0,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,바른이턱치과의원 동탄점,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,아는치과의원,0,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,연세윤손치과의원,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,플란치과의원 경기 동탄점,1,0,0
[용인맘] 용인엄마들의 모임,단국대학교 죽전치과병원,1,0,0
[죽방] 죽전보정마북구성동백 엄마들의 카페,연세고운미소치과의원,1,0,0
e편한세상 용인 한숲시티 입주민 대표 카페,더라인치과의원,0,1,0
e편한세상 용인 한숲시티 입주민 대표 카페,더사랑치과의원,1,0,0
e편한세상 용인 한숲시티 입주민 대표 카페,연세바로치과교정과치과의원,2,1,0
e편한세상 용인 한숲시티 입주민 대표 카페,예나치과교정과치과의원,1,0,0
e편한세상 용인 한숲시티 입주민 대표 카페,코코치과교정과치과의원,0,2,0
e편한세상 용인 한숲시티 입주민 대표 카페,한림대학교동탄성심병원,0,1,0
e편한세상 용인 한숲시티 입주민 대표 카페,한숲치과의원,1,0,1
iNG 요가&플라잉요가 연희점,동탄하나로치과의원,1,0,0
iNG 요가&플라잉요가 연희점,바로드림치과의원,0,1,0
▶▶동탄맘스모여라◀◀,경승현치과 교정과 치과의원 동탄,5,0,0
▶▶동탄맘스모여라◀◀,연세윤손치과의원,1,0,0
◆동탄맘들 모여라,365라온누리치과의원,1,0,0
◆동탄맘들 모여라,가톨릭대학교 성빈센트병원,0,1,0
◆동탄맘들 모여라,경승현치과 교정과 치과의원 동탄,0,1,0
◆동탄맘들 모여라,광교365리움치과병원 수원,1,0,0
◆동탄맘들 모여라,내이튼치과의원,17,0,0
◆동탄맘들 모여라,닥터스마일치과의원,1,0,0
◆동탄맘들 모여라,당신을위한치과의원,0,1,0
◆동탄맘들 모여라,더바른치과의원,3,3,1
◆동탄맘들 모여라,동탄CL치과의원,0,0,1
◆동탄맘들 모여라,동탄굿모닝치과의원,1,0,0
◆동탄맘들 모여라,동탄본치과의원,1,0,0
◆동탄맘들 모여라,동탄서울에스치과의원,1,1,0
◆동탄맘들 모여라,동탄센트럴치과병원,14,6,0
◆동탄맘들 모여라,동탄아는치과의원,1,1,0
◆동탄맘들 모여라,동탄안심치과의원,1,0,0
◆동탄맘들 모여라,동탄연세세브란스치과의원,4,0,0
◆동탄맘들 모여라,동탄예치과의원,5,0,0
◆동탄맘들 모여라,동탄온가족치과의원,1,0,0
◆동탄맘들 모여라,동탄주치과의원,1,0,0
◆동탄맘들 모여라,동탄키즈사랑소아치과의원,1,0,1
◆동탄맘들 모여라,동탄탑치과의원,13,2,0
◆동탄맘들 모여라,동탄하나로치과의원,1,0,0
◆동탄맘들 모여라,동탄휴치과의원,1,0,0
◆동탄맘들 모여라,디유치과의원,2,1,0
◆동탄맘들 모여라,레이크치과의원,1,0,0
◆동탄맘들 모여라,로덴치과의원,2,2,0
◆동탄맘들 모여라,로미오치과교정과치과의원 수원영통,0,1,0
◆동탄맘들 모여라,마이플란트치과의원 동탄,1,0,0
◆동탄맘들 모여라,맑은린치과의원,3,0,0
◆동탄맘들 모여라,메타폴리스치과의원,2,2,0
◆동탄맘들 모여라,모아치과의원,1,0,0
◆동탄맘들 모여라,미소자인교정치과의원,0,2,0
◆동탄맘들 모여라,미프라임치과의원,1,0,1
◆동탄맘들 모여라,바른이턱치과의원 동탄점,1,2,0
◆동탄맘들 모여라,바른이턱치과의원 동탄점,2,2,0
◆동탄맘들 모여라,벗치과의원,5,1,0
◆동탄맘들 모여라,베스트치과의원,3,2,0
◆동탄맘들 모여라,사랑니톡앤턱치과의원,2,0,0
◆동탄맘들 모여라,서울굿플란트치과의원톡톡,0,1,0
◆동탄맘들 모여라,서울라미플란트치과교정과치과의원,0,1,0
◆동탄맘들 모여라,서울베스트치과의원 동탄점,1,0,0
◆동탄맘들 모여라,서울삼성치과교정과치과의원,2,2,0
◆동탄맘들 모여라,서울안지연치과교정과치과의원,1,0,0
◆동탄맘들 모여라,서울웰치과의원,0,1,0
◆동탄맘들 모여라,서울이로움치과의원,0,1,0
◆동탄맘들 모여라,서울팀치과의원,2,0,0
◆동탄맘들 모여라,세교아이들치과의원,1,0,0
◆동탄맘들 모여라,스마트치과의원,0,2,0
◆동탄맘들 모여라,아름다운턱치과의원,3,1,1
◆동탄맘들 모여라,아이끌림치과의원,1,0,0
◆동탄맘들 모여라,아주대학교병원,0,1,0
◆동탄맘들 모여라,에코플러스,0,2,0
◆동탄맘들 모여라,연세다건치과,4,1,0
◆동탄맘들 모여라,연세바로치과교정과치과의원,29,8,0
◆동탄맘들 모여라,연세선이고은치과의원,2,2,0
◆동탄맘들 모여라,연세윤손치과의원,4,2,0
◆동탄맘들 모여라,연세참예쁜치과교정과치과의원 동탄,4,2,0
◆동탄맘들 모여라,예나치과교정과치과의원,0,1,0
◆동탄맘들 모여라,이미지치과의원,0,1,0
◆동탄맘들 모여라,이즈치과의원,24,1,0
◆동탄맘들 모여라,채움치과의원 동탄,4,3,0
◆동탄맘들 모여라,코코치과교정과치과의원,3,1,0
◆동탄맘들 모여라,플란치과의원 경기 동탄점,5,11,0
◆동탄맘들 모여라,행복을심는치과의원,0,1,0
◆동탄맘들 모여라,행복한치과의원,1,2,0
◈EV4 공식 동호회◈ 기아 『클럽 EV4』 대표카페,동탄센트럴치과병원,0,1,0
◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,서울라미플란트치과교정과치과의원,0,1,0
◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,연세윤손치과의원,0,1,0
◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,유디치과의원 동탄점,0,1,0
◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,이즈치과의원,0,1,0
◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,채움치과의원 동탄,0,1,0
♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),더휴치과,1,0,0
♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),동탄센트럴치과병원,0,1,0
♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),아주대학교병원,0,2,0
♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),연세바로치과교정과치과의원,1,0,0
♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),한림대학교동탄성심병원,0,1,0
"♧건강한 마을♧(친환경,유기농,건강식품,다이어트,효소,오가닉)",경승현치과 교정과 치과의원 동탄,0,1,0
"♧건강한 마을♧(친환경,유기농,건강식품,다이어트,효소,오가닉)",서울라미플란트치과교정과치과의원,0,1,0
"♧건강한 마을♧(친환경,유기농,건강식품,다이어트,효소,오가닉)",채움치과의원 동탄,0,1,0
♬~수원맘 모여라,로미오치과교정과치과의원 수원영통,0,1,0
♬~수원맘 모여라,아름다운턱치과의원,0,1,0
♬~수원맘 모여라,영통주니어치과의원,1,0,0
『여우야』뷰티카페 (성형수술/화장품/성형후기/이벤트/체험단),동탄센트럴치과병원,1,1,0
『여우야』뷰티카페 (성형수술/화장품/성형후기/이벤트/체험단),플란치과의원 경기 동탄점,3,0,0
『재잘재잘』재수술 잘해보자-성형외과 안과 치과 피부과 화장품,뉴엔치과의원톡톡,1,0,0
『재잘재잘』재수술 잘해보자-성형외과 안과 치과 피부과 화장품,연세윤손치과의원,2,0,0
『재잘재잘』재수술 잘해보자-성형외과 안과 치과 피부과 화장품,원데이치과의원,1,0,0
『재잘재잘』재수술 잘해보자-성형외과 안과 치과 피부과 화장품,플란치과의원 경기 동탄점,4,0,0
"가아사(성형카페,피부,동안,재수술정보공유)",동탄센트럴치과병원,1,0,0
"가아사(성형카페,피부,동안,재수술정보공유)",플란치과의원 경기 동탄점,1,0,0
"강사모-반려견 훈련 교육법, 강아지 종류 유기견 입양 방법 안내",동탄365나무치과의원,0,1,0
건강이 행복이다,동탄센트럴치과병원,1,0,0
건강지킴이들의모임,동탄센트럴치과병원,6,1,0
경매아라누리,당신을위한치과의원,0,1,0
경매아라누리,동탄리즈치과의원,0,4,0
경매아라누리,동탄아이비치과의원,0,4,0
