club_id,cafe_name,count,total_count,percentage
10050813,카페 파우더룸 [ 화장품.뷰티.쇼핑.일상 ],3,3,100.0
10070820,"나트랑도깨비-베트남나트랑자유여행,무이네,달랏,맛집,호텔,투어",2,2,100.0
10094499,"맘스홀릭 베이비 (350만 엄마들의 임신, 육아 지식in 카페)",9,9,100.0
10100874,"동탄맘[동탄맘들모여라,동탄맘,동투맘,동탄2신도시,동탄,화성]",22,22,100.0
10211896,"백조&백수의 희망만들기_취업,구인,구직,이력서,자소서,면접",1,1,100.0
10258021,"강사모-반려견 훈련 교육법, 강아지 종류 유기견 입양 방법 안내",3,3,100.0
10288937,코기러브[한국웰시코기클럽],1,1,100.0
10298136,"레몬테라스 [인테리어,리폼,DIY,요리,결혼,육아,커뮤니티]",6,6,100.0
10322296,ㆍ피터팬의 좋은방 구하기ㆍ,1,1,100.0
10505621,[죽방] 죽전보정마북구성동백 엄마들의 카페,1,1,100.0
10912875,『여우야』뷰티카페 (성형수술/화장품/성형후기/이벤트/체험단),3,3,100.0
11121149,용광맘(용인맘 광교맘 수원맘 수지맘 분당맘 판교 동탄맘 안성맘,17,17,100.0
11262350,●디젤매니아● 대한민국 일등 패션 커뮤니티 디매인 DMAIN,1,1,100.0
11291786,"임산부모여라 알럽맘-임신,출산,육아,이벤트,공구,실비,태아보험",1,1,100.0
11397348,상가뉴스레이다,1,1,100.0
11427205,청소동우회,4,4,100.0
11833155,철도청[치아턱교정치과보험양악수술임플란트미백돌출입안티성형],58,58,100.0
12026840,"독공사★공무원카페,9급7급공무원,PSAT,군무원,계리직,사회복지",3,3,100.0
12285441,"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",7,7,100.0
12567918,행복한 이야기 카페,23,23,100.0
12730407,부동산 스터디',19,19,100.0
12767397,[ 부동산몬스터 ] 개발사업.분양대행.시행.분양상담사.분양광고,1,1,100.0
12877516,용인 한보라마을,3,3,100.0
12905973,◆동탄맘들 모여라,127,127,100.0
12988928,오산맘들의 스토리(오맘스),1,1,100.0
13047793,용인맘 모여라♥1위 맘카페-광교맘 분당맘 수지맘 기흥맘 처인맘,1,1,100.0
13070027,"다낭 고스트 - 베트남 다낭자유여행 ,다낭여행,맛집,호텔리조트",2,2,100.0
13276223,♬~수원맘 모여라,5,5,100.0
13607041,아름다운 여인들 치과위생사,1,1,100.0
13680385,보라카이 드보라 자유여행,2,2,100.0
13692492,♥유방암 이야기♥ [유방암/수술/치료/유방재건/친목] 대표카페,1,1,100.0
13886818,안녕 서울,30,30,100.0
13903827,"푸꾸옥 도깨비- 베트남 푸꾸옥 자유여행,호텔리조트,항공권,맛집",3,3,100.0
13908132,청소야 놀자 [전국청소전문가모임]청소무료교육모임카페동우회,1,1,100.0
14435163,프리도그-강아지무료분양 고양이무료분양 유기견무료분양 사이트,1,1,100.0
14819076,한국노르딕워킹센터(KNWC),2,2,100.0
14911692,명품 치과위생사,10,10,100.0
14985149,타일마켓_타일시공 견적비교&셀프인테리어,2,2,100.0
15061734,[용인맘] 용인엄마들의 모임,1,1,100.0
15194989,분따 - 분당.판교.위례 따라잡기,1,1,100.0
15240504,"지후맘-임신, 출산, 육아정보, 체험단,이벤트 광고,아기용품공구",2,2,100.0
15542115,정관진 제3군단,1,1,100.0
15579944,♡향남 맘스홀릭♡ 향남 맘 네이버 대표카페 (향남 & 향남 주변),5,5,100.0
15588492,오큐소프트 카페,1,1,100.0
15630388,바른탑치과 남양점 * 치아건강 지킴이,1,1,100.0
15654813,산화스트레스와SOD,1,1,100.0
15724392,미즈넷-임신 육아 임산부 교육 뷰티 아기용품 핫딜 리뷰 체험단,1,1,100.0
15754634,"스펙업｜취업,대학생,인턴,대기업,GSAT,대외활동,공모전,스펙",4,4,100.0
15856367,슬랜더톤,1,1,100.0
15877415,데드라이엠푸드(이고시다카페) - 데드라(Dedra EM Food),1,1,100.0
15880379,"가아사(성형카페,피부,동안,재수술정보공유)",1,1,100.0
16203348,"[정성쿡]외식창업아카데미/음식점,호프,포차,식당,치킨,고기창업",1,1,100.0
16555151,통큰자유,1,1,100.0
16635819,양심치과 정보 한눈에 보기,13,13,100.0
16996348,"독취사-취업,대학생,대기업,공기업,GSAT,NCS,인턴,공모전,토익",1,1,100.0
17149780,▶▶동탄맘스모여라◀◀,4,4,100.0
17157963,『재잘재잘』재수술 잘해보자-성형외과 안과 치과 피부과 화장품,7,7,100.0
17373998,"베나자-베트남나트랑자유여행,달랏,무이네,호텔,투어,리조트맛집",1,1,100.0
17697338,건강지킴이들의모임,17,17,100.0
17728831,건강이 행복이다,3,3,100.0
17902534,[거북맘vs토끼맘]아동심리/언어치료센터/ADHD/틱/발달장애/상담,1,1,100.0
17902928,신동탄 반월맘 모여라!,1,1,100.0
18103359,인생 유통기한 변경 유튜브 커뮤니티,5,5,100.0
18496353,인천맘 부평맘 톡톡 (부평 부개 삼산 산곡 청천 갈산 ),13,13,100.0
18769195,"경남개인회생,경남개인파산 전문 법무법인 율인",2,2,100.0
18824112,병점맘 스토리,22,22,100.0
18935280,선침패치&디톡스패치,1,1,100.0
18947600,완정 사랑 이야기,2,2,100.0
18997605,패밀리세일,1,1,100.0
19180393,내소원內瀟園,3,3,100.0
19308021,"맘스톡톡 - 엄마들의 이야기 (육아정보,체험단,홈스쿨,돌잔치)",1,1,100.0
19476767,오산 세교맘들의 동행,9,9,100.0
19861665,에브리뷰핏 - 세상의모든 리뷰&커뮤니티 카페,3,3,100.0
19886439,수원맘스토리♥영통 권선 장안 팔달 광교맘카페-동탄 오산 화성,1,1,100.0
20024373,피티스(onpts)온라인퍼스널트레이닝,2,2,100.0
20091703,"미엘맘스비 No.1 안성,평택,고덕 육아커뮤니티 / 안평맘",2,2,100.0
20154241,"향남맘카페_네이버 대표 향남맘 카페(향남1,향남2지구,향남엄마)",4,4,100.0
20308773,알고가자 동네병원,1,1,100.0
20548201,"급매물과 반값매매-부동산,창업 투자,구인구직,유통,라이프정보",5,5,100.0
20635410,생활의 모든 정보! 개꿀딱 커뮤니케이션!,1,1,100.0
20682796,당뇨친구(1형당뇨/2형당뇨/임신당뇨/당뇨학교/당뇨연합),1,1,100.0
20902646,동탄2신도시 / 고덕신도시 부동산이야기 & 상가분양정보,1,1,100.0
21600445,평택과 고덕신도시 내집마련 부동산과 분양정보 [올어바웃평택],1,1,100.0
21749336,"십자인대 및 무릎환자(연골판,관절연골,관절염)치료/재활 모임",1,1,100.0
21822361,화성시 맛집 정보 지역꿀팁,1,1,100.0
21970463,드림성형외과/안면윤곽/눈성형/코성형/지방이식/가슴성형/리프팅,1,1,100.0
22305183,뷰메랑 :: [뷰티&메디컬&라이프&리뷰&체험&핫딜&건강],1,1,100.0
22457457,네이버No.1 이명극복 고군분투 성장기 카페,1,1,100.0
22487277,"♧건강한 마을♧(친환경,유기농,건강식품,다이어트,효소,오가닉)",3,3,100.0
22507132,일상정보 공유 카페,17,17,100.0
22630643,난치성 피부질환 완전정복,1,1,100.0
22681220,인천맘 쏙 (인천 부평 계양 작전 서구 청라),15,15,100.0
22862667,치건사모 - 치과 건강보험을 사랑하는 모임,14,14,100.0
23394851,"간대모│임상, 대학원, 보험심사/건보/공무원, 산업/연구 간호사",1,1,100.0
23491849,◈EV4 공식 동호회◈ 기아 『클럽 EV4』 대표카페,3,3,100.0
23877303,◎홍삼프라임 공식카페◎ 홍삼제조기/홍삼액제조기/홍삼만들기,2,2,100.0
23989226,선천성모반을 완치하는 그날까지,1,1,100.0
24081850,일등맘 수다방,1,1,100.0
24095040,동탄2신도시 분양 정보 & 경기 남부&진안 부동산 투자 정보,41,41,100.0
24137083,"메디칼리뷰 - 전문 의료 정보, 고급 의료 정보, 의료전문 상담",1,1,100.0
24146661,수원 아이파크시티맘,1,1,100.0
24161771,인생 하프타임,18,18,100.0
24382523,안평맘 ♥ 평택 안성 1위 맘카페-평택맘 안성맘 고덕맘 오산맘,8,8,100.0
24502148,ㅣ의사이야기ㅣ병원개원 A to Z,16,16,100.0
24524198,메디114 ▶ 성공개원과 병원성장을 위한 의사소통 플랫폼,21,21,100.0
24558872,iNG 요가&플라잉요가 연희점,1,1,100.0
24621251,<오행공> 오산맘들의 행복한 공간,22,22,100.0
24660992,동탄2신도시맘 ♣ 동탄투맘 모여요~ [동투맘] ^^ ♣,227,227,100.0
24767342,설탕보다 나트라비아!! 천연 스테비아 입니다.,1,1,100.0
24821657,"서울삼성병원, 대학교수출신 교정 전문의, 30년 경력 경승현치과",109,109,100.0
24826558,세상 모든 정보 여기에,4,4,100.0
24885887,척추질환 환우모임 [국내 최대의 모든 척추 관련 커뮤니티 공간],4,4,100.0
24940962,크리닉 석세스 가이드의 의료상권조사,11,11,100.0
25016228,"국내1위 다이어트 커뮤니티 씨씨앙(식단,운동,후기,헬스,체험단)",2,2,100.0
25070018,시흥 배곧신도시 총연합회,1,1,100.0
25082827,치아모 :: 치아 건강정보 모음,3,3,100.0
25159465,건강한 방법,8,8,100.0
25273665,아반강고 힐링카페 아픈 반려 강아지와 고양이를 위한 힐링카페,2,2,100.0
25455369,동탄 부동산 현재와미래,2,2,100.0
25519541,이가득 - 치아검진/충치치료/임플란트/치아교정/라미네이트/ETC,1,1,100.0
25585583,"부지런한 사장님 - 소상공인,병원,학원,이미용,온라인전단지",3,3,100.0
25617002,"레몬테라쓰 [인테리어,리폼,DIY,결혼,육아,요리]",1,1,100.0
25843751,(화성태안3지구)안녕 송산맘 모여라♬,1,1,100.0
26329657,에코짐ecogym,3,3,100.0
27055079,수원 망포맘,5,5,100.0
27097063,화성맘♥경기도 화성시 육아 맘카페♥동탄 신도시,23,23,100.0
27756115,"동탄맘♡동탄스토리 [동탄1,2신도시 동탄맘들의 카페]",27,27,100.0
28018080,동캠클럽 (동탄 중심으로 가족과 캠핑하는 캠퍼들의 모임),1,1,100.0
28099101,사할린록산원,1,1,100.0
28202786,수원여대 치위생과,2,2,100.0
28246391,동탄2 서희스타힐스 입주자 모임,1,1,100.0
28309579,e편한세상 용인 한숲시티 입주민 대표 카페,5,5,100.0
28603018,동탄역 시범한화 꿈에그린프레스티지,1,1,100.0
28964928,평택맘이샵,1,1,100.0
29167503,판례 연구방,1,1,100.0
29362339,동탄 동탄2 공부잘하는아이 [ 동공아 맹모],1,1,100.0
29364668,(치아)를 사랑하는 사람들 모임,2,2,100.0
29367967,"대한민국 매물천국(부동산,분양,상가,오피,주택,아파트,땅)",1,1,100.0
29434212,"맘이베베 (핫딜, 육아, 놀이)",1,1,100.0
29446433,라일樂: 라이브방송과 퀴즈로 일상의 행복을 함께 나누는 즐거움,1,1,100.0
29453879,대한민국을 위한 행동 / Act for Korea,2,2,100.0
29496362,경매아라누리,14,14,100.0
29715312,반도10차 반도단지내 부동산,1,1,100.0
29765435,동탄역 반도유보라아이비파크678차 맘,1,1,100.0
29794410,"서집달 - 대한민국 NO.1 도시계획 스터디카페 (투자,내집마련)",1,1,100.0
29891543,꿀벌퀴즈방,1,1,100.0
29975629,양산지구 입주자카페,1,1,100.0
30040676,난청아이 육아카페,1,1,100.0
30044111,자유홍보 및 공유카페,2,2,100.0
30079407,스마트부자클럽,1,1,100.0
30111128,"탈다이어트, 행복은 내가 알아차릴 때 비로소 존재하는 것",3,3,100.0
30191228,앳빌듀 영어회화,1,1,100.0
30221664,동사모(동탄사랑모임),1,1,100.0
30290379,오산 롯데캐슬 스카이파크 (실 입주자 커뮤니티),2,2,100.0
30412847,인포매니아 (INFOMANIA),1,1,100.0
30622916,동탄치과 치아교정 임플란트ㅣ동탄이즈치과 공식 카페,6,6,100.0
30647991,"올댓리햅/재활,물리치료,작업치료/정보공유;운동,치료,채용,교육",4,4,100.0
30792886,병원마케팅연구소,1,1,100.0
30848679,♥여성성형 전문_헤스티아 여성의원♥,1,1,100.0
30867744,르무통 LeMouton,1,1,100.0
30886032,꿈이있어 행복한 사람들의모임 복지카페,1,1,100.0
30894970,K-NAIL 대한네일미용사회,1,1,100.0
30974274,덴탈잡코리아,13,13,100.0
31004171,오산 유림치과병원,2,2,100.0
31047043,늘품 화성느린학습자 부모회,1,1,100.0
31111576,동탄 하우스피드,1,1,100.0
31125547,임플란트 치과 추천,2,2,100.0
31142888,문서 서식 자료 마당,1,1,100.0
31159112,개원비밀공간,4,4,100.0
31206716,정보다모아보자,2,2,100.0
31220238,대한민국 모든 경품이벤트,2,2,100.0
31304146,쇼핑핫핫,1,1,100.0
31318083,"모두의건강[성형외과,안과,치과,피부과,한의원,병원, 정보공유",4,4,100.0
31329479,[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,74,74,100.0
31358817,우리동내정보창고,1,1,100.0
31365867,꼰대파파 [아빠들의 넋두리 한판],1,1,100.0
31374461,임플란트 치과 잘하는 곳 추천,1,1,100.0
31414620,화성 동탄 내집마련: 부동산 교육 학군 육아 생활정보 무료홍보,1,1,100.0
31424900,폐업 지원중입니다 [원상복구 폐업청소 지원 상가정리 점포철거],1,1,100.0
31503025,행복한 치아관리 두번째,9,9,100.0
31503026,행복한 치아관리 세번째,12,12,100.0
31525121,범어 자이르네,1,1,100.0
