month,내이튼치과_카페,내이튼치과_검색,이즈치과_카페,이즈치과_검색,동탄연세바로치과_카페,동탄연세바로치과_검색,플란치과의원 경기 동탄점_카페,플란치과의원 경기 동탄점_검색
2024-06,438,1230,2971,1920,2241,760,971,320
2024-07,1531,1160,6672,2060,10086,940,1367,410
2024-08,2861,1310,5722,1600,4332,920,0,330
2024-09,2737,1260,5978,1550,1187,890,288,230
2024-10,869,1490,5145,1740,2773,870,1459,250
2024-11,2217,1260,10485,1630,5634,790,1116,240
2024-12,2017,1240,4774,1850,4301,1060,3333,240
2025-01,1650,1280,3633,1910,5290,1250,5285,250
2025-02,1222,1420,2071,2160,4716,1270,3487,200
2025-03,1941,1420,5908,2090,7529,1290,3001,270
2025-04,2710,1470,5181,1910,5364,1350,2065,190
2025-05,1626,1390,1947,1710,4005,1000,1609,250
2025-06,1624,1380,1244,1510,2916,900,4144,180
2025-07,2700,1440,3467,1690,4474,1220,7374,3590
