cafe_name,clinic_name,positive,neutral,negative
(화성태안3지구)안녕 송산맘 모여라♬,새로생긴 치과,1,0,0
<오행공> 오산맘들의 행복한 공간,2젤,2,1,0
<오행공> 오산맘들의 행복한 공간,D에S,0,1,0
<오행공> 오산맘들의 행복한 공간,ㅎㅇ치과,1,0,0
<오행공> 오산맘들의 행복한 공간,강남 (지역) 추천 치과,1,0,0
<오행공> 오산맘들의 행복한 공간,근처 일반치과,0,1,0
<오행공> 오산맘들의 행복한 공간,내이튼치과,1,2,0
<오행공> 오산맘들의 행복한 공간,네*버치과,0,1,0
<오행공> 오산맘들의 행복한 공간,네이버치과,0,2,0
<오행공> 오산맘들의 행복한 공간,동탄 연세바로치과,1,0,0
<오행공> 오산맘들의 행복한 공간,동탄 치과,0,1,0
<오행공> 오산맘들의 행복한 공간,동탄연세바로,0,1,0
<오행공> 오산맘들의 행복한 공간,동탄연세바로치과,0,1,0
<오행공> 오산맘들의 행복한 공간,마이홈,1,0,0
<오행공> 오산맘들의 행복한 공간,미치과,0,0,1
<오행공> 오산맘들의 행복한 공간,본플란트,1,1,0
<오행공> 오산맘들의 행복한 공간,삼성 서울치과,1,0,0
<오행공> 오산맘들의 행복한 공간,삼성서울치과,0,1,0
<오행공> 오산맘들의 행복한 공간,서울수려한치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,서울햇빛어린이치과,0,0,1
<오행공> 오산맘들의 행복한 공간,세교아이들치과,0,1,0
<오행공> 오산맘들의 행복한 공간,씨엘치과,0,1,0
<오행공> 오산맘들의 행복한 공간,아이숲치과,0,1,0
<오행공> 오산맘들의 행복한 공간,애플치과,1,0,0
<오행공> 오산맘들의 행복한 공간,연세**,0,1,0
<오행공> 오산맘들의 행복한 공간,연세바로치과,3,0,0
<오행공> 오산맘들의 행복한 공간,연세바른치과,1,0,0
<오행공> 오산맘들의 행복한 공간,연세이편한 치과,1,0,0
<오행공> 오산맘들의 행복한 공간,연세참예X 치과,1,0,0
<오행공> 오산맘들의 행복한 공간,연세치과,0,1,0
<오행공> 오산맘들의 행복한 공간,예나치과,1,0,0
<오행공> 오산맘들의 행복한 공간,오늘은치과,1,0,0
<오행공> 오산맘들의 행복한 공간,유*치과,1,0,0
<오행공> 오산맘들의 행복한 공간,유노부부치과,1,0,0
<오행공> 오산맘들의 행복한 공간,유노치과,1,0,0
<오행공> 오산맘들의 행복한 공간,유림치과,1,1,0
<오행공> 오산맘들의 행복한 공간,이루다치과,1,0,0
<오행공> 오산맘들의 행복한 공간,이젤,6,0,0
<오행공> 오산맘들의 행복한 공간,이젤치과,0,1,0
<오행공> 오산맘들의 행복한 공간,이포유치과,0,1,0
<오행공> 오산맘들의 행복한 공간,일반치과,0,1,0
<오행공> 오산맘들의 행복한 공간,카페 추천 받은 치과 (실명 미언급),0,0,1
<오행공> 오산맘들의 행복한 공간,코코치과,0,1,0
<오행공> 오산맘들의 행복한 공간,탑치과의원,1,0,0
<오행공> 오산맘들의 행복한 공간,홍**치과,1,0,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",동탄 sn.ow,1,0,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]","동탄 스,노우",1,0,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",서울0.1치과,1,0,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",연세윤손치과,0,1,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",오산임플란트치과,0,1,0
"A+여우야성형카페[눈코,가슴,리프팅,안면윤곽,병원수술후기]",플란치과,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,경승현 교정치과,0,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,경승현치과,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,동탄 플란치과,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,동탄아는치과,0,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,동탄아이비치과,1,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,메디피움,0,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,미소자인교정치과,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,바른이턱치과,1,0,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,바른턱치과,0,1,0
[동탄맘 일로오시오] 동탄신도시 동탄맘카페 동탄병원 영유아,서울연합의원,1,1,0
