keyword,post_count,total_views,avg_views
임플란트,28,11196,399.85714285714283
신경치료,24,9582,399.25
치과 추천,23,10577,459.8695652173913
친절한 치과,13,8900,684.6153846153846
과잉진료 없는 치과,12,7932,661.0
과잉진료 없는 곳,10,3845,384.5
과잉진료,10,4318,431.8
동탄 치과,8,2999,374.875
충치,7,2037,291.0
보존과 전문의,7,2642,377.42857142857144
사랑니 발치,5,1491,298.2
치과,5,1848,369.6
어린이 치과,5,2232,446.4
턱관절,4,2093,523.25
비용,4,1642,410.5
충치치료,4,2031,507.75
발치,4,1064,266.0
크라운,4,1404,351.0
매복 사랑니,4,582,145.5
뼈이식,4,973,243.25
턱관절 치료,4,343,85.75
어금니 치료,3,470,156.66666666666666
치과 진료,3,288,96.0
통증,3,1012,337.3333333333333
치아 통증,3,1690,563.3333333333334
대학병원,3,1429,476.3333333333333
치료,3,861,287.0
신경 치료,3,1794,598.0
동탄 임플란트,3,182,60.666666666666664
스케일링,3,243,81.0
치료비,3,756,252.0
어금니 통증,3,1161,387.0
동탄역 치과,3,1908,636.0
양심적인 치과,3,2285,761.6666666666666
보철과 전문의,2,89,44.5
미세현미경 진료,2,922,461.0
디지털 진단,2,89,44.5
잇몸 치료,2,253,126.5
치과 선택,2,1602,801.0
무통 마취,2,163,81.5
충치 치료,2,1400,700.0
호수공원 치과,2,1467,733.5
틀니,2,51,25.5
과잉진료 의심,2,420,210.0
과잉 진료 없는 치과,2,617,308.5
치아교정,2,143,71.5
재신경치료,2,1954,977.0
동탄치과,2,229,114.5
소아치과,2,584,292.0
치과 경험,2,37,18.5
치아 치료,2,12,6.0
동탄역,2,560,280.0
치료 잘하는 곳,2,316,158.0
치아 건강,2,53,26.5
교정,2,612,306.0
동탄역 치과 추천,2,357,178.5
동탄 치과 추천,2,1406,703.0
디지털 임플란트,2,144,72.0
꼼꼼한 진료,2,2398,1199.0
잇몸치료,2,1483,741.5
잘하는 치과,2,1577,788.5
치과추천,2,1126,563.0
보존치료,2,2595,1297.5
꼼꼼한 치과,1,501,501.0
이가 시림,1,64,64.0
미세현미경 치료,1,501,501.0
사랑니,1,61,61.0
동탄호수공원,1,61,61.0
믿을 만한 치과,1,1306,1306.0
오래 다닐 만한 치과,1,1306,1306.0
큰 치료,1,1306,1306.0
임플란트 잘하는 곳,1,40,40.0
동탄2신도시 치과,1,114,114.0
편두통,1,139,139.0
정밀 진단,1,114,114.0
충치 치료 비용,1,621,621.0
치과 검사,1,207,207.0
치과 진단,1,1296,1296.0
금니 치료,1,1296,1296.0
경력 많은 의사,1,71,71.0
어머니 치과 치료,1,71,71.0
치아 부러짐,1,161,161.0
이시림,1,592,592.0
레진,1,422,422.0
어금니 파절,1,422,422.0
위생 관리,1,62,62.0
교정전문,1,56,56.0
원장님 설명,1,300,300.0
가격,1,312,312.0
레진 치료,1,474,474.0
아이 치료,1,557,557.0
외상 치아,1,474,474.0
저렴한,1,2,2.0
원데이,1,2,2.0
치아 파절,1,474,474.0
레진 인레이 비용,1,592,592.0
치과 가격,1,592,592.0
영구치 파손,1,392,392.0
아이 치아 치료,1,392,392.0
앞니 깨짐,1,392,392.0
신경 손상,1,392,392.0
자연치아 보존,1,676,676.0
통증 완화,1,62,62.0
수면 마취,1,62,62.0
상악동거상술,1,795,795.0
치아 뿌리 썩음,1,161,161.0
동탄2,1,795,795.0
추천,1,795,795.0
동탄2 치과 추천,1,223,223.0
양심 진료,1,539,539.0
정기 검진,1,30,30.0
입 벌릴 때 소리,1,139,139.0
동탄2신도시 임플란트,1,59,59.0
치과 선택 기준,1,59,59.0
통증 경감,1,59,59.0
진정 치료,1,59,59.0
보험 임플란트,1,59,59.0
1인 원장 치과,1,223,223.0
관리,1,87,87.0
치아 상태,1,56,56.0
보험,1,87,87.0
진료,1,87,87.0
믿을 수 있는 치과,1,527,527.0
치아 상태 설명,1,527,527.0
교정치료,1,1381,1381.0
보존과,1,1381,1381.0
동탄 사랑니,1,101,101.0
염증,1,374,374.0
야간진료,1,126,126.0
임산부 치과 치료,1,190,190.0
동탄호수공원 치과,1,190,190.0
잇몸 부음,1,190,190.0
임신중 치과,1,190,190.0
치과 견적,1,409,409.0
금액,1,409,409.0
동탄2 치과,1,409,409.0
동탄본치과의원,1,140,140.0
치료 경험,1,140,140.0
병점역 치과,1,497,497.0
치아 성형,1,141,141.0
라미네이트,1,141,141.0
치료 과정,1,27,27.0
진료 환경,1,27,27.0
웃음가스,1,27,27.0
정밀 설계,1,3,3.0
의료진 경험,1,3,3.0
디지털 방식,1,3,3.0
상악동,1,3,3.0
잇몸 염증,1,1448,1448.0
크라운 재치료,1,1448,1448.0
보존 치료,1,1448,1448.0
과잉 진료,1,1448,1448.0
치료 후기,1,56,56.0
의료진 태도,1,10,10.0
웃음 가스,1,10,10.0
진료비,1,68,68.0
자연치아 살리기,1,1747,1747.0
염증 치료,1,1747,1747.0
불편한 치아,1,551,551.0
재치료,1,551,551.0
맞춤형 치료,1,51,51.0
치과치료,1,167,167.0
치아 상실,1,51,51.0
내원 횟수,1,167,167.0
진료 잘 보는 곳,1,106,106.0
엔도,1,106,106.0
보철치료,1,585,585.0
