club_id,article_id,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
24821657,298,0,0,0,0,0,0,0,0,0,0,0,18,0,0
13886818,14122,0,0,0,0,0,0,0,0,0,0,0,85,54,0
13692492,832847,0,0,0,0,0,0,0,0,0,0,0,447,335,0
24660992,2394915,0,0,0,0,0,0,0,0,0,0,0,211,16,0
29496362,9840,0,0,0,0,0,0,0,0,0,0,0,5,8,0
24095040,773840,0,0,0,0,0,0,0,0,0,0,0,87,50,0
24660992,2391013,0,0,0,0,0,0,0,0,0,0,0,880,0,0
27756115,91629,0,0,0,0,0,0,0,0,0,0,0,562,43,0
29496362,9729,0,0,0,0,0,0,0,0,0,0,0,13,0,0
24821657,300,0,0,0,0,0,0,0,0,0,0,0,24,2,0
24821657,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18824112,1046803,0,0,218,0,0,0,0,0,0,0,0,0,0,0
11121149,1024118,0,0,13,10,0,0,0,0,0,0,0,0,0,0
12905973,6204685,0,0,167,0,0,0,0,0,0,0,0,0,0,0
11833155,2458267,0,0,424,0,0,0,0,0,0,0,0,0,0,0
11833155,2461784,0,0,138,90,0,0,0,0,0,0,0,0,0,0
24660992,2276057,0,0,936,112,0,0,0,0,0,0,0,0,0,0
24660992,2279995,0,0,156,102,0,0,0,0,0,0,0,0,0,0
14911692,1,0,0,459,17,0,0,0,0,0,0,0,0,0,0
12905973,6207791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28309579,203813,0,0,69,172,0,0,0,0,0,0,0,0,0,0
11833155,2456117,0,0,105,0,0,0,0,0,0,0,0,0,0,0
21749336,168432,0,0,1562,0,0,0,0,0,0,0,0,0,0,0
24660992,2272285,0,0,142,0,0,0,0,0,0,0,0,0,0,0
24660992,2275228,0,0,99,4,0,0,0,0,0,0,0,0,0,0
24095040,743260,0,0,127,60,0,0,0,0,0,0,0,0,0,0
24660992,2282992,0,0,80,291,0,0,0,0,0,0,0,0,0,0
24095040,742418,0,0,189,7,0,0,0,0,0,0,0,0,0,0
20091703,2167547,0,0,12,160,0,0,0,0,0,0,0,0,0,0
24660992,2394918,0,0,0,0,0,0,0,0,0,0,0,1057,81,0
10100874,340923,0,0,0,0,0,0,0,0,0,0,0,80,6,0
11427205,587170,0,0,0,0,0,0,0,0,0,0,0,10,39,0
