raw_clinicname,representing_clinicname
"365라온누리","365라온누리치과의원"
"가나팀치과","가나팀치과의원"
"가이치과","가이치과의원"
"동탄성모","가톨릭대학교 성빈센트병원"
"성모","가톨릭대학교 성빈센트병원"
"동탄성모병원","가톨릭대학교 성빈센트병원"
"성빈센트","가톨릭대학교 성빈센트병원"
"수원빈센트교정과","가톨릭대학교 성빈센트병원"
"경승현치과","경승현치과 교정과 치과의원 동탄"
"경승현교정과 치과의원","경승현치과 교정과 치과의원 동탄"
"경승현 치과","경승현치과 교정과 치과의원 동탄"
"경승현교정과치과의원","경승현치과 교정과 치과의원 동탄"
"경승현치과 교정과 치과의원","경승현치과 교정과 치과의원 동탄"
"경승현 교정치과","경승현치과 교정과 치과의원 동탄"
"ㄱㄱㅈ치과","경승현치과 교정과 치과의원 동탄"
"ㄱㅅㅎ","경승현치과 교정과 치과의원 동탄"
"ㄱ ㅅㅎ교정치과","경승현치과 교정과 치과의원 동탄"
"ㄱㅅㅎ 치과","경승현치과 교정과 치과의원 동탄"
"ㄱㅅㅎ치과","경승현치과 교정과 치과의원 동탄"
"경ㅅㅎ치과","경승현치과 교정과 치과의원 동탄"
"경승ㅎ 치과","경승현치과 교정과 치과의원 동탄"
"동탄 경승현","경승현치과 교정과 치과의원 동탄"
"경승현 교정과 치과의원","경승현치과 교정과 치과의원 동탄"
"리움치과","광교365리움치과병원 수원"
"광교365리움치과","광교365리움치과병원 수원"
"광교리움치과병원","광교365리움치과병원 수원"
"광교호수구강내과 소아치과의원","광교호수 구강내과 소아치과 의원"
"그랑***에 이**","그랑플란트치과의원"
"그랑플란트","그랑플란트치과의원"
"기흥서울치과","기흥서울치과의원"
"꿈꾸는 소아치과","꿈꾸는 소아치과의원"
"꿈꾸는","꿈꾸는 소아치과의원"
"나노치과","나노치과의원"
"남동탄 연세참예쁜교정치과","남동탄 연세참예쁜교정치과"
"내이튼치과","내이튼치과의원"
"내ㅇ튼치과","내이튼치과의원"
"내이튼","내이튼치과의원"
"내이튼 치과","내이튼치과의원"
"라스 5층 내x튼 치과","내이튼치과의원"
"네*버치과","네이버치과의원"
"네이버치과","네이버치과의원"
"강남 뉴엔","뉴엔치과의원톡톡"
"다인치과","다인치과의원"
"닥터김산치과","닥터김산치과의원"
"닥터스마일","닥터스마일치과의원"
"ㄷㅌㅅㅁㅇ치과","닥터스마일치과의원"
"닥ㅌ스마ㅇ 치과","닥터스마일치과의원"
"닥터스마일치과","닥터스마일치과의원"
"닥터스마일치과의원","닥터스마일치과의원"
"닥터황치과","닥터황치과의원"
"단국대 죽전 치과병원","단국대학교 죽전치과병원"
"당신을위한치과","당신을위한치과의원"
"당신을 위한 치과","당신을위한치과의원"
"당신을 위한 치과 의원","당신을위한치과의원"
"당신을 위한 치과의원","당신을위한치과의원"
"당신을 위한치과의원","당신을위한치과의원"
"더라인치과","더라인치과의원"
"더바*","더바른치과의원"
"더바른치과","더바른치과의원"
"더바른","더바른치과의원"
"더바른교정치과","더바른치과의원"
"더바른치과의원","더바른치과의원"
"센팍 더바ㄹ 치과","더바른치과의원"
"센팍 더바른치과","더바른치과의원"
"더사랑치과","더사랑치과의원"
"더사랑","더사랑치과의원"
"동탄더사랑치과","더사랑치과의원"
"더새로운치과","더새로운치과의원"
"더새로운 동탄2치과","더새로운치과의원"
"더새로운치과의원","더새로운치과의원"
"더서울디지털치과","더서울디지털치과의원"
"더웰치과","더웰치과"
"더휴치과","더휴치과"
"이편한치과","동탄 이편한 치과의원"
"나무","동탄365나무치과의원"
"동탄나무치과의원","동탄365나무치과의원"
"동탄365바름치과","동탄365바름치과의원"
"365바름치과","동탄365바름치과의원"
"동탄365바름치과의원","동탄365바름치과의원"
"365동탄바름치과","동탄365바름치과의원"
"동탄365바름 치과의원","동탄365바름치과의원"
"목동 365바름","동탄365바름치과의원"
"가온치과","동탄가온치과의원"
"동탄가온치과","동탄가온치과의원"
"동탄굿모닝치과의원","동탄굿모닝치과의원"
"굿모닝치과","동탄굿모닝치과의원"
"ㄲㅇ치과","동탄꿈의치과의원"
"꿈의치과","동탄꿈의치과의원"
"동탄 꿈의 치과의원","동탄꿈의치과의원"
"동탄꿈의치과의원","동탄꿈의치과의원"
"동탄뉴욕치과","동탄뉴욕치과"
"동탄뉴욕치과의원","동탄뉴욕치과"
"뉴욕치과","동탄뉴욕치과의원"
"동탄다정치과의원","동탄다정치과의원"
"동탄드림치과의원","동탄드림치과의원"
"동탄리즈치과의원","동탄리즈치과의원"
"동탄리즈치과","동탄리즈치과의원"
"리즈치과","동탄리즈치과의원"
"비전동 ㄹㅈ치과","동탄리즈치과의원"
"동탄미래치과의원","동탄미래치과의원"
"동탄미소치과의원","동탄미소치과의원"
"동탄바른이치과","동탄바른이치과의원"
"동탄바른이 교정치과","동탄바른이치과의원"
"ㅂㄹㅇ치과","동탄바른이치과의원"
"바른이교정치과","동탄바른이치과의원"
"동탄바른이치과의원","동탄바른이치과의원"
"동탄본치과의원","동탄본치과의원"
"서울S치과","동탄서울에스치과의원"
"11자 s치과","동탄서울에스치과의원"
"서울에스치과","동탄서울에스치과의원"
"서울S","동탄서울에스치과의원"
"동탄센트럴치과","동탄센트럴치과병원"
"동탄ㅅㅌㄹ치과","동탄센트럴치과병원"
"동탄센트럴","동탄센트럴치과병원"
"센트럴치과","동탄센트럴치과병원"
"동탄센트럴치과병원","동탄센트럴치과병원"
"동탄ㅅㅌㄹ","동탄센트럴치과병원"
"센트럴","동탄센트럴치과병원"
"동탄 센트럴치과","동탄센트럴치과병원"
"동탄센트럴 치과","동탄센트럴치과병원"
"ㅅㅌㄹ","동탄센트럴치과병원"
"동탄 ㅅㅌㄹ치과","동탄센트럴치과병원"
"샌트럴치과","동탄센트럴치과병원"
"센ㅇㅇ 치과","동탄센트럴치과병원"
"동탄센트럴병원","동탄센트럴치과병원"
"동탄센트럴 소아진료","동탄센트럴치과병원"
"센트럴 치과","동탄센트럴치과병원"
"동탄역 센트럴치과병원","동탄센트럴치과병원"
"화성동탄센트럴치과병원","동탄센트럴치과병원"
"동탄아는치과의원","동탄아는치과의원"
"아는치과","동탄아는치과의원"
"동탄 아는치과","동탄아는치과의원"
"동탄아이비치과의원","동탄아이비치과의원"
"동탄아이비치과","동탄아이비치과의원"
"동탄아이소망치과","동탄아이소망치과소아치과의원"
"동탄아이소망","동탄아이소망치과소아치과의원"
"아이소망","동탄아이소망치과소아치과의원"
"아이소망치과","동탄아이소망치과소아치과의원"
"동탄아이소망치과의원","동탄아이소망치과소아치과의원"
"동탄안심치과","동탄안심치과의원"
"동탄에이스치과","동탄에이스치과의원"
"에이스치과","동탄에이스치과의원"
"에이스 치과","동탄에이스치과의원"
"연세세브란스","동탄연세세브란스치과의원"
"동탄 연세 세브란스치과","동탄연세세브란스치과의원"
"동탄연세세브란스 치과","동탄연세세브란스치과의원"
"동탄연세세브란스치과","동탄연세세브란스치과의원"
"동탄연세세브란스치과의원","동탄연세세브란스치과의원"
"연세원치과","동탄연세원구강악안면외과치과의원"
"연세원","동탄연세원구강악안면외과치과의원"
"연세원구강외과","동탄연세원구강악안면외과치과의원"
"동탄연세원치과","동탄연세원구강악안면외과치과의원"
"예치과","동탄예치과의원"
"동탄예치과","동탄예치과의원"
"나루예치과","동탄예치과의원"
"온가족치과","동탄온가족치과의원"
"동탄 온가족치과","동탄온가족치과의원"
"동탄온가족치과의원","동탄온가족치과의원"
"동탄주치과","동탄주치과의원"
"동탄키움치과","동탄키움치과의원"
"키움치과","동탄키움치과의원"
"동탄키즈사랑","동탄키즈사랑소아치과의원"
"키즈사랑소아치과","동탄키즈사랑소아치과의원"
"동탄 키즈 사랑 어린이 치과","동탄키즈사랑소아치과의원"
"키즈소아치과","동탄키즈사랑소아치과의원"
"탑치과","동탄탑치과의원"
"동탄탑치과","동탄탑치과의원"
"동탄역 탑치과","동탄탑치과의원"
"동탄탑","동탄탑치과의원"
"동탄역탑치과","동탄탑치과의원"
"동탄하나로치과","동탄하나로치과의원"
"동탄하나로치과의원","동탄하나로치과의원"
"영천동 하나로마트 안에 있는 치과","동탄하나로치과의원"
"ㅎㄴㄹ 치과","동탄하나로치과의원"
"ㅎㄴㄹ치과","동탄하나로치과의원"
"하나로마트 안 치과","동탄하나로치과의원"
"하나로마트 치과","동탄하나로치과의원"
"동탄 하나로 치과","동탄하나로치과의원"
"동탄 하나로치과","동탄하나로치과의원"
"하나로 치과","동탄하나로치과의원"
"참조은치과","동탄호수참조은치과의원"
"동탄휴치과","동탄휴치과의원"
"동탄 휴치과의원","동탄휴치과의원"
"씨엘치과","동탄CL치과의원"
"목동 CL 치과","동탄CL치과의원"
"씨엘이","동탄CL치과의원"
"동탄CL치과","동탄CL치과의원"
"든*한치과","든든한치과의원"
"디유치과","디유치과의원"
"디유치과의원","디유치과의원"
"ㄷㅇ치과","디유치과의원"
"디ㅇ치과의원","디유치과의원"
"병점 디유치과","디유치과의원"
"디퍼스트치과","디퍼스트치과의원 압구정 본원"
"레이크치과","레이크치과의원"
"레이ㅋ","레이크치과의원"
"로덴치과","로덴치과의원"
"로덴치과의원","로덴치과의원"
"로덴","로덴치과의원"
"로미오","로미오치과교정과치과의원 수원영통"
"로미오치과","로미오치과교정과치과의원 수원영통"
"마이플란트치과","마이플란트치과의원 동탄"
"마이플란트","마이플란트치과의원 동탄"
"마이플란트 치과","마이플란트치과의원 동탄"
"마이홈","마이홈치과의원"
"맑은린치과","맑은린치과의원"
"맑은린 치과","맑은린치과의원"
"메디피움치과","메디피움치과의원"
"메디피움","메디피움치과의원"
"메타폴리스치과","메타폴리스치과의원"
"메타에 있는 치과","메타폴리스치과의원"
"메타치과","메타폴리스치과의원"
"모아치과","모아치과의원"
"미소를만드는치과","미소를만드는치과의원"
"미소자인교정치과","미소자인교정치과의원"
"미소자인","미소자인교정치과의원"
"미소자인 교정치과","미소자인교정치과의원"
"ㅁㅅㅈㅇ 치과","미소자인교정치과의원"
"ㅁㅅㅈㅇ치과","미소자인교정치과의원"
"ㅁㅅㅈㅇ","미소자인교정치과의원"
"동탄 ㅁㅅㅈㅇ치과","미소자인교정치과의원"
"미소자인치과","미소자인교정치과의원"
"미소지음치과","미소지음치과의원"
"미소진치","미소진치과의원"
"미프라임","미프라임치과의원"
"바로드림치과의원","바로드림치과의원"
"바른*교정","바른"
"바른스마일교정치과","바른스마일치과교정과치과의원"
"기흥 바른스마일교정치과","바른스마일치과교정과치과의원"
"바른스마일치과","바른스마일치과교정과치과의원톡톡"
"바른영치과","바른영치과의원"
"바른이턱치과","바른이턱치과의원 동탄점"
"ㅂㄹㅇㅌ 치과","바른이턱치과의원 동탄점"
"바른이턱","바른이턱치과의원 동탄점"
"바ㄹㅇㅌ 치과","바른이턱치과의원 동탄점"
"바른이ㅌ치과","바른이턱치과의원 동탄점"
"바른턱치과","바른이턱치과의원 동탄점"
"바른탑치과","바른탑치과의원"
"박영준치과","박영준치과의원"
"벗치*","벗치과의원"
"벗치과","벗치과의원"
"나루 벗치과","벗치과의원"
"벗","벗치과의원"
"베스트","베스트치과의원"
"베스트치과","베스트치과의원"
"동2ㅂ스ㅌ","베스트치과의원"
"사랑니톡앤턱","사랑니톡앤턱치과의원"
"사랑니톡앤턱치과의원","사랑니톡앤턱치과의원"
"강남역 사랑이 아프니 치과","사랑이아프니구강악안면외과치과의원 강남점"
"삼성바른치과","삼성바른치과의원"
"미치과","새로미치과의원"
"서연치과","서연치과의원"
"서울굿플란트 치과","서울굿플란트치과의원톡톡"
"서울굿플란트치과의원","서울굿플란트치과의원톡톡"
"서울라미플란트치과교정과치과의원","서울라미플란트치과교정과치과의원"
"라미플란트","서울라미플란트치과교정과치과의원"
"서울라미플란트치과","서울라미플란트치과교정과치과의원"
"서울 라미플란트 교정 치과","서울라미플란트치과교정과치과의원"
"서울라미플란트교정치과","서울라미플란트치과교정과치과의원"
"서울라미플란트 치과","서울라미플란트치과교정과치과의원"
"서울리온치과","서울리온치과의원"
"리온치과","서울리온치과의원"
"서울리온","서울리온치과의원"
"서울ㅂㅅㅌ","서울베스트치과의원 동탄점"
"서울베스트치과","서울베스트치과의원 동탄점"
"서울베스트치과의원 동탄점","서울베스트치과의원 동탄점"
"삼성교정치과","서울삼성치과교정과치과의원"
"서울삼성","서울삼성치과교정과치과의원"
"삼성 서울치과","서울삼성치과교정과치과의원"
"삼성서울치과","서울삼성치과교정과치과의원"
"서울 삼@치과","서울삼성치과교정과치과의원"
"서울안지연교정치과","서울안지연치과교정과치과의원"
"안ㅈㅎ치과","서울안지연치과교정과치과의원"
"안지연교정치과","서울안지연치과교정과치과의원"
"안지연치과","서울안지연치과교정과치과의원"
"서울연합의원","서울연합의원"
"서울예인치과","서울예인치과의원"
"서울웰치과","서울웰치과의원"
"서울위더스치과","서울위더스치과의원"
"서울이로움치과","서울이로움치과의원"
"서울 이로움치과","서울이로움치과의원"
"서울팀치과","서울팀치과의원"
"서울팀 치과","서울팀치과의원"
"서울포인트치과","서울포인트치과의원"
"세교아이들치과","세교아이들치과의원"
"세교이편한치과","세교이편한치과의원"
"동탄 스,노우","스노우치과의원"
"목동 스마일온보철 치과","스마일온치과보철과치과의원"
"스마일온","스마일온치과보철과치과의원"
"스마일온 치과","스마일온치과보철과치과의원"
"스마일온 치과보철과 치과의원","스마일온치과보철과치과의원"
"스마일온치과보철과 치과의원","스마일온치과보철과치과의원"
"스마일온치과보철과치과의원","스마일온치과보철과치과의원"
"스마트치과","스마트치과의원"
"스마트치과의원","스마트치과의원"
"동탄아는치과","아는치과의원"
"아름다운턱치과","아름다운턱치과의원"
"아름다운턱","아름다운턱치과의원"
"아름다운 턱치과","아름다운턱치과의원"
"아름다운x치과","아름다운턱치과의원"
"아이끌림치과","아이끌림치과의원"
"아이*림 소아치과","아이끌림치과의원"
"아이끌림","아이끌림치과의원"
"아이끌림 치과","아이끌림치과의원"
"아주대","아주대학교병원"
"아주대 대학병원","아주대학교병원"
"압구정스마일치과","압구정스마일치과의원"
"애플치과","애플치과의원"
"어울림치과의원","어울림치과의원"
"에코플러스","에코플러스"
"광교 엘포트해피치과","엘포트 해피치과의원"
"미금 연세고운미소치과","연세고운미소치과의원"
"연*굿데이","연세굿데이치과의원"
"굿데이","연세굿데이치과의원"
"굿데이 치가","연세굿데이치과의원"
"굿데이 치과","연세굿데이치과의원"
"연세굿플란트치과","연세굿플란트치과의원 잠실송파본점"
"연세 꿈꾸는 치과","연세꿈꾸는치과교정과의원"
"연x꿈꾸는교정치과","연세꿈꾸는치과교정과의원"
"연세다건치과","연세다건치과"
"서동탄쪽 연세다건치과","연세다건치과"
"연세다건","연세다건치과"
"연세다건치과 의원","연세다건치과"
"연세다건치과의원","연세다건치과"
"연세**","연세바로치과교정과치과의원"
"연세바로치과","연세바로치과교정과치과의원"
"연세ㅂㄹ치과","연세바로치과교정과치과의원"
"연*바로","연세바로치과교정과치과의원"
"연세바로","연세바로치과교정과치과의원"
"동탄역 연세ㅂㄹ치과","연세바로치과교정과치과의원"
"동탄역 연세바로치과","연세바로치과교정과치과의원"
"동탄연세바로치과","연세바로치과교정과치과의원"
"ㅇㅅㅂㄹ","연세바로치과교정과치과의원"
"연세ㅂㄹ","연세바로치과교정과치과의원"
"동탄 연세 바로치과 교정","연세바로치과교정과치과의원"
"동2 연세바로치과","연세바로치과교정과치과의원"
"동탄바로치과","연세바로치과교정과치과의원"
"ㅇㅅㅂㄹ교정치과","연세바로치과교정과치과의원"
"ㅇㅅㅂㄹ치과","연세바로치과교정과치과의원"
"연ㅅㅂㄹ치과","연세바로치과교정과치과의원"
"동탄역 연세 ㅂㄹ 치과","연세바로치과교정과치과의원"
"연세 ㅂㄹ치과","연세바로치과교정과치과의원"
"연세ㅂㄹ 치과","연세바로치과교정과치과의원"
"동탄역 연세바로","연세바로치과교정과치과의원"
"동탄연세바로","연세바로치과교정과치과의원"
"연세 바로","연세바로치과교정과치과의원"
"연세바로교정치과","연세바로치과교정과치과의원"
"동탄 연세바로치과","연세바로치과교정과치과의원"
"연세 바로 치과","연세바로치과교정과치과의원"
"연세바로치과교정과치과의원","연세바로치과교정과치과의원"
"연세바른치과","연세바로치과교정과치과의원"
"동탄연세바치과","연세바로치과교정과치과의원"
"연X바로치과","연세바로치과교정과치과의원"
"동탄역 ysㅂㄹ치과","연세바로치과교정과치과의원"
"연세선*이고은치과","연세선이고은치과의원"
"연세 선이고운치과","연세선이고은치과의원"
"연세선이고은","연세선이고은치과의원"
"동탄 연세선이고은치과","연세선이고은치과의원"
"연세 선이고은 치과","연세선이고은치과의원"
"연세 선이고은치과","연세선이고은치과의원"
"연세선이고은치과","연세선이고은치과의원"
"연세윤손치과","연세윤손치과의원"
"윤손","연세윤손치과의원"
"연세윤손","연세윤손치과의원"
"윤손치과","연세윤손치과의원"
"연세 ㅇ손치과","연세윤손치과의원"
"연세윤손치과의원","연세윤손치과의원"
"ㅇㅅㅇㅅ 치과","연세윤손치과의원"
"ㅇ세윤손","연세윤손치과의원"
"연ㅅ윤손치과","연세윤손치과의원"
"연세ㅇ손치과","연세윤손치과의원"
"연세윤ㅅ치과","연세윤손치과의원"
"연세 윤손 치과의원","연세윤손치과의원"
"동2 연세윤손","연세윤손치과의원"
"ㅇㅅ윤손치과","연세윤손치과의원"
"ㅇ세윤손치과","연세윤손치과의원"
"연ㅅ윤손","연세윤손치과의원"
"연세ㅇㅅ치과","연세윤손치과의원"
"동탄 연세윤손","연세윤손치과의원"
"동탄 윤손","연세윤손치과의원"
"윤손 치과","연세윤손치과의원"
"연세참예쁜교정치과","연세참예쁜치과교정과치과의원 동탄"
"연세참예쁜","연세참예쁜치과교정과치과의원 동탄"
"연세참","연세참예쁜치과교정과치과의원 동탄"
"연세참ㅇㅃ교정치괴","연세참예쁜치과교정과치과의원 동탄"
"연세참예쁜교정","연세참예쁜치과교정과치과의원 동탄"
"연세참예쁜좋아요","연세참예쁜치과교정과치과의원 동탄"
"연세참예쁜치과","연세참예쁜치과교정과치과의원 동탄"
"연세참예쁜치과교정과치과의원","연세참예쁜치과교정과치과의원 동탄"
"연세참예쁜치과교정의원","연세참예쁜치과교정과치과의원 동탄"
"연세참예X 치과","연세참예쁜치과교정과치과의원 동탄"
"영통주니어치과","영통주니어치과의원"
"예나치과","예나치과교정과치과의원"
"예나교정치과","예나치과교정과치과의원"
"동탄역예나치과","예나치과교정과치과의원"
"예나","예나치과교정과치과의원"
"예나요","예나치과교정과치과의원"
"동탄역 예나치과","예나치과교정과치과의원"
"동탄예나치과","예나치과교정과치과의원"
"예나치과 동탄목동점","예나치과교정과치과의원"
"예나치과 동탄역점","예나치과교정과치과의원"
"디에스","오산디에스치과의원"
"디s치과","오산디에스치과의원"
"D에스치과","오산디에스치과의원"
"D에S","오산디에스치과의원"
"ds치과","오산디에스치과의원"
"본플란트","오산본플란트치과의원"
"웃는얼굴치과","웃는얼굴치과의원 수원점"
