date,searchQuery,rank,title,contentId,statUrl,mobileStatUrl,myContent,searchInflow,channelName,createdAt
2024-06-01,"""동탄"" 치과 지르코니아",1,"동탄2치과 잇몸 염증, 나아가 자연치 탈락의 원인이 될 수 있다? 전악 임플란트 수복 케이스✨",http://blog.naver.com/elza79/223453337978,https://blog.stat.naver.com/blog/article/223453337978/cv,https://blog.stat.naver.com/m/blog/article/223453337978/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.5.21 7:01오후
2024-06-01,"""동탄"" 치과 지르코니아",2,"신경 치료 동탄 치과, 미루면 더 아파질 뿐입니다.",http://blog.naver.com/elza79/223472120224,https://blog.stat.naver.com/blog/article/223472120224/cv,https://blog.stat.naver.com/m/blog/article/223472120224/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.6.8 2:55오전
2024-08-01,1동탄 재신경치료,1,동탄치과 재신경치료 기간 / 과정 / 후기를 담은 글,http://blog.naver.com/elza79/223298901342,https://blog.stat.naver.com/blog/article/223298901342/cv,https://blog.stat.naver.com/m/blog/article/223298901342/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2023.12.21 8:20오전
2025-01-01,2동탄 치과 보존과,1,"동탄치과, 보존과 전문의의 재신경치료 과정! 이렇게 해야합니다!",http://blog.naver.com/elza79/223469003670,https://blog.stat.naver.com/blog/article/223469003670/cv,https://blog.stat.naver.com/m/blog/article/223469003670/cv,checked,2,치과보존과 전문의 윤민정의 임상 기록,2024.6.5 3:17오전
2025-01-01,2동탄 치과 보존과,2,"동탄2치과 잇몸 염증, 나아가 자연치 탈락의 원인이 될 수 있다? 전악 임플란트 수복 케이스✨",http://blog.naver.com/elza79/223453337978,https://blog.stat.naver.com/blog/article/223453337978/cv,https://blog.stat.naver.com/m/blog/article/223453337978/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.5.21 7:01오후
2024-08-01,2동탄 치과 보존과 전문의,2,"동탄치과, 보존과 전문의의 재신경치료 과정! 이렇게 해야합니다!",http://blog.naver.com/elza79/223469003670,https://blog.stat.naver.com/blog/article/223469003670/cv,https://blog.stat.naver.com/m/blog/article/223469003670/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.6.5 3:17오전
2024-08-01,2동탄 치과 보존과 전문의,1,"타원 발치 진단을 받은 치아, 보존과 전문의의 신경치료로 자연치아 살리기! 동탄치과추천",http://blog.naver.com/elza79/223167068424,https://blog.stat.naver.com/blog/article/223167068424/cv,https://blog.stat.naver.com/m/blog/article/223167068424/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2023.7.27 8:25오전
2025-03-01,2동탄 치과 앞니벌어짐,1,앞니 벌어짐 어떤 방법으로 해결할 수 있을까? 동탄2 치과 에서 자연스러운 모습으로 개선한 증례,http://blog.naver.com/elza79/223733898487,https://blog.stat.naver.com/blog/article/223733898487/cv,https://blog.stat.naver.com/m/blog/article/223733898487/cv,checked,2,치과보존과 전문의 윤민정의 임상 기록,2025.1.27 9:00오후
2024-09-01,2동탄치과치료잘하는병원,1,"신경 치료 동탄 치과, 미루면 더 아파질 뿐입니다.",http://blog.naver.com/elza79/223472120224,https://blog.stat.naver.com/blog/article/223472120224/cv,https://blog.stat.naver.com/m/blog/article/223472120224/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.6.8 2:55오전
2024-12-01,2주만에 재신경치료,1,동탄치과 재신경치료 기간 / 과정 / 후기를 담은 글,http://blog.naver.com/elza79/223298901342,https://blog.stat.naver.com/blog/article/223298901342/cv,https://blog.stat.naver.com/m/blog/article/223298901342/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2023.12.21 8:20오전
2024-09-01,11세 앞니 신경치료,1,"어린이 앞니 외상 치료, 보존과 전문의가 있는 화성 치과 에서 자연치아를 살려드렸습니다🦷",http://blog.naver.com/elza79/223423945234,https://blog.stat.naver.com/blog/article/223423945234/cv,https://blog.stat.naver.com/m/blog/article/223423945234/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.4.23 8:33오전
2024-08-01,20대 여성 충치,1,충치치료 받으러 오신 20대 여성환자분,http://blog.naver.com/appleflower_dentist/222254662122,https://blog.stat.naver.com/blog/article/222254662122/cv,https://blog.stat.naver.com/m/blog/article/222254662122/cv,,,,
2024-08-01,20대 여성 충치,1,"어금니 충치 제거 중 드러난 치수 조직, 동탄역 치과 에서 어떻게 개선을 도왔을까?",http://blog.naver.com/elza79/223264573936,https://blog.stat.naver.com/blog/article/223264573936/cv,https://blog.stat.naver.com/m/blog/article/223264573936/cv,checked,2,치과보존과 전문의 윤민정의 임상 기록,2023.11.15 1:19오전
2024-08-01,20대 여성 충치,2,어금니 레진 치료에서 필수인 신흥동 치과 러버댐 방습법. 중요한 이유?,http://blog.naver.com/dentistry_master/223331655791,https://blog.stat.naver.com/blog/article/223331655791/cv,https://blog.stat.naver.com/m/blog/article/223331655791/cv,,,,
2024-08-01,24번 25번 치아,1,"동탄역 치과 , 치주 질환 신속히 치료받지 않으면 치아를 뽑아야 될 수 있습니다.",http://blog.naver.com/elza79/223493106667,https://blog.stat.naver.com/blog/article/223493106667/cv,https://blog.stat.naver.com/m/blog/article/223493106667/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.6.27 11:10오후
2025-04-01,30대 어금니 교정,1,[필독] 동탄 사랑니발치 꼭 해야 되는 경우를 내이튼치과에서 알려드리겠습니다!,http://blog.naver.com/elza79/223166104806,https://blog.stat.naver.com/blog/article/223166104806/cv,https://blog.stat.naver.com/m/blog/article/223166104806/cv,checked,2,치과보존과 전문의 윤민정의 임상 기록,2023.7.26 8:19오전
2024-08-01,37번47번 치아 발치,1,"타원 발치 진단을 받은 치아, 보존과 전문의의 신경치료로 자연치아 살리기! 동탄치과추천",http://blog.naver.com/elza79/223167068424,https://blog.stat.naver.com/blog/article/223167068424/cv,https://blog.stat.naver.com/m/blog/article/223167068424/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2023.7.27 8:25오전
2024-08-01,40대 상악동 사진,1,'상악동에 염증이 퍼졌다?' 40대 동탄 임플란트 식립 과정,http://blog.naver.com/elza79/223326895234,https://blog.stat.naver.com/blog/article/223326895234/cv,https://blog.stat.naver.com/m/blog/article/223326895234/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.1.19 8:37오전
2025-05-01,46번 치아 치수괴사,1,"'조직 괴사로 퍼진 치근단 염증, 자연치를 살릴 수 있을까?' 동탄 신경치료 잘하는 곳",http://blog.naver.com/elza79/223291925999,https://blog.stat.naver.com/blog/article/223291925999/cv,https://blog.stat.naver.com/m/blog/article/223291925999/cv,checked,2,치과보존과 전문의 윤민정의 임상 기록,2023.12.14 7:36오전
2024-09-01,70대 임플란트보험,1,"틀니 통증으로 고난이도 윗니 전체 임플란트 진행하신 70대 환자 케이스, 의료보험 기준은? 화성 치과추천",http://blog.naver.com/elza79/223556089501,https://blog.stat.naver.com/blog/article/223556089501/cv,https://blog.stat.naver.com/m/blog/article/223556089501/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.8.22 7:04오전
2025-05-01,70대 전체 임플란트 비용,1,"틀니 통증으로 고난이도 윗니 전체 임플란트 진행하신 70대 환자 케이스, 의료보험 기준은? 화성 치과추천",http://blog.naver.com/elza79/223556089501,https://blog.stat.naver.com/blog/article/223556089501/cv,https://blog.stat.naver.com/m/blog/article/223556089501/cv,checked,2,치과보존과 전문의 윤민정의 임상 기록,2024.8.22 7:04오전
2024-10-01,70대 전체 틀니 비용,1,"틀니 통증으로 고난이도 윗니 전체 임플란트 진행하신 70대 환자 케이스, 의료보험 기준은? 화성 치과추천",http://blog.naver.com/elza79/223556089501,https://blog.stat.naver.com/blog/article/223556089501/cv,https://blog.stat.naver.com/m/blog/article/223556089501/cv,checked,2,치과보존과 전문의 윤민정의 임상 기록,2024.8.22 7:04오전
2024-08-01,70대 틀니,1,"틀니 통증으로 고난이도 윗니 전체 임플란트 진행하신 70대 환자 케이스, 의료보험 기준은? 화성 치과추천",http://blog.naver.com/elza79/223556089501,https://blog.stat.naver.com/blog/article/223556089501/cv,https://blog.stat.naver.com/m/blog/article/223556089501/cv,checked,1,치과보존과 전문의 윤민정의 임상 기록,2024.8.22 7:04오전
