postId,average,sum_유입,sum_조회
223916949266,,,88
223275478813,,,0
223481925345,,,92
223518077448,,,112
223930304447,,,37
223502103758,,,80
223498782765,,,79
223484602474,,,60
223477095973,,,49
223524174855,,,41
223522438405,,,73
223497501334,,,66
223926105594,,,60
223510401532,0.6,,247
223479332780,0.26,,97
223277112963,0.72,861,1180
223577753077,0.37,536,360
223314621811,0.15,441,624
223298901342,0.7,382,587
223205080746,0.52,345,540
223733898487,0.18,340,845
223630259710,0.77,271,739
223357699582,0.01,241,312
223469003670,0.69,231,417
223278935005,,220,547
223619831819,0.35,217,374
223167068424,,210,414
223236128970,,208,401
223199107505,,194,447
223269220996,0.36,188,379
223232140530,0.55,185,335
223351549700,0.38,180,308
223340074448,0.15,180,239
223129980681,,178,269
223332854160,0.41,173,261
223655729530,0.41,164,267
223627571544,0.37,157,247
223760730069,0.26,157,218
223507701785,0.26,151,215
223159021007,,150,286
223636574839,0.16,149,375
223360812566,0.16,147,206
223363365773,,144,183
223367609103,,144,249
223660476078,0.41,137,198
223682403570,0.31,135,221
223707076590,0.21,134,213
223431220382,0.24,131,222
223156065790,,130,270
223462135488,0.57,128,196
223401398737,,127,245
223245500936,,125,210
223356020737,,123,238
223367277748,,122,185
223260606003,,120,214
223133332263,,120,238
223732797065,0.40,120,200
223127778693,0.21,120,1029
223307057929,0.39,117,197
223132361960,,116,252
223215122462,,111,202
223724665134,0.5,110,248
223572003924,0.25,109,205
223869870358,0.16,109,215
223330672507,,108,192
223598756784,,103,225
223757805212,0.24,101,188
223556089501,0.2,100,190
223692083052,0.25,91,210
223629030784,,88,166
223432011619,,87,223
223269940028,,87,231
223457546240,0.25,83,159
223623932986,0.26,82,141
223829595540,,80,120
223139566281,,79,134
223415500360,,78,166
223394713508,,78,141
223262947643,,77,178
223667579753,0.31,77,166
223302785170,,75,186
223793510515,0.6,75,123
223553485165,0.3,74,142
223335804761,,72,129
223405640599,,72,144
223423945234,,72,112
223186535780,0.41,72,162
223704336524,0.19,72,142
223236771862,,70,151
223459255522,0.5,70,180
223364978339,,68,155
223386498335,,68,137
223155543711,,67,143
223816356433,,66,118
223589964130,,64,121
223821931245,0.45,63,236
223646411050,0.41,63,136
223220535699,,61,123
223299941436,,61,93
223285021905,,60,140
223384532317,,59,134
223642862146,0.63,59,125
223717371151,0.33,59,157
223287134538,,58,111
223684387892,0.14,58,179
223447775141,,57,120
223181472820,,56,120
223239313976,,56,119
223695000182,,54,130
223442936737,,53,90
223149973455,,51,170
223713604505,0.19,51,91
223767379681,0.01,50,113
223235174542,,49,106
223776270808,,49,115
223451837108,,49,87
223747165682,0.21,49,104
223489831119,,48,146
223223930971,,47,148
223374858437,,47,219
223810366687,0.52,47,109
223764799450,0.2,47,92
223291925999,,46,118
223296314242,,46,91
223170676817,,44,178
223388504430,,44,102
223749543549,0.16,44,98
223474913313,,43,136
223669908658,,43,144
223316483238,,42,104
223336576172,,42,89
223726806244,,42,94
223580589189,,42,54
223167739697,,41,97
223195081339,,41,142
223410586957,,41,119
223538287634,,41,123
223567150315,,41,105
223426266336,,41,93
223170259404,,38,97
223329529682,,37,89
223398163987,,36,105
223472120224,,36,100
223688912947,,36,145
223195081723,,36,70
223827530915,,34,93
223736985385,,33,142
223147720485,,31,97
223461648342,,31,65
223773517706,0.18,30,98
223773517706,0.18,30,100
223595953482,,29,108
223620072636,,29,69
223836024559,,29,56
223264573936,,28,53
223453337978,,28,124
223672012238,,28,110
223838896283,,28,109
223319741081,,28,90
223652586578,,28,39
223855422665,0.16,28,88
223221503683,,27,63
223273627729,,27,112
223493106667,,27,71
223805053360,,27,58
223184556078,,26,87
223486986872,,26,68
223633437760,,26,57
223687414025,,26,68
223880864293,,26,124
223326895234,,26,97
223800709422,0.25,26,77
223680022380,,25,70
223179567720,,25,81
223381312568,,24,51
223795754394,,24,111
223258396983,,24,162
223243681120,,23,76
223639488509,,23,63
223864036929,,23,117
223582734928,,21,69
223135306927,,20,85
223142147666,,20,147
223593477720,,20,93
223755253807,,20,75
223561578738,,19,85
223807794823,,19,69
223843922177,,19,104
223185551859,,18,112
223372527171,,18,69
223445765237,,18,53
223783492274,,17,54
223188852298,,16,74
223574319522,,16,50
223786013522,0.16,16,65
223566420908,,15,72
223569663447,,15,46
223883326729,,15,144
223875842051,0.18,15,53
223209608215,,14,91
223249211681,,14,65
223390910030,,14,69
223880001893,,14,80
223247611266,,13,131
223416621409,,13,58
223911334860,,13,142
223214107371,,12,56
223665255366,,12,59
223857788386,,12,153
223505228904,,11,81
223529572559,,11,61
223894869681,,10,154
223610202977,,10,38
223841268715,,10,29
223735795643,,9,46
223872218238,,9,58
223408605557,,9,28
223350038257,,8,45
223564055125,,8,63
223802571164,,8,73
223832442086,,8,40
223883087276,,8,89
223464390508,,7,58
223772043532,,7,38
223809471767,,7,48
223305026270,,6,57
223515640939,,6,52
223539343578,,6,92
223790580014,,6,39
223347599407,,5,34
223903759866,,5,151
223338916153,,5,65
223819383233,,3,47
