"searchQuery","date","pc","mobile"
"내이튼치과","2024-06",150,410
"내이튼치과","2024-09",160,560
"내이튼치과","2024-03",130,390
"내이튼치과","2024-07",140,420
"내이튼치과","2023-08",170,1000
"내이튼치과","2024-08",120,470
"내이튼치과","2024-12",150,540
"내이튼치과","2024-02",90,460
"내이튼치과","2023-10",130,820
"내이튼치과","2023-12",130,500
"내이튼치과","2024-04",130,360
"내이튼치과","2025-06",190,910
"내이튼치과","2024-11",130,460
"내이튼치과","2025-03",140,640
"내이튼치과","2025-04",140,850
"내이튼치과","2023-07",150,850
"내이튼치과","2023-09",190,880
"내이튼치과","2024-01",120,520
"내이튼치과","2024-05",200,520
"내이튼치과","2025-02",160,540
"내이튼치과","2023-11",140,920
"내이튼치과","2024-10",120,570
"내이튼치과","2025-01",150,680
"내이튼치과","2025-05",180,740
"동탄 내이튼치과","2024-06",60,610
"동탄 내이튼치과","2024-09",50,490
"동탄 내이튼치과","2024-03",40,560
"동탄 내이튼치과","2024-07",60,540
"동탄 내이튼치과","2023-08",30,190
"동탄 내이튼치과","2024-08",50,670
"동탄 내이튼치과","2024-12",40,510
"동탄 내이튼치과","2024-02",40,550
"동탄 내이튼치과","2023-10",20,120
"동탄 내이튼치과","2023-12",50,490
"동탄 내이튼치과","2024-04",60,530
"동탄 내이튼치과","2025-06",30,250
"동탄 내이튼치과","2024-11",60,610
"동탄 내이튼치과","2025-03",50,590
"동탄 내이튼치과","2025-04",30,450
"동탄 내이튼치과","2023-07",30,110
"동탄 내이튼치과","2023-09",10,170
"동탄 내이튼치과","2024-01",40,540
"동탄 내이튼치과","2024-05",50,600
"동탄 내이튼치과","2025-02",60,660
"동탄 내이튼치과","2023-11",30,170
"동탄 내이튼치과","2024-10",50,750
"동탄 내이튼치과","2025-01",50,400
"동탄 내이튼치과","2025-05",40,430
"이가 깨졌어요","2024-06",40,380
"이가 깨졌어요","2024-09",20,280
"이가 깨졌어요","2024-03",30,350
"이가 깨졌어요","2024-07",40,360
"이가 깨졌어요","2023-08",20,360
"이가 깨졌어요","2024-08",40,400
"이가 깨졌어요","2024-12",20,300
"이가 깨졌어요","2024-02",30,390
"이가 깨졌어요","2023-10",40,420
"이가 깨졌어요","2023-12",30,440
"이가 깨졌어요","2024-04",40,390
"이가 깨졌어요","2025-06",8,40
"이가 깨졌어요","2024-11",30,260
"이가 깨졌어요","2025-03",10,220
"이가 깨졌어요","2025-04",10,190
"이가 깨졌어요","2023-07",20,300
"이가 깨졌어요","2023-09",30,330
"이가 깨졌어요","2024-01",40,350
"이가 깨졌어요","2024-05",30,380
"이가 깨졌어요","2025-02",20,240
"이가 깨졌어요","2023-11",40,420
"이가 깨졌어요","2024-10",30,360
"이가 깨졌어요","2025-01",20,320
"이가 깨졌어요","2025-05",8,60
"송곳니 충치","2024-06",40,320
"송곳니 충치","2024-09",30,320
"송곳니 충치","2024-03",40,390
"송곳니 충치","2024-07",30,420
"송곳니 충치","2023-08",50,460
"송곳니 충치","2024-08",40,410
"송곳니 충치","2024-12",40,370
"송곳니 충치","2024-02",40,470
"송곳니 충치","2023-10",30,410
"송곳니 충치","2023-12",30,400
"송곳니 충치","2024-04",40,370
"송곳니 충치","2025-06",30,270
"송곳니 충치","2024-11",30,350
"송곳니 충치","2025-03",20,390
"송곳니 충치","2025-04",30,250
"송곳니 충치","2023-07",40,470
"송곳니 충치","2023-09",20,390
"송곳니 충치","2024-01",40,410
"송곳니 충치","2024-05",30,350
"송곳니 충치","2025-02",40,410
"송곳니 충치","2023-11",50,380
"송곳니 충치","2024-10",30,360
"송곳니 충치","2025-01",30,400
"송곳니 충치","2025-05",10,250
"앞니 벌어짐","2024-06",350,2850
"앞니 벌어짐","2024-09",350,2790
"앞니 벌어짐","2024-03",410,3470
"앞니 벌어짐","2024-07",360,2860
"앞니 벌어짐","2023-08",380,3620
"앞니 벌어짐","2024-08",310,2870
"앞니 벌어짐","2024-12",460,2570
"앞니 벌어짐","2024-02",330,3370
"앞니 벌어짐","2023-10",350,3630
"앞니 벌어짐","2023-12",290,2890
"앞니 벌어짐","2024-04",360,3080
"앞니 벌어짐","2025-06",480,2080
"앞니 벌어짐","2024-11",600,2670
"앞니 벌어짐","2025-03",490,3000
"앞니 벌어짐","2025-04",510,2460
"앞니 벌어짐","2023-07",320,3280
"앞니 벌어짐","2023-09",340,3000
"앞니 벌어짐","2024-01",350,3590
"앞니 벌어짐","2024-05",360,3390
"앞니 벌어짐","2025-02",480,2890
"앞니 벌어짐","2023-11",370,2920
"앞니 벌어짐","2024-10",570,3150
"앞니 벌어짐","2025-01",510,2840
"앞니 벌어짐","2025-05",460,2580
"송곳니 레진","2024-06",20,120
"송곳니 레진","2024-09",20,140
"송곳니 레진","2024-03",30,160
"송곳니 레진","2024-07",10,150
"송곳니 레진","2023-08",10,150
"송곳니 레진","2024-08",20,110
"송곳니 레진","2024-12",10,140
"송곳니 레진","2024-02",20,150
"송곳니 레진","2023-10",20,130
"송곳니 레진","2023-12",20,180
"송곳니 레진","2024-04",20,140
"송곳니 레진","2025-06",20,90
"송곳니 레진","2024-11",20,140
"송곳니 레진","2025-03",20,140
"송곳니 레진","2025-04",10,140
"송곳니 레진","2023-07",20,190
"송곳니 레진","2023-09",20,160
"송곳니 레진","2024-01",30,170
"송곳니 레진","2024-05",20,180
"송곳니 레진","2025-02",10,120
"송곳니 레진","2023-11",20,150
"송곳니 레진","2024-10",20,120
"송곳니 레진","2025-01",10,170
"송곳니 레진","2025-05",10,110
"pulpotomy","2024-06",200,350
"pulpotomy","2024-09",120,230
"pulpotomy","2024-03",190,300
"pulpotomy","2024-07",200,370
"pulpotomy","2023-08",190,250
"pulpotomy","2024-08",200,280
"pulpotomy","2024-12",160,260
"pulpotomy","2024-02",160,180
"pulpotomy","2023-10",140,270
"pulpotomy","2023-12",140,210
"pulpotomy","2024-04",210,430
"pulpotomy","2025-06",200,280
"pulpotomy","2024-11",180,260
"pulpotomy","2025-03",190,360
"pulpotomy","2025-04",170,310
"pulpotomy","2023-07",190,290
"pulpotomy","2023-09",150,260
"pulpotomy","2024-01",170,300
