date,keyword,is_brand,cnt
2024-06,내이튼치과,Y,560
2024-09,내이튼치과,Y,720
2024-03,내이튼치과,Y,520
2024-07,내이튼치과,Y,560
2023-08,내이튼치과,Y,1170
2024-08,내이튼치과,Y,590
2024-12,내이튼치과,Y,690
2024-02,내이튼치과,Y,550
2023-10,내이튼치과,Y,950
2023-12,내이튼치과,Y,630
2024-04,내이튼치과,Y,490
2025-06,내이튼치과,Y,1100
2024-11,내이튼치과,Y,590
2025-03,내이튼치과,Y,780
2025-04,내이튼치과,Y,990
2023-07,내이튼치과,Y,1000
2023-09,내이튼치과,Y,1070
2024-01,내이튼치과,Y,640
2024-05,내이튼치과,Y,720
2025-02,내이튼치과,Y,700
2023-11,내이튼치과,Y,1060
2024-10,내이튼치과,Y,690
2025-01,내이튼치과,Y,830
2025-05,내이튼치과,Y,920
2024-06,동탄 내이튼치과,Y,670
2024-09,동탄 내이튼치과,Y,540
2024-03,동탄 내이튼치과,Y,600
2024-07,동탄 내이튼치과,Y,600
2023-08,동탄 내이튼치과,Y,220
2024-08,동탄 내이튼치과,Y,720
2024-12,동탄 내이튼치과,Y,550
2024-02,동탄 내이튼치과,Y,590
2023-10,동탄 내이튼치과,Y,140
2023-12,동탄 내이튼치과,Y,540
2024-04,동탄 내이튼치과,Y,590
2025-06,동탄 내이튼치과,Y,280
2024-11,동탄 내이튼치과,Y,670
2025-03,동탄 내이튼치과,Y,640
2025-04,동탄 내이튼치과,Y,480
2023-07,동탄 내이튼치과,Y,140
2023-09,동탄 내이튼치과,Y,180
2024-01,동탄 내이튼치과,Y,580
2024-05,동탄 내이튼치과,Y,650
2025-02,동탄 내이튼치과,Y,720
2023-11,동탄 내이튼치과,Y,200
2024-10,동탄 내이튼치과,Y,800
2025-01,동탄 내이튼치과,Y,450
2025-05,동탄 내이튼치과,Y,470
2024-06,이가 깨졌어요,N,420
2024-09,이가 깨졌어요,N,300
2024-03,이가 깨졌어요,N,380
2024-07,이가 깨졌어요,N,400
2023-08,이가 깨졌어요,N,380
2024-08,이가 깨졌어요,N,440
2024-12,이가 깨졌어요,N,320
2024-02,이가 깨졌어요,N,420
2023-10,이가 깨졌어요,N,460
2023-12,이가 깨졌어요,N,470
2024-04,이가 깨졌어요,N,430
2025-06,이가 깨졌어요,N,48
2024-11,이가 깨졌어요,N,290
2025-03,이가 깨졌어요,N,230
2025-04,이가 깨졌어요,N,200
2023-07,이가 깨졌어요,N,320
2023-09,이가 깨졌어요,N,360
2024-01,이가 깨졌어요,N,390
2024-05,이가 깨졌어요,N,410
2025-02,이가 깨졌어요,N,260
2023-11,이가 깨졌어요,N,460
2024-10,이가 깨졌어요,N,390
2025-01,이가 깨졌어요,N,340
2025-05,이가 깨졌어요,N,68
2024-06,송곳니 충치,N,360
2024-09,송곳니 충치,N,350
2024-03,송곳니 충치,N,430
2024-07,송곳니 충치,N,450
2023-08,송곳니 충치,N,510
2024-08,송곳니 충치,N,450
2024-12,송곳니 충치,N,410
2024-02,송곳니 충치,N,510
2023-10,송곳니 충치,N,440
2023-12,송곳니 충치,N,430
2024-04,송곳니 충치,N,410
2025-06,송곳니 충치,N,300
2024-11,송곳니 충치,N,380
2025-03,송곳니 충치,N,410
2025-04,송곳니 충치,N,280
2023-07,송곳니 충치,N,510
2023-09,송곳니 충치,N,410
2024-01,송곳니 충치,N,450
2024-05,송곳니 충치,N,380
2025-02,송곳니 충치,N,450
2023-11,송곳니 충치,N,430
2024-10,송곳니 충치,N,390
2025-01,송곳니 충치,N,430
2025-05,송곳니 충치,N,260
2024-06,앞니 벌어짐,N,3200
2024-09,앞니 벌어짐,N,3140
2024-03,앞니 벌어짐,N,3880
2024-07,앞니 벌어짐,N,3220
2023-08,앞니 벌어짐,N,4000
2024-08,앞니 벌어짐,N,3180
2024-12,앞니 벌어짐,N,3030
2024-02,앞니 벌어짐,N,3700
2023-10,앞니 벌어짐,N,3980
2023-12,앞니 벌어짐,N,3180
2024-04,앞니 벌어짐,N,3440
2025-06,앞니 벌어짐,N,2560
2024-11,앞니 벌어짐,N,3270
2025-03,앞니 벌어짐,N,3490
2025-04,앞니 벌어짐,N,2970
2023-07,앞니 벌어짐,N,3600
2023-09,앞니 벌어짐,N,3340
2024-01,앞니 벌어짐,N,3940
2024-05,앞니 벌어짐,N,3750
2025-02,앞니 벌어짐,N,3370
2023-11,앞니 벌어짐,N,3290
2024-10,앞니 벌어짐,N,3720
2025-01,앞니 벌어짐,N,3350
2025-05,앞니 벌어짐,N,3040
2024-06,송곳니 레진,N,140
2024-09,송곳니 레진,N,160
2024-03,송곳니 레진,N,190
2024-07,송곳니 레진,N,160
2023-08,송곳니 레진,N,160
2024-08,송곳니 레진,N,130
2024-12,송곳니 레진,N,150
2024-02,송곳니 레진,N,170
2023-10,송곳니 레진,N,150
2023-12,송곳니 레진,N,200
2024-04,송곳니 레진,N,160
2025-06,송곳니 레진,N,110
2024-11,송곳니 레진,N,160
2025-03,송곳니 레진,N,160
2025-04,송곳니 레진,N,150
2023-07,송곳니 레진,N,210
2023-09,송곳니 레진,N,180
2024-01,송곳니 레진,N,200
2024-05,송곳니 레진,N,200
2025-02,송곳니 레진,N,130
2023-11,송곳니 레진,N,170
2024-10,송곳니 레진,N,140
2025-01,송곳니 레진,N,180
2025-05,송곳니 레진,N,120
2024-06,pulpotomy,N,550
2024-09,pulpotomy,N,350
2024-03,pulpotomy,N,490
2024-07,pulpotomy,N,570
2023-08,pulpotomy,N,440
2024-08,pulpotomy,N,480
2024-12,pulpotomy,N,420
2024-02,pulpotomy,N,340
2023-10,pulpotomy,N,410
2023-12,pulpotomy,N,350
2024-04,pulpotomy,N,640
2025-06,pulpotomy,N,480
2024-11,pulpotomy,N,440
2025-03,pulpotomy,N,550
2025-04,pulpotomy,N,480
2023-07,pulpotomy,N,480
2023-09,pulpotomy,N,410
2024-01,pulpotomy,N,470
2024-05,pulpotomy,N,570
2025-02,pulpotomy,N,470
2023-11,pulpotomy,N,400
2024-10,pulpotomy,N,470
2025-01,pulpotomy,N,400
2025-05,pulpotomy,N,460
2024-06,재신경치료 기간,N,54
2024-09,재신경치료 기간,N,56
2024-03,재신경치료 기간,N,78
2024-07,재신경치료 기간,N,70
2023-08,재신경치료 기간,N,70
2024-08,재신경치료 기간,N,80
2024-12,재신경치료 기간,N,80
2024-02,재신경치료 기간,N,80
2023-10,재신경치료 기간,N,50
2023-12,재신경치료 기간,N,60
2024-04,재신경치료 기간,N,60
2025-06,재신경치료 기간,N,98
2024-11,재신경치료 기간,N,60
2025-03,재신경치료 기간,N,120
2025-04,재신경치료 기간,N,130
2023-07,재신경치료 기간,N,90
2023-09,재신경치료 기간,N,50
2024-01,재신경치료 기간,N,70
2024-05,재신경치료 기간,N,45
2025-02,재신경치료 기간,N,140
2023-11,재신경치료 기간,N,60
2024-10,재신경치료 기간,N,50
2025-01,재신경치료 기간,N,78
2025-05,재신경치료 기간,N,120
2024-06,치아 옆면 충치,N,380
2024-09,치아 옆면 충치,N,350
2024-03,치아 옆면 충치,N,370
2024-07,치아 옆면 충치,N,350
2023-08,치아 옆면 충치,N,320
2024-08,치아 옆면 충치,N,360
2024-12,치아 옆면 충치,N,320
2024-02,치아 옆면 충치,N,410
2023-10,치아 옆면 충치,N,340
2023-12,치아 옆면 충치,N,340
2024-04,치아 옆면 충치,N,380
2025-06,치아 옆면 충치,N,240
2024-11,치아 옆면 충치,N,310
2025-03,치아 옆면 충치,N,250
2025-04,치아 옆면 충치,N,220
2023-07,치아 옆면 충치,N,350
2023-09,치아 옆면 충치,N,310
2024-01,치아 옆면 충치,N,420
2024-05,치아 옆면 충치,N,340
2025-02,치아 옆면 충치,N,300
2023-11,치아 옆면 충치,N,370
2024-10,치아 옆면 충치,N,350
2025-01,치아 옆면 충치,N,320
2025-05,치아 옆면 충치,N,250
2024-06,신경치료 후 염증,N,600
2024-09,신경치료 후 염증,N,650
2024-03,신경치료 후 염증,N,630
2024-07,신경치료 후 염증,N,630
2023-08,신경치료 후 염증,N,620
2024-08,신경치료 후 염증,N,710
2024-12,신경치료 후 염증,N,580
2024-02,신경치료 후 염증,N,600
2023-10,신경치료 후 염증,N,620
2023-12,신경치료 후 염증,N,650
2024-04,신경치료 후 염증,N,610
2025-06,신경치료 후 염증,N,420
2024-11,신경치료 후 염증,N,640
2025-03,신경치료 후 염증,N,490
2025-04,신경치료 후 염증,N,500
2023-07,신경치료 후 염증,N,640
2023-09,신경치료 후 염증,N,560
2024-01,신경치료 후 염증,N,700
2024-05,신경치료 후 염증,N,590
2025-02,신경치료 후 염증,N,610
2023-11,신경치료 후 염증,N,690
2024-10,신경치료 후 염증,N,700
2025-01,신경치료 후 염증,N,530
2025-05,신경치료 후 염증,N,410
2024-06,어금니 신경치료 기간,N,350
2024-09,어금니 신경치료 기간,N,240
2024-03,어금니 신경치료 기간,N,400
2024-07,어금니 신경치료 기간,N,460
