company_name,rank,visitor_reviews,blog_reviews,rank_std_60d,unified_tier
동탄센트럴치과병원,1,565,4757,0.816496580927726,Tier 1
동탄하나로치과의원,2,699,2194,1.3291601358251257,Tier 1
이즈치과의원,3,1383,4469,1.2649110640673518,Tier 1
동탄키움치과의원,4,386,2235,3.4302575219167832,Tier 1
서울굿플란트치과의원,5,319,3148,2.9439202887759492,Tier 1
플란치과의원 경기 동탄점,6,745,2928,1.1690451944500122,Tier 1
동탄주치과의원,7,638,3124,2.9944392908634274,Tier 2
채움치과의원 동탄,8,533,2148,1.2649110640673518,Tier 2
서울베스트치과의원 동탄점,9,960,2893,3.444802848737017,Tier 2
동탄리즈치과의원,10,606,1392,1.8618986725025253,Tier 2
병점맥스치과의원,11,24,704,2.2509257354845507,Tier 2
연세참예쁜치과교정과치과의원 동탄,12,714,1735,1.3662601021279468,Tier 2
이루다소아치과의원,13,1027,87,1.3291601358251257,Tier 2
서울포인트치과의원,14,166,763,8.035338615557322,Tier 2
연세윤손치과의원,15,724,464,1.0327955589886444,Tier 2
더새로운치과의원,16,721,1738,4.633213427705081,Tier 2
연세바로치과교정과치과의원,17,1401,57,0.8164965809277269,Tier 2
마이플란트치과의원 동탄,18,400,717,5.244044240850759,Tier 2
동탄아이소망치과소아치과의원,19,777,739,4.665476038590989,Tier 4
바른이턱치과의원 동탄점,20,686,995,4.633213427705081,Tier 4
동탄CL치과의원,21,1003,66,3.502380143083653,Tier 4
연세선이고은치과의원,22,503,531,11.519548602267365,Tier 4
내이튼치과의원,23,357,267,1.4719601443879737,Tier 4
첫번째치과의원,24,580,195,2.4221202832779927,Tier 4
동탄역예나치과교정과치과의원,25,603,184,4.956477243634502,Tier 4
서울아이미래치과의원,26,217,68,11.290113669342158,Tier 4
로덴치과의원,27,507,17,10.53407170407847,Tier 4
디유치과의원,28,1033,569,40.70094184004428,Tier 3
동탄365바름치과의원,29,461,497,3.794733192202055,Tier 4
벗치과의원,30,269,1104,4.131182235954578,Tier 4
동탄꿈의치과의원,31,481,345,4.718756898449704,Tier 4
꿈꾸는 소아치과의원,32,399,17,2.0655911179772892,Tier 4
미래꿈나무쥬니어치과의원,33,287,34,2.7868739954771304,Tier 4
서울키즈치과의원,34,280,22,7.633260552782583,Tier 4
메타폴리스치과의원,35,704,19,5.537749241945382,Tier 4
동탄서울에스치과의원,36,764,42,4.9159604012508735,Tier 4
동탄어린이치과의원,37,356,13,17.634246983261484,Tier 4
동탄연세원구강악안면외과치과의원,38,665,340,3.391164991562635,Tier 4
서울라미플란트치과교정과치과의원,39,1249,545,9.092121131323903,Tier 4
서울안지연치과교정과치과의원,40,281,159,5.692099788303082,Tier 4
동탄스타치과의원,41,409,62,5.761944116355174,Tier 4
삼성바른치과의원,42,287,293,5.240865068542279,Tier 4
올봄플란트치과의원,43,611,96,6.418722614352484,Tier 4
이루다치과의원,44,1069,108,4.535048695071164,Tier 4
예나치과교정과치과의원,45,765,341,2.588435821108957,Tier 4
코코치과교정과치과의원,46,335,146,3.3714487489307423,Tier 4
든든한치과의원,47,464,222,6.493586579592719,Tier 4
에코플러스치과의원,48,308,252,5.761944116355173,Tier 4
선키스트치과의원,49,245,180,6.442049363362563,Tier 4
연세프렌즈치과의원,50,380,82,6.6558245169174945,Tier 4
정이든치과의원,51,221,6,5.845225972250061,Tier 4
스마일온치과보철과치과의원,52,593,29,7.286974680894672,Tier 4
동탄365나무치과의원,53,179,10,12.17237309100681,Tier 4
365서울차오름치과의원,54,451,56,12.464616587230699,Tier 4
착한미소치과의원,55,790,852,7.139094246938239,Tier 4
아름다운턱치과의원,56,356,9,5.645056834671079,Tier 4
키즈엔젤치과의원,57,70,7,5.980523945831725,Tier 4
동탄키즈사랑소아치과의원,58,180,7,4.355073669487884,Tier 4
행복을심는치과의원,59,272,7,5.24086506854228,Tier 4
아는치과의원,60,291,832,4.33589667773576,Tier 4
동탄미소치과의원,61,389,8,5.115336417740935,Tier 4
동탄연세세브란스치과의원,62,731,288,9.486832980505136,Tier 4
유디치과의원 동탄점,63,412,21,5.23131595936115,Tier 4
