place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1941978270,트리움치과의원,3091,541,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강동구치과 송파구인비절라인투명치아교정 디지털네비게이션임플란트 수면무통매복사랑니당일발치 성내동365무삭제라미네이트,,0.33134,0.484322,0.398568,,0,272.0,26.0,,0.0177,-0.003638,0.006405
2,1861445310,서울와이드치과의원 강동암사점,2474,653,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강동구치과 뼈이식3D네비게이션임플란트 사랑니발치틀니보철치료 인비절라인투명치아교정 앞니치아미백,,0.33134,0.47875,0.398147,,7,353.0,0.0,,0.0177,0.047787,0.010286
3,1154632626,닥터재일치과의원,2423,2610,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면무통마취치과 임플란트염증재수술 충치신경보존잇몸치료 완전매복사랑니발치 턱관절장애통증장치치료,,0.33134,0.467194,0.397275,,-1,203.0,16.0,,0.0177,-0.006701,0.006174
4,1414402137,연세꿈꾸는치과교정과의원 강동둔촌점,2511,985,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털네비게이션임플란트 수평매복사랑니당일발치 무삭제라미네이트 투명치아교정 강동구교정치과,,0.33134,0.466994,0.39726,,-1,154.0,111.0,,0.0177,0.015281,0.007833
5,1989758373,디어스치과의원,2464,1132,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강동구치과 명일역치과 원데이임플란트발치 교정잇몸치료 무삭제라미네이트,,0.33134,0.456831,0.396493,,2,416.0,6.0,,0.0177,0.018648,0.008087
6,1080959331,서울더자연치과의원,2024,1863,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강동구임플란트 명일동수면치과 암사동수면임플란트 명일역전체임플란트 천호무삭제라미네이트,,0.33134,0.44372,0.395503,,6,335.0,40.0,,0.0177,0.032294,0.009116
7,12038819,아이엠치과병원,2823,443,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,강동구치과 천호치과 강동구치아교정 강동구임플란트 강동치과,,0.33134,0.442048,0.395377,,-3,135.0,3.0,,0.0177,-0.008051,0.006071
8,1173075708,연세남기세치과의원,1983,329,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,길동치과 강동구치과 법랑질치아성형 친수성임플란트 파크포레온치과,,0.33134,0.440164,0.395235,,-3,231.0,3.0,,0.0177,-0.005981,0.006228
9,1477774158,365서울바로치과의원,2852,511,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강동구치과 성내동치과 둔촌동치과 임플란트 턱관절,,0.33134,0.437403,0.395027,,-1,188.0,4.0,,0.0177,0.002234,0.006848
10,13462471,미소탑치과의원,4624,421,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,충치치료 임플란트 사랑니발치 교정치료 라미네이트,,0.331294,0.436156,0.394915,,-4,193.0,4.0,,0.0177,-0.002968,0.006455
