place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1153579748,서울장플란트치과의원,1647,361,치과,건강의료>병원>병원의원>치과>치과-일반,4.96,,수유역치과 네비게이션임플란트 수면임플란트 보험임플란트 투명교정,,0.33134,0.423027,0.378847,,0,39.0,1.0,,0.0177,-0.022446,0.004985
2,19532112,강북백상치과의원,1069,1274,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,임플란트 수유역치과 수면치료 수면임플란트 사랑니발치,,0.33134,0.421822,0.378756,,1,50.0,24.0,,0.0177,-0.008131,0.006065
3,1705866827,타임플란트치과의원,3213,484,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,수유역치과 수유역임플란트 임플란트치과 충치치료 치아교정,,0.33134,0.421149,0.378706,,-1,180.0,0.0,,0.0177,-0.01845,0.005287
4,1107447418,서울민플러스치과의원 수유역점,2675,1023,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,원데이디지털임플란트재수술 투명교정인비절라인 완전매복사랑니당일발치 최소무삭제라미네이트 충치신경보존잇몸치료,,0.331294,0.390579,0.376381,,0,1.0,3.0,,0.0177,-0.003549,0.006411
5,1555255676,이선생치과의원,1218,175,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강북구임플란트 미아역치과 삼양동신경치료 미아동현미경치료 수유사랑니발치,,0.33134,0.379779,0.375583,,0,111.0,5.0,,0.0177,-0.000982,0.006605
6,37296903,선한치과의원,842,597,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수유역치과 수유역야간진료치과 충치치료 사랑니발치 수면임플란트,,0.33134,0.37474,0.375203,,0,27.0,0.0,,0.0177,-0.002766,0.006471
7,1901007265,서울숙면치과의원 수유,1928,1124,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,수면임플란트 수유역치과 수유역임플란트 수면치과 치아교정,,0.33134,0.357594,0.373909,,0,90.0,1.0,,0.0177,-0.013425,0.005666
8,13275639,엠플란트치과의원,1536,810,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,미아역치과 미세현미경치과 강북구치과 미아동치과 재신경치료,,0.33134,0.356996,0.373864,,1,99.0,9.0,,0.0177,0.020018,0.00819
9,1243588461,서울굿타임치과의원,1054,465,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,임플란트 사랑니발치 강북구치과 미아동치과 미아역치과,,0.33134,0.346009,0.373035,,3,21.0,0.0,,0.0177,0.01864,0.008086
10,424333721,더예쁜치과의원,1405,375,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수유역치과 양심치과 신경치료 임플란트 턱관절,,0.33134,0.338252,0.372449,,-2,99.0,2.0,,0.0177,-0.003291,0.006431
11,13550548,뉴욕M치과의원,1678,318,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수유역치과 수유역치아교정 수유역임플란트 수유역사랑니 교정치과,,0.33134,0.330913,0.371895,,0,242.0,2.0,,0.0177,0.002744,0.006886
12,36899970,사랑이치과의원,39,525,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.330066,0.371814,,1,-1.0,0.0,,0.0177,0.013765,0.007718
13,630481234,서울J플란트치과의원,731,421,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,미아동치과 강북구임플란트 미아역턱관절진료 미아사거리치아교정 수유사랑니발치,,0.33134,0.327378,0.371629,,-3,41.0,2.0,,0.0177,-0.008603,0.006031
14,1363056964,연세닥터스치과의원 미아사거리,259,1198,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,교정치과 치아교정 미아사거리 치과 임플란트,,0.33134,0.321286,0.371169,,1,51.0,10.0,,0.0177,0.013291,0.007683
15,1681467177,서울메종치과의원 미아사거리,1259,567,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,미아사거리임플란트 미아사거리치과 강북구임플란트 강북구치과 미아사거리역치과,,0.33134,0.307806,0.370151,,-1,3.0,0.0,,0.0177,-0.001336,0.006578
16,11663301,연세고운미소치과의원,176,1107,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,임플란트치과 신경치료치과 교정치과 스케일링 충치치료,,0.33134,0.295869,0.369251,,4,0.0,3.0,,0.0177,0.0245,0.008529
