place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1704375524,아이디마곡치과교정과치과의원,5086,1860,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,마곡치과 발산역치과 마곡교정치과 발산역교정치과 강서구교정치과,,0.33134,0.514969,0.415975,,5,223.0,1.0,,0.0177,0.046976,0.010225
2,615245717,친절한홍치과의원 마곡,4353,1141,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,마곡나루역치과 마곡치과 마곡나루치과 마곡나루임플란트 강서치과,,0.33134,0.49925,0.414789,,2,359.0,1.0,,0.0177,0.025797,0.008627
3,1663644193,365서울원탑치과의원,1900,1598,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 라미네이트 치아교정 사랑니발치 전체임플란트,,0.331294,0.487311,0.41387,,0,109.0,16.0,,0.0177,0.006353,0.007158
4,35840179,연세힐치과의원,2588,815,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,전체임플란트 수면임플란트 강서구치과 강서구임플란트 화곡치과,,0.33134,0.485669,0.413764,,5,219.0,3.0,,0.0177,0.031333,0.009044
5,1815711698,서울쏙쏙치과의원,2312,278,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니발치 턱관절통증장애 충치신경치료 수면마취임플란트치과 마곡치과,,0.33134,0.475514,0.412997,,0,307.0,1.0,,0.0177,0.004264,0.007001
6,1911432472,서울루다치과의원,6271,648,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,강서구치과 임플란트 충치치료 치아교정 라미네이트,,0.33134,0.474089,0.41289,,-5,179.0,9.0,,0.0177,-0.014172,0.00561
7,1051681287,서울올바름치과의원 마곡,3126,352,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,마곡치과 강서구치과 마곡네비게이션임플란트치과 치아교정치과인비절라인 사랑니발치잇몸치료,,0.33134,0.470267,0.412601,,-5,312.0,0.0,,0.0177,-0.011813,0.005788
8,1991883053,파미에치과의원,2461,488,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,화곡역치과수면진료 화곡역임플란트 화곡역사랑니발치 화곡역심미보철 화곡역치과,,0.33134,0.464704,0.412181,,-1,251.0,5.0,,0.0177,-0.001253,0.006584
9,1830426593,리라이브치과의원 마곡,3489,715,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,턱관절치료 러버댐오버레이크라운 앞니심미치료 잇몸이식재치료 재신경치료임플란트,,0.331294,0.459654,0.411783,,1,655.0,-1.0,,0.0177,0.01593,0.007882
10,13440904,강서탑치과의원 발산,1244,896,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,발산역치과 가수면임플란트치과 턱관절무통마취처치 강서구매복사랑니발치 3D진단치아교정치과,,0.33134,0.454487,0.41141,Hot,14,233.0,5.0,,0.0177,0.070899,0.01203
11,19530562,강서예치과의원,4364,1382,치과,건강의료>병원>병원의원>치과>예치과,0.0,,발산역턱관절치료병원 강서구소아충치발치 임플란트치아교정 서울성인잇몸염증 마곡동설소대수술,,0.331294,0.452772,0.411264,,6,410.0,36.0,,0.0177,0.035761,0.009379
12,1821572851,연세이음치과의원,1466,608,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,화곡치과 화곡동치과 화곡역치과 화곡임플란트 화곡사랑니,,0.33134,0.448439,0.410954,,-4,117.0,2.0,,0.0177,-0.015537,0.005507
13,13268163,더와이즈치과병원,1414,2248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강서구치과 임플란트 충치치료 치아교정 화곡사랑니발치,,0.33134,0.441787,0.410452,,-2,284.0,4.0,,0.0177,0.002009,0.006831
14,1160976549,마곡베스트치과의원,3499,684,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,마곡치과 마곡나루역치과 마곡나루치과 강서구치과 임플란트,,0.33134,0.431418,0.409669,,-1,156.0,0.0,,0.0177,0.011539,0.00755
15,1109374491,연세유앤아이치과의원,1990,1575,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,발산역임플란트 발산역치과 마곡사랑니 라미네이트 마곡치과,,0.33134,0.430513,0.409601,,1,-5.0,10.0,,0.0177,0.011494,0.007547
16,13545332,이편한세상치과의원 화곡점,1580,2684,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,화곡역치과 강서구치과 강서디지털임플란트틀니 무삭제라미네이트심미보철 턱관절사랑니발치,,0.33134,0.429962,0.409559,,-2,345.0,87.0,,0.0177,0.010372,0.007462
