place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1771347453,바른이치과의원,2,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.211119,0.32963,,0,-,-,,-,-,-
2,13263017,중앙치과의원,3,92,치과,건강의료>병원>병원의원>치과>치과-일반,3.98,,임플란트 틀니 보철치료 충치치료 스케일링,,0.331294,0.202023,0.328943,,0,-,-,,-,-,-
3,1408019425,강진서울치과의원,0,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.18462,0.32763,,0,-,-,,-,-,-
4,1845986272,강진베스트치과의원,1,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 틀니 신경치료 발치,,0.33134,0.180417,0.32733,,0,-,-,,-,-,-
5,13263015,강진치과의원,3,29,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,,,0.331294,0.159762,0.325754,,0,-,-,,-,-,-
6,19533333,정호경치과의원,9,43,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,,,0.331294,0.134905,0.323878,,0,-,-,,-,-,-
7,1666599945,오복치과의원,0,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.10709,0.321778,,0,-,-,,-,-,-
8,19533329,김치과의원,0,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.100212,0.321259,,0,-,-,,-,-,-
9,20730686,월출기찬치과의원,0,3,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.093614,0.132082,,0,-,-,,-,-,-
10,13263200,해남우리종합병원,20,958,종합병원,건강의료>병원>종합병원>종합병원-일반,4.42,,,,0.0,0.278519,0.02102,,0,-,-,,-,-,-
