place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,2044244791,마니55플란트치과의원,256,52,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강화도치과 가이드임플란트 강화읍사랑니발치 디지털임플란트 관청리스케일링,,0.33134,0.341943,0.354615,,0,-,-,,-,-,-
2,1150293938,강화본치과의원,69,298,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,임플란트 틀니 스케일링 신경치료 충치치료,,0.331294,0.247235,0.34745,,0,-,-,,-,-,-
3,1942857050,강화바른치과의원,0,70,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절물리치료 사랑니발치 치아미백 어린이진료,,0.331294,0.227983,0.345997,,0,-,-,,-,-,-
4,35376609,강화탑치과의원,149,701,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,강화치과 강화읍치과 임플란트 치과레진 강화탑치과,,0.33134,0.217651,0.345234,,0,-,-,,-,-,-
5,1899466691,서울치과의원,0,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,,,0.331294,0.159992,0.340865,,0,-,-,,-,-,-
6,13241432,이편한치과의원,0,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.157296,0.340662,,0,-,-,,-,-,-
7,13241478,온수플러스치과의원,2,83,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.14857,0.340003,,0,-,-,,-,-,-
8,21303214,서울경로치과의원,30,59,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,임플란트 강화도치과 치과 강화도 틀니,,0.33134,0.138958,0.339295,,0,-,-,,-,-,-
9,20713368,건플란트치과의원,0,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.132206,0.338768,,0,-,-,,-,-,-
10,19531000,서울미소치과의원,0,26,치과,건강의료>병원>병원의원>치과>치과-일반,3.87,,,,0.331294,0.119397,0.337801,,0,-,-,,-,-,-
11,13241471,이사랑치과의원,0,23,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.115811,0.337531,,0,-,-,,-,-,-
12,13241444,오치과의원,2,20,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,,,0.331294,0.109613,0.337063,,0,-,-,,-,-,-
13,13241431,마리치과의원,1,36,치과,건강의료>병원>병원의원>치과>치과-일반,3.76,,,,0.331294,0.101863,0.336478,,0,-,-,,-,-,-
14,13241433,고려치과의원,0,17,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.086286,0.335303,,0,-,-,,-,-,-
15,19522378,강화치과의원,1,39,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,강화치과 보험임플란트 보험틀니 구강검진 강화도임플란트,,0.33134,0.073549,0.334359,,0,-,-,,-,-,-
16,13241464,연세치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,강화치과 강화연세치과 강화양심치과 보험틀니 충치치료,,0.33134,0.070173,0.334104,,0,-,-,,-,-,-
17,1116168554,비에스종합병원,276,119,종합병원,건강의료>병원>종합병원>종합병원-일반,4.02,,강화 비에스병원 척추관절 종합병원,,0.0,0.338458,0.214223,,0,-,-,,-,-,-
18,19522461,볼음보건지소,6,0,보건진료소,건강의료>병원>보건소>보건진료소,0.0,,,,0.0,0.096456,0.195959,,0,-,-,,-,-,-
19,19522409,주문보건지소,2,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.067157,0.193748,,0,-,-,,-,-,-
20,36768943,이가편한치과의원,5,15,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.126622,0.149667,,0,-,-,,-,-,-
