place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,36538875,뉴욕치과의원 거제,708,534,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,거제치과 고현동치과 거제시치과 거제임플란트 거제치아교정,,0.33134,0.335585,0.417843,,0,6.0,1.0,,0.0177,0.018674,0.003296
2,13261038,향기로운치과의원,19,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 교정 소아치과 사랑니발치 소아교정,,0.33134,0.291138,0.414489,,1,0.0,0.0,,0.0177,0.027475,0.00396
3,37292850,거제바른이치과교정과치과의원,316,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,치아교정 거제치아교정 거제교정전문의 거제치과 통영치과,,0.33134,0.289219,0.414344,,-1,1.0,0.0,,0.0177,0.001836,0.002025
4,1532473672,거제플란트치과의원,39,558,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,거제치과 임플란트 거제도치과 오스템 스케일링,,0.33134,0.264289,0.412462,,0,0.0,1.0,,0.0177,0.006681,0.00239
5,1602508519,유디치과의원 거제점,35,79,치과,건강의료>병원>병원의원>치과>유디치과,0.0,,거제치과 고현동치과 유디치과거제 고현동임플란트 거제임플란트,,0.33134,0.262063,0.412295,,0,0.0,0.0,,0.0177,0.005339,0.00229
6,1125218162,보스톤치과의원,4,1006,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 잇몸치료 사랑니발치 심미보철 충치치료,,0.331294,0.258925,0.41204,,2,0.0,4.0,,0.0177,0.008412,0.002521
7,1084199894,거제사랑치과의원,2,162,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.258225,0.411988,,3,0.0,1.0,,0.0177,0.014517,0.002983
8,13260965,부부치과의원,6,150,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,치아교정 교정 임플란트 틀니 충치치료,,0.331294,0.253574,0.411637,,1,0.0,0.0,,0.0177,0.008377,0.002519
9,33909485,서울강남치과의원 거제,433,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,거제치과 통영치과 임플란트 보존치료 보철치료,,0.33134,0.25194,0.41153,,-2,0.0,0.0,,0.0177,0.000169,0.001899
10,11877753,미르치과병원,8,544,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,치과병원 치과 임플란트 거제치과 스케일링,,0.33134,0.248252,0.411252,,-4,0.0,0.0,,0.0177,-0.008261,0.001263
11,31060350,본치과의원,1,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.245457,0.411024,,6,0.0,0.0,,0.0177,0.03533,0.004553
12,37436478,건강한치과의원 거제점,149,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,거제임플란트 거제사랑니 거제턱관절 거제이갈이 거제보톡스,,0.331294,0.239285,0.410558,,1,0.0,8.0,,0.0177,0.011046,0.00272
13,13261011,손덕일치과의원,5,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.238949,0.410533,,1,0.0,1.0,,0.0177,0.01144,0.00275
14,13261318,제일치과의원,0,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.233582,0.410128,,2,0.0,0.0,,0.0177,0.021616,0.003518
15,13261045,더조은치과의원,3,228,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.231026,0.409935,,0,0.0,0.0,,0.0177,0.01897,0.003318
16,35965074,서울연세탑치과의원,7,154,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,거제치과 임플란트 고현치과 충치치료 구강검진,,0.33134,0.229511,0.409838,,-5,0.0,0.0,,0.0177,-0.005321,0.001485
17,36219613,서울미소치과,108,231,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,치과 거제치과 거제도치과 임플란트 거제서울미소치과,,0.33134,0.228676,0.409775,,-5,0.0,1.0,,0.0177,-0.001465,0.001776
18,35652613,연세치과의원,4,298,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.227884,0.409698,,4,0.0,1.0,,0.0177,0.02956,0.004118
19,13261056,메디칼치과병원,109,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,임플란트 교정 어린이치과 치주과 치과병원,,0.33134,0.223526,0.409386,,-1,0.0,-1.0,,0.0177,0.014176,0.002956
