place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1715544302,프라임치과의원,1062,379,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,스케일링 심미보철 치아미백 임플란트 충치,,0.331294,0.396753,0.434206,,0,17.0,2.0,,0.0177,0.01569,0.007864
2,35219715,그랜드치과병원,195,543,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,치아교정 교정치과 임플란트 충치치료 경주치과,,0.33134,0.392591,0.433909,,0,1.0,3.0,,0.0177,0.017959,0.008035
3,20108743,경주엄마손소아치과의원,20,307,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.319927,0.428407,,1,0.0,2.0,,0.0177,0.020044,0.008192
4,1410677421,서울앞선치과,231,851,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,경주치과 황성동치과 야간진료치과 임플란트 경주임플란트,,0.33134,0.287636,0.425988,,-1,1.0,1.0,,0.0177,-0.038073,0.003806
5,33156372,로이스치과의원,70,459,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,경주치과 골이식 경주임플란트 경주사랑니발치 경주틀니,,0.33134,0.275412,0.425065,,0,0.0,0.0,,0.0177,0.003311,0.006929
6,887246983,아세아치과의원,472,279,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,경주치과 치과경주 경주치과의원 경주아세아치과 경주임플란트,,0.33134,0.266488,0.424392,,2,6.0,0.0,,0.0177,0.001677,0.006806
7,1927364665,VIP치과의원,48,330,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,경주치과 네비게이션임플란트 사랑니_틀니 치아충치치료 턱관절,,0.33134,0.264441,0.424237,,-1,0.0,1.0,,0.0177,-0.001495,0.006566
8,13258184,경주바른이 치과교정과 치과의원,8,175,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.263961,0.424184,,-1,0.0,2.0,,0.0177,-0.001484,0.006568
9,13258060,김치과의원,4,265,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,경주임플란트 경주치과 경주턱관절,,0.33134,0.259091,0.423833,,1,0.0,0.0,,0.0177,0.027812,0.008778
10,647296123,큐앤에이 치과의원,7,187,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,경주치과 경주임플란트 황성동치과 치과전문의 신경치료,,0.33134,0.242086,0.42255,,1,0.0,0.0,,0.0177,0.015334,0.007837
11,1291120213,이편한치과의원,1,181,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,치과 임플란트 크라운 충치치료 보철치료,,0.33134,0.24077,0.422451,,-2,0.0,0.0,,0.0177,0.00547,0.007093
12,13258150,이명치과의원,3,150,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.239224,0.422317,,3,0.0,1.0,,0.0177,0.029622,0.008915
13,1400391994,뉴욕치과의원,34,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,경주치과 경주임플란트 경주스켈링 경주보험임플란트 경주틀니,,0.33134,0.234023,0.421941,,1,0.0,1.0,,0.0177,0.018166,0.00805
14,31974853,양남치과의원,5,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,,,0.331294,0.227798,0.421454,,-2,0.0,1.0,,0.0177,0.005843,0.00712
15,1234435968,미소가있어행복한연합치과의원,2,253,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,금장치과 경주치과 미소행복,,0.33134,0.216312,0.420605,,2,0.0,2.0,,0.0177,0.017303,0.007986
16,32731193,경주쥬니어치과의원,4,220,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,경주소아치과 경주어린이치과 경주인비절라인 경주수면치료 경주소아교정,,0.33134,0.215981,0.42058,,-3,0.0,0.0,,0.0177,-0.00101,0.006603
17,2077274961,스마일라인치과의원,0,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,경주치과 경주교정치과 용황동치과 성인교정 청소년교정,,0.33134,0.213393,0.420384,,-1,0.0,0.0,,0.0177,0.010798,0.007494
18,1561066945,이로치과의원,1,108,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,경주치과 용강동치과 용황치과 이로치과 용황지구치과,,0.33134,0.195522,0.419036,,1,0.0,0.0,,0.0177,0.004764,0.007039
19,19530552,김형수치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,,,0.331294,0.193514,0.418867,,1,0.0,0.0,,0.0177,0.006762,0.00719
20,20127483,경주탑치과의원,1,103,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,경주_치과 경주_임플란트 경주_신경치료 경주_탑치과 탑치과,,0.33134,0.192598,0.418815,,-2,0.0,0.0,,0.0177,0.000735,0.006735
21,13258248,양병석치과의원,2,176,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.190604,0.418647,,7,0.0,1.0,,0.0177,0.029367,0.008896
22,13258094,이연합치과의원,2,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,임플란트 보존 보철 틀니 사랑니발치,,0.331294,0.18834,0.418476,,4,0.0,0.0,,0.0177,0.025127,0.008575
23,13258036,동산치과의원,3,57,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.186338,0.418325,,-2,0.0,0.0,,0.0177,0.000784,0.006738
24,13258069,안치과의원,3,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.182382,0.418027,,0,0.0,0.0,,0.0177,0.009404,0.007389
25,35528662,경주포레치과의원,2,126,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.179647,0.41782,,-3,0.0,0.0,,0.0177,-0.000831,0.006616
26,1949481186,이근희치과,1,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.177636,0.417669,,-1,0.0,0.0,,0.0177,0.005548,0.007099
27,36477389,닥터강치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.176493,0.417582,,2,0.0,0.0,,0.0177,0.020289,0.00821
28,13258136,부광치과의원,2,33,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,,,0.331294,0.174317,0.417418,,4,0.0,0.0,,0.0177,0.029487,0.008905
29,13258234,중앙치과의원,2,23,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.173615,0.417365,Hot,10,0.0,0.0,,0.0177,0.03533,0.009346
30,36477366,경주연합치과의원,1,143,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,임플란트 치아교정 틀니 경주치과 수험생할인,,0.33134,0.170064,0.417114,,-7,0.0,0.0,,0.0177,-0.007745,0.006095
31,13020623,안강동산치과의원,2,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.168858,0.417006,Hot,12,0.0,0.0,,0.0177,0.036012,0.009397
