place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1747043531,노엘치과의원,3,50,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,3D임플란트 3D스캔보철 틀니치료,,0.331294,0.257508,0.333131,,0,-,-,,-,-,-
2,30824151,계룡리더스치과의원,3,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.249523,0.332528,,0,-,-,,-,-,-
3,20473097,연세자연치과의원,1,125,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,,,0.331294,0.228969,0.330977,,0,-,-,,-,-,-
4,1923375900,계룡이사랑치과의원,1,130,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계룡치과 치과 임플란트 보철 전문의,,0.33134,0.220569,0.33036,,0,-,-,,-,-,-
5,36477387,다정한이치과의원,0,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,치과,,0.33134,0.204509,0.329148,,0,-,-,,-,-,-
6,13247314,하얀미소치과의원,0,78,치과,건강의료>병원>병원의원>치과>치과-일반,3.59,,계룡시치과 계룡시충치치료 계룡시스켈링 계룡시지르코니아 계룡시임플란트,,0.33134,0.180356,0.327325,,0,-,-,,-,-,-
7,13247299,이안치과의원,0,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.17759,0.327099,,0,-,-,,-,-,-
8,13247312,소망치과의원,2,161,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.17102,0.326603,,0,-,-,,-,-,-
9,19534917,연세윤치과의원,0,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.164898,0.326141,,0,-,-,,-,-,-
10,1973637596,백현준치과의원,0,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,,,0.331294,0.152068,0.325173,,0,-,-,,-,-,-
11,13247313,미소담치과의원,2,61,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.150672,0.325067,,0,-,-,,-,-,-
12,19533234,가족치과의원,0,16,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.1148,0.32236,,0,-,-,,-,-,-
13,13247325,필치과의원,2,47,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.105851,0.321685,,0,-,-,,-,-,-
14,1305951103,행복치과의원,0,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 병원 임플란트 보철 틀니,,0.33134,0.079526,0.319715,,0,-,-,,-,-,-
15,13246074,성모치과의원,2,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.123312,0.134323,,0,-,-,,-,-,-
