place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1966350660,더케이365치과병원 인천본점,2864,876,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천치과 턱관절치료 매복사랑니발치 인천치아교정치과 뼈이식임플란트,,0.33134,0.511283,0.439848,,0,453.0,17.0,,0.0177,-0.004968,0.006305
2,1046979868,계양가온365치과의원,1919,886,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,계산동치과 계양구치과 계양구임플란트 계양구사랑니발치 계양치과,,0.33134,0.428544,0.433603,,0,231.0,9.0,,0.0177,-0.016707,0.005418
3,13118325,인천W치과의원,381,894,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,임플란트 치아교정 일반진료 계산동치과 계양구치과,,0.33134,0.420325,0.432983,,2,177.0,9.0,,0.0177,0.015142,0.007822
4,1808398683,연세세브란스치과의원 계양,2293,279,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계양구치과 계양구임플란트 레진빌드업 작전동치과 잇몸심미수술,,0.33134,0.419516,0.432922,,2,325.0,3.0,,0.0177,0.054953,0.010827
5,1023051083,서울정석치과의원 인천,1608,166,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천치과 인천임플란트치과 충치잇몸치료 매복사랑니발치 수면마취치과,,0.33134,0.415035,0.432584,,-2,-2.0,4.0,,0.0177,-0.003652,0.006404
6,1806221853,윌플란트치과의원,1756,566,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,인천치과 수면임플란트 사랑니발치 앞니보철 노인임플란트,,0.33134,0.404185,0.431765,,-2,-8.0,-1.0,,0.0177,-0.004914,0.006309
7,1570601221,모던플란트치과의원,310,404,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계양구임플란트 계양구치아교정 계양구치과 계산역치과 임학역치과,,0.33134,0.281665,0.422518,,0,1.0,8.0,,0.0177,-0.004902,0.006309
8,11734852,인천어린이치과의원,41,822,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,소아충치치료 소아치과 청소년투명교정 어린이치과 계양구인비절라인,,0.33134,0.262082,0.42104,,0,0.0,0.0,,0.0177,-0.016285,0.00545
9,13239874,유디치과의원 작전점,4,626,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,임플란트 치아교정 충치치료 치아미백 인천작전동치과,,0.33134,0.256477,0.420617,,2,0.0,0.0,,0.0177,0.002173,0.006843
10,11884176,보스턴웰치과의원,475,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,계양구치과 계양구임플란트 계양구치아교정 작전동치과 작전동임플란트,,0.33134,0.244999,0.419751,,0,0.0,0.0,,0.0177,-0.013628,0.005651
11,11643054,이데이치과의원,268,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,인천치과 인천임플란트 인천충치치료 라미네이트 치아성형,,0.33134,0.244918,0.419745,,-2,5.0,0.0,,0.0177,-0.028102,0.004559
12,1344099733,알프스치과의원,244,643,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,인천임플란트 계산동치과 작전동치과 계양구치과 인천틀니,,0.33134,0.237086,0.419154,,2,0.0,8.0,,0.0177,0.002626,0.006878
13,523449226,계산센트럴치과의원,8,612,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,계산동치과 계산역치과 계산동임플란트 계산동사랑니 계산역사랑니,,0.33134,0.230343,0.418645,,-1,0.0,4.0,,0.0177,-0.016186,0.005458
14,1809060005,기분좋은치과의원,1,149,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.226744,0.418356,Hot,11,0.0,0.0,,0.0177,0.031698,0.009072
15,1036719582,연세자연치과의원,238,867,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계산동치과 계산역치과 재신경치료 치근단절제술 앞니심미레진,,0.33134,0.225521,0.418281,,-2,1.0,1.0,,0.0177,-0.013558,0.005656
16,12919230,동양수치과의원,1,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,동양동치과 계양구치과,,0.33134,0.214899,0.417479,,8,0.0,0.0,,0.0177,0.018888,0.008105
17,1162222096,한림치과의원,2,461,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,인천치과 인천임플란트 작전동치과 계양구치과 한림병원,,0.33134,0.213772,0.417394,,3,0.0,1.0,,0.0177,0.013817,0.007722
18,1598864955,연세마스터즈치과의원,7,534,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,연세마스터즈치과 계양구치과 계양구임플란트 계양구교정 작전역치과,,0.33134,0.213507,0.417374,,5,0.0,0.0,,0.0177,0.015853,0.007876
19,32739279,이엘치과의원,204,543,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.210127,0.417102,,-3,0.0,1.0,,0.0177,-0.004907,0.006309
20,19737563,유디계산치과의원,3,559,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,임플란트 치아교정 치아미백 충치치료 계산역치과,,0.33134,0.204606,0.416702,,-3,0.0,0.0,,0.0177,-0.009818,0.005938
