place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1255347735,굿센치과의원,1593,975,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산임플란트 중산동치과 치아미백스케일링 일산사랑니발치,,0.33134,0.505651,0.351876,Hot,10,287.0,4.0,,0.0177,0.086511,0.013209
2,1560304994,플란치과의원 경기 일산점,1452,638,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 일산치과 일산임플란트 정발산역치과 장항동치과,,0.33134,0.493925,0.350991,,0,140.0,16.0,,0.0177,0.035077,0.009327
3,1373231596,일산힐치과의원,2015,194,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산턱관절치료치과 심미보철틀니치과 앞니임플란트치료 무삭제라미네이트치과,,0.33134,0.470503,0.349223,,-2,267.0,7.0,,0.0177,-0.000683,0.006628
4,1999984730,연세일등치과의원,1387,1029,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털임플란트 수면무통마취치과 충치신경잇몸치료 턱관절통증장애 매복사랑니발치,,0.33134,0.466694,0.348935,,-1,286.0,13.0,,0.0177,0.013054,0.007664
5,1227204782,프라임39플란트치과의원,3525,195,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,일산치과 일산임플란트치과 일산임플란트 일산사랑니발치 대화역치과,,0.33134,0.462448,0.348615,,5,-1067.0,0.0,,0.0177,0.032783,0.009154
6,674499256,화이트드림치과의원 일산,2951,918,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,일산치과 일산임플란트 일산치아교정 매복사랑니발치 충치신경치료,,0.33134,0.461285,0.348527,,-2,224.0,1.0,,0.0177,0.017637,0.00801
7,1628731644,미라클플란트치과의원 일산,3840,4408,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산뼈이식임플란트 일산매복사랑니발치 라미네이트보철치료 충치신경잇몸치료,,0.33134,0.460521,0.34847,,-1,280.0,14.0,,0.0177,0.022169,0.008353
8,11722800,함박웃음치과의원,3928,439,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,일산임플란트 일산치아교정 일산충치치료 일산역치과 일산치과,,0.33134,0.459584,0.348399,,-3,464.0,8.0,,0.0177,0.017483,0.007999
9,1818788308,연세바로치과교정과치과의원 일산,1761,1165,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산교정치과 인비절라인 네비게이션임플란트 일산치과 파주사랑니,,0.33134,0.454518,0.348017,,-1,255.0,8.0,,0.0177,0.021369,0.008293
10,1353713004,365자주치과의원 일산,1271,848,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산임플란트 정발산역치과 정발산역임플란트 매복사랑니당일발치,,0.33134,0.438256,0.346789,,-3,10.0,38.0,,0.0177,0.001574,0.006798
11,2038299304,치아살리는치과의원,1541,105,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,정발산역치과 일산치과 일산임플란트 매복사랑니발치 치아미백스케일링,,0.33134,0.435685,0.346595,,2,220.0,9.0,,0.0177,0.033957,0.009242
