place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,12981217,보배치과의원,1,45,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.183136,0.327518,,0,-,-,,-,-,-
2,1929704905,청춘88치과의원,1,31,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,곡성치과 임플란트 치아교정 수면치료 치과종합진료,,0.33134,0.174471,0.326881,,0,-,-,,-,-,-
3,19533331,박치과의원,1,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.146382,0.324744,,0,-,-,,-,-,-
4,19533349,김치과의원,0,27,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,임플란트 틀니,,0.331294,0.121716,0.322882,,0,-,-,,-,-,-
5,19519593,우리치과의원,0,22,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.120982,0.322827,,0,-,-,,-,-,-
6,30835796,옥과치과의원,0,17,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.105511,0.321659,,0,-,-,,-,-,-
7,33243387,옥과박치과의원,0,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.09603,0.320944,,0,-,-,,-,-,-
8,20587008,석곡치과의원,0,17,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.089126,0.320423,,0,-,-,,-,-,-
9,20758712,미소치과의원,0,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.073366,0.319233,,0,-,-,,-,-,-
10,11668085,곡성군보건의료원,39,72,보건소,건강의료>병원>보건소>보건소-일반,4.45,,,,0.0,0.237623,0.206613,,0,-,-,,-,-,-
11,13267257,대강면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.061547,0.004645,,0,-,-,,-,-,-
12,13267253,수지면보건지소,1,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.05783,0.004364,,0,-,-,,-,-,-
