place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1879439442,더바른치과의원,1,205,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,공주_임플란트 공주_치과 공주_보철치료 공주_잇몸치료 공주_신경치료,,0.33134,0.242158,0.331989,,0,-,-,,-,-,-
2,12793312,원석호구강악안면외과치과의원,4,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,원석호치과,,0.33134,0.225723,0.330749,,0,-,-,,-,-,-
3,13245097,김영국바른이치과의원,5,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,,,0.331294,0.219386,0.330253,,0,-,-,,-,-,-
4,1797819851,공주수플란트치과의원,86,60,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수플란트치과 임플란트 야간진료 공주치과 보존치료,,0.33134,0.211538,0.329678,,0,-,-,,-,-,-
5,13245085,미소담치과의원,1,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트 치아교정 심미보철,,0.331294,0.207418,0.32935,,0,-,-,,-,-,-
6,1701380388,서울건치과의원,15,167,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,공주치과 공주임플란트 공주수면치료 공주틀니 공주충치치료,,0.33134,0.206011,0.329261,,0,-,-,,-,-,-
7,763998574,정담치과의원,1,127,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.200612,0.328837,,0,-,-,,-,-,-
8,13245004,유구박치과의원,8,38,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.19414,0.328348,,0,-,-,,-,-,-
9,13245151,제일치과의원,2,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.190377,0.328064,,0,-,-,,-,-,-
10,1952230255,허브치과의원,2,53,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.188781,0.327944,,0,-,-,,-,-,-
11,1653812216,서울다온치과의원,2,53,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,공주치과 공주임플란트 공주잇몸치료,,0.33134,0.185838,0.327739,,0,-,-,,-,-,-
12,19530438,웅진치과의원,4,89,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.173344,0.326779,,0,-,-,,-,-,-
13,13245074,이편한치과의원,2,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,임플란트 보철 근관치료 공주시치과 신관동치과,,0.33134,0.170562,0.326586,,0,-,-,,-,-,-
14,12877239,최유상치과의원,3,38,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.16097,0.325845,,0,-,-,,-,-,-
15,13245069,임철수치과의원,2,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.160021,0.325773,,0,-,-,,-,-,-
16,37485864,공주치과의원,3,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.15554,0.325435,,0,-,-,,-,-,-
17,13245136,푸른치과의원,1,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.1,,,,0.331294,0.149823,0.325003,,0,-,-,,-,-,-
18,13245100,미래치과의원,3,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.148214,0.324882,,0,-,-,,-,-,-
19,1346181641,스마일치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,유구치과 유구임플란트 유구보철 유구치과치료 공주임플란트,,0.33134,0.142295,0.324453,,0,-,-,,-,-,-
20,1034130431,한사랑치과의원,0,45,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.129236,0.32345,,0,-,-,,-,-,-
21,20755253,서울이앤정치과의원,1,48,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,,,0.331294,0.127765,0.323339,,0,-,-,,-,-,-
22,13245084,민치과의원,3,20,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,,,0.331294,0.125685,0.323182,,0,-,-,,-,-,-
23,13245070,정치과의원,1,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.123105,0.322987,,0,-,-,,-,-,-
24,13245058,이사랑치과의원,2,21,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.114367,0.322327,,0,-,-,,-,-,-
25,38254027,유구치과의원,0,27,치과,건강의료>병원>병원의원>치과>치과-일반,3.63,,,,0.331294,0.111128,0.322083,,0,-,-,,-,-,-
26,13245115,구자균치과의원,3,14,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.110514,0.322037,,0,-,-,,-,-,-
27,13244994,서울치과의원,1,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.099186,0.321182,,0,-,-,,-,-,-
