place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1293769332,광교365리움치과병원 수원,5942,1336,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트치과 공휴일진료치과 영통치과수면치료 광교치아교정치과전문의,,0.33134,0.511281,0.385508,,0,374.0,12.0,,0.0177,0.003719,0.00696
2,1935741614,서울쿤스트치과의원,3356,981,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,광교치과 수원치과 수원임플란트 광교교정치과 광교임플란트,,0.33134,0.457561,0.381453,,0,-14.0,8.0,,0.0177,-0.006465,0.006191
3,1179408072,다인아트치과의원,2368,300,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 광교치과 광교임플란트 소아치과진료 용인임플란트,,0.33134,0.420416,0.37865,,0,215.0,-2.0,,0.0177,-0.000798,0.006619
4,36952939,나눔이치과의원,2579,322,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,수원치과 임플란트 치아교정 영통구치과 나눔이치과,,0.33134,0.394775,0.376715,,0,136.0,1.0,,0.0177,0.002582,0.006874
5,1093410536,엘포트 해피치과의원,1120,397,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,광교중앙역치과 광교치과 이의동치과 경기도청치과 진심치과,,0.33134,0.377541,0.375414,,0,147.0,1.0,,0.0177,0.014178,0.007749
6,1613312276,광교호수 구강내과 소아치과 의원,133,842,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,턱관절통증치료 이갈이치료 소아치과 턱관절 치아교정치과,,0.33134,0.331686,0.371953,,0,0.0,4.0,,0.0177,0.024242,0.008509
7,20150031,서울위더스치과의원,396,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,기흥치과 임플란트 사랑니발치 턱관절질환 서울위더스치과,,0.33134,0.282174,0.368217,,0,2.0,2.0,,0.0177,-0.003897,0.006386
8,38254001,광교삼성화이트치과의원,642,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,광교치과 수원치아미백 수원라미네이트 광교중앙역치과 광교임플란트,,0.33134,0.28201,0.368204,,1,2.0,2.0,,0.0177,0.008275,0.007304
9,1470771917,소솜치과의원,320,233,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광교치과 상현역스케일링 상현동임플란트 상현치아미백 광교수면임플란트,,0.33134,0.277206,0.367842,,-1,4.0,0.0,,0.0177,0.002264,0.00685
10,36511291,연세웰키즈치과의원 수원광교점,35,367,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,광교소아치과 광교어린이치과 수원어린이치과 수원소아치과 광교키즈치과,,0.33134,0.276248,0.367769,,3,0.0,1.0,,0.0177,0.013215,0.007676
11,703525548,프라자치과의원,6,350,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,사랑니 과잉치 함치성낭종 수원치과 광교치과,,0.33134,0.268832,0.36721,,0,0.0,0.0,,0.0177,0.001264,0.006775
12,1358369825,드림이든소아치과의원,20,262,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영덕동소아치과 흥덕어린이치과 영덕동어린이치과 광교소아치과 광교어린이치과,,0.33134,0.264336,0.36687,,0,0.0,7.0,,0.0177,-0.003048,0.006449
13,38421781,광교탑치과의원,277,841,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,광교치과 광교임플란트 광교탑치과 웰빙타운치과 광교교정,,0.33134,0.259857,0.366532,,-3,0.0,3.0,,0.0177,-0.012195,0.005759
14,20648848,뉴욕다나치과의원,641,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,치과 흥덕지구 영덕동 기흥구치과 무통마취,,0.33134,0.253649,0.366064,,2,2.0,0.0,,0.0177,0.009159,0.007371
15,34300317,광교미소바른치과의원,6,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,치아교정 임플란트 사랑니발치 소아치과 교정과전문의,,0.33134,0.250607,0.365834,,-1,0.0,1.0,,0.0177,-1.6e-05,0.006678
16,1616400148,연세라인업치과교정과의원,73,509,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,투명교정인비절라인클리피씨 비발치무턱주걱턱돌출입교정 수원영통교정전문치과 치과교정과전문의 턱관절통증장애장치치료,,0.33134,0.245474,0.365447,,-1,1.0,22.0,,0.0177,-0.004137,0.006367
17,1858885959,덴티움치과의원,4,81,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 토요일진료 광교치과 덴티움,,0.33134,0.24342,0.365292,,2,0.0,0.0,,0.0177,0.011143,0.007521
18,36438739,e튼튼치과의원,45,377,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,잇몸치료 치주치료 스켈링 잇몸성형 임플란트,,0.331294,0.242499,0.365205,,0,0.0,0.0,,0.0177,0.0025,0.006868
19,1491327631,글로리아치과교정과치과의원,31,140,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,기흥치과 용인교정치과 용인어린이치과 기흥어린이치과 용인치과,,0.33134,0.241658,0.365159,,-2,0.0,1.0,,0.0177,-0.000941,0.006609
20,217529166,광교플란트치과의원,3,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,광교치과 사랑니 광교임플란트 구강외과 수원임플란트,,0.33134,0.236289,0.364754,,6,0.0,4.0,,0.0177,0.02374,0.008471
21,1937654192,광교삼성치과의원,149,261,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,광교임플란트 광교교정치과 광교보철전문의치과 광교심미보철치과 광교치과,,0.33134,0.235023,0.364658,,6,0.0,0.0,,0.0177,0.022807,0.008401
22,218712125,웃는E치과교정과치과의원,77,144,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인비절라인 용인치아교정 광교교정치과 수원교정치과 인계동교정치과,,0.33134,0.232917,0.364499,,9,0.0,1.0,,0.0177,0.022985,0.008414
23,1161787227,이후치과의원,66,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,광교치과 수원치과 영통치과 광교중앙역치과 상현역치과,,0.33134,0.229774,0.364262,,-3,0.0,0.0,,0.0177,0.003056,0.00691
24,21602998,연세스마트치과의원,4,290,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,임플란트 치아교정 심미보철 턱관절진료 사랑니발치,,0.331294,0.22864,0.364159,,-2,0.0,0.0,,0.0177,0.003456,0.00694
25,31728494,화이트치과의원 광교,109,264,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이의동임플란트 수원광교치과 광교호수공원틀니 수원치아미백 영통충치치료,,0.33134,0.226622,0.364024,,-4,1.0,1.0,,0.0177,0.001125,0.006764
26,1591540330,웃음꽃피는치과의원,130,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,임플란트 신경치료 잇몸치료 치아교정 광교상현역치과,,0.33134,0.223231,0.363768,,-1,1.0,8.0,,0.0177,0.010092,0.007441
27,38355972,우리동네치과의원,126,179,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,전문의치과 광교치과 광교중앙역치과 광교임플란트 덜아픈임플란트,,0.33134,0.222224,0.363692,,2,0.0,0.0,,0.0177,0.01198,0.007583
28,1760379761,광교스카이치과의원,28,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,광교치과 광교임플란트 치과전문의 중흥s클래스치과 광교중앙역치과,,0.33134,0.221718,0.363654,,0,0.0,0.0,,0.0177,0.011038,0.007512
29,1254968231,이가영치과의원,5,150,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광교치과 수원치과 치과 교정 임플란트,,0.33134,0.215478,0.363183,,3,0.0,0.0,,0.0177,0.006338,0.007158
30,36229349,광교고은e치과의원,296,324,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,광교치과 상현역치과 치아교정 턱관절 임플란트,,0.33134,0.214633,0.363119,,-6,2.0,0.0,,0.0177,0.001395,0.006784
31,1740676191,연세새빛치과의원,471,434,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,광교치과 임플란트 치아교정 수원충치치료 신경치료,,0.33134,0.210683,0.362821,,-8,1.0,0.0,,0.0177,-0.007974,0.006077
32,1919227961,서울올바른치과의원 광교,90,165,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,세라핀투명교정 소아치아교정치과 인비절라인치과주치의 장애인학생금연 디지털스캐너네비게이션임플란트,,0.33134,0.207882,0.36261,,2,0.0,2.0,,0.0177,0.001186,0.006769
33,37837386,I플러스치과의원,274,210,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,치과 임플란트 충치치료 흥덕지구 영덕동,,0.33134,0.206166,0.36248,,2,0.0,1.0,,0.0177,0.001728,0.00681
34,19531422,유앤아이시카고치과의원,54,284,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,영덕동치과 영통치과 광교치과 임플란트 시카고치과,,0.33134,0.204201,0.362332,,3,0.0,0.0,,0.0177,0.005667,0.007107
35,1682922869,심송치과의원,2,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,,,0.331294,0.203992,0.362299,,7,0.0,0.0,,0.0177,0.020232,0.008206
36,32737117,광교치과의원,66,115,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 소아치과치료 광교치과 상현동치과 임플란트치과,,0.341335,0.150853,0.362077,Hot,11,0.0,0.0,,0.017701,0.020177,0.008202
37,35572167,광교본치과의원,8,325,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,,,0.331294,0.200943,0.362069,,1,0.0,0.0,,0.0177,0.003039,0.006909
38,1672591023,보스턴치과의원,126,123,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광교치과 수원치과 임플란트 사랑니발치 충치치료,,0.33134,0.199828,0.362002,,-5,0.0,0.0,,0.0177,-0.007543,0.00611
39,34635546,우리사랑치과의원,59,223,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,수원치과 임플란트 앞니레진 광교치과 충치치료,,0.33134,0.221551,0.361815,,-3,3.0,0.0,,0.0177,-0.00429,0.006355
40,11714307,아이사랑치과의원,9,1351,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,수원어린이치과 수원소아치과 영통어린이치과 어린이치과 아이사랑치과,,0.33134,0.240463,0.361788,,6,0.0,21.0,,0.0177,0.015614,0.007858
41,258214776,인생치과의원,48,284,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,수원치과 광교치과 광교임플란트 사랑니발치 이의동치과,,0.33134,0.193292,0.361509,,-11,0.0,2.0,,0.0177,-0.016665,0.005422
42,21672880,상현프라임치과의원,137,169,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,상현역치과 광교치과 상현동치과 영통치과 수지치과,,0.33134,0.191281,0.361357,,-2,1.0,0.0,,0.0177,0.000192,0.006694
43,34397994,광교호치과의원,5,58,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,치과 충치치료 잇몸치료 교정 임플란트,,0.33134,0.190092,0.361267,,9,0.0,1.0,,0.0177,0.013207,0.007676
44,1986200678,광교센트럴치과의원,32,354,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치과보철과 야간진료 사랑니 충치치료,,0.33134,0.188059,0.361114,,4,0.0,5.0,,0.0177,0.00759,0.007253
45,36637696,선한이웃치과의원,8,58,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,선한이웃치과 광교치과 치과검진 수원임플란트 심미보철,,0.33134,0.185266,0.360903,,-2,0.0,0.0,,0.0177,0.002445,0.006864
46,20061351,예스안치과의원,2,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.18503,0.360868,,-5,0.0,0.0,,0.0177,-0.005437,0.006269
47,31728535,행복한김치과의원,4,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.182284,0.360661,,8,0.0,1.0,,0.0177,0.009263,0.007379
48,13228842,사랑이꽃피는동산치과의원,3,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 충치치료 신경치료 치아교정 크라운,,0.331294,0.183561,0.360542,,5,0.0,0.0,,0.0177,0.005493,0.007095
49,13229955,U그린치과의원,4,55,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치주과전문의 잇몸치료 임플란트 광교 수지,,0.331294,0.179856,0.360477,,0,0.0,0.0,,0.0177,0.000192,0.006694
50,1814757975,박현성치과의원,0,113,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 교정,,0.331294,0.178754,0.360394,,-6,0.0,0.0,,0.0177,-0.004202,0.006362
