place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1057044943,서울임플나무치과의원 광명,1751,889,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 치아교정충치치료 심미보철라미네이트 당일매복사랑니발치 턱관절수면전악임플란트,,0.33134,0.466507,0.367035,,0,324.0,3.0,,0.0177,-0.00077,0.006622
2,1520008942,탑티어치과의원 광명,1573,1518,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,철산역사랑니발치 가산치아교정 하안동인비절라인 광명치과 의식하진정임플란트,,0.33134,0.465454,0.366955,,1,188.0,1.0,,0.0177,0.008023,0.007285
3,1521401881,서울김앤장치과의원 광명,1872,1047,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면무통마취 디지털네비게이션임플란트 광명치과 투명부분재교정 충치치료,,0.33134,0.457223,0.366334,,2,195.0,35.0,,0.0177,0.018042,0.008041
4,1841368878,내가가는광명치과의원,1569,60,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 광명턱관절치과 광명디지털임플란트 심미라미네이트보철치료 당일매복사랑니발치,,0.33134,0.450794,0.365849,,-2,259.0,9.0,,0.0177,-0.01365,0.00565
5,34714629,광명77플란트치과의원,4919,696,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,사랑니발치 당일보철 광명사거리역치과 광명치과 철산역치과,,0.33134,0.434061,0.364586,,2,238.0,0.0,,0.0177,0.002545,0.006872
6,38327700,서울플란트치과의원 광명,1402,443,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 교정치과 광명치과 철산동치과,,0.33134,0.429868,0.364269,,-2,61.0,1.0,,0.0177,-0.012453,0.005739
7,11569511,지디플란트치과의원 광명,1380,454,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 광명임플란트 광명교정 광명사랑니 광명턱관절,,0.33134,0.429767,0.364262,,-1,91.0,3.0,,0.0177,-0.006938,0.006156
8,1569312113,광명리더스치과의원,2155,431,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 임플란트 소하동치과 치아교정 라미네이트,,0.33134,0.421319,0.363624,,0,213.0,0.0,,0.0177,-0.008327,0.006051
9,1455370683,서울새봄플란트치과의원,1376,706,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,철산역치과 철산동치과 광명치과 임플란트 라미네이트,,0.33134,0.394857,0.361627,,2,143.0,16.0,,0.0177,0.029653,0.008917
10,1975456853,광명탑치과의원 광명,987,308,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 광명사거리치과 철산치과 광명임플란트치과 광명수면치과,,0.33134,0.373187,0.359992,,-1,6.0,0.0,,0.0177,-0.025085,0.004787
11,1171625705,서울감동치과의원 광명점,1646,735,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,광명사거리치과 광명치과 철산치과 광명임플란트,,0.33134,0.371412,0.359858,,-1,-11.0,0.0,,0.0177,0.004938,0.007053
12,13302997,임플란티아치과의원 광명,1183,886,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 철산치과 임플란트 충치치료 사랑니발치,,0.33134,0.360964,0.359069,,0,0.0,2.0,,0.0177,-0.000462,0.006644
13,12916273,서울굿모닝치과의원,570,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,임플란트 치주질환 충치 서울대치과 사랑니,,0.33134,0.354798,0.358604,,0,22.0,1.0,,0.0177,0.010881,0.007501
14,1986884085,연세365치과의원 광명,481,706,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,디지털임플란트 무통마취 교정 수면치료 턱관절치료,,0.331294,0.322233,0.356129,,0,3.0,4.0,,0.0177,-0.006552,0.006185
15,13112636,캘리포니아치과의원,1001,348,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 광명역치과 소하동치과 임플란트 치아교정,,0.33134,0.312542,0.355415,,0,1.0,3.0,,0.0177,0.003406,0.006937
16,1583881377,광명더맑은치과의원,1153,169,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명어린이치과 광명치과 광명교정치과 하안사거리치과 광명하안동치과,,0.33134,0.304994,0.354845,,3,39.0,12.0,,0.0177,0.020803,0.00825
17,17875108,베스트치과의원,249,247,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,레이져치료 철산무통마취치과 철산역치과 철산임플란트 철산치과,,0.33134,0.301365,0.354571,,-1,0.0,-1.0,,0.0177,-0.005026,0.0063
18,1047931860,광명주니어소아치과의원,35,145,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명소아치과 영유아구강검진 성장기교정 불소도포 웃음가스,,0.33134,0.291048,0.353792,,5,0.0,0.0,,0.0177,0.023768,0.008473
19,13415926,디자인치과의원,508,563,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,광명치과 철산치과 치아교정 임플란트 어린이치과,,0.33134,0.288278,0.353583,,1,3.0,0.0,,0.0177,0.005615,0.007103
20,1270557537,벗치과의원,63,99,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 소하동치과 광명임플란트 원데이라미네이트 광명치아교정,,0.33134,0.279868,0.352949,,-3,3.0,3.0,,0.0177,-0.011493,0.005812
