place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1954302318,센텀치과의원 광주,1782,246,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일진료 임플란트 수완지구치과 턱관절치료 사랑니발치,,0.33134,0.468833,0.382304,,0,192.0,9.0,,0.0177,0.015068,0.007816
2,1779810394,세계로탑치과의원 광주,1346,1859,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수완지구치과 수완지구임플란트 수완지구사랑니 광주치과야간진료 광주임플란트,,0.33134,0.447726,0.380711,,1,211.0,11.0,,0.0177,0.035116,0.009329
3,1540202921,365바른마음치과의원 첨단,1038,462,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 첨단치과 광주주말치과 광산구치과 광주임플란트,,0.33134,0.421381,0.378723,,-1,8.0,14.0,,0.0177,0.002832,0.006893
4,1290017310,활짝웃는치과교정과치과의원,1096,449,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,광주치과 광주치아교정 광주교정치과 월계동치과 첨단지구치과,,0.33134,0.416094,0.378324,,0,68.0,-1.0,,0.0177,0.005869,0.007122
5,1856461826,수완스타치과의원 광주,730,17630,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,광주치과 광주임플란트 수완지구치과 수완지구임플란트 광주교정치과,,0.33134,0.39135,0.376457,,0,10.0,179.0,,0.0177,-0.000898,0.006612
6,33525211,더편한치과의원,1944,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,광주치과 광주사랑니 임플란트 수완지구치과 수완지구사랑니,,0.33134,0.388659,0.376254,,0,137.0,2.0,,0.0177,0.009338,0.007385
7,1247209176,오후의치과의원 광주,1695,432,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 스케일링 치아미백 광주야간진료치과 수완지구치과,,0.33134,0.382047,0.375755,,0,451.0,10.0,,0.0177,0.014019,0.007738
8,36655008,광주365치과의원,1043,406,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,광주치과 광주임플란트 수완지구치과 수완지구임플란트 광산구치아교정,,0.33134,0.381266,0.375696,,0,81.0,1.0,,0.0177,0.018162,0.00805
9,31107183,에이스치과의원,711,258,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주하남치과 하남2지구치과 디지털임플란트 사랑니발치,,0.33134,0.3544,0.373668,,0,5.0,0.0,,0.0177,0.005987,0.007131
10,1165352265,서울우리아이치과의원,99,915,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 임플란트 라미네이트 턱관절 소아치과,,0.33134,0.338014,0.372431,,1,1.0,-1.0,,0.0177,0.01742,0.007994
