place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1026547913,아이빛나어린이치과의원,16,163,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.278226,0.376958,,0,-,-,,-,-,-
2,2008023978,영플란트치과의원,18,21,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광양치과 순천치과 여수치과 임플란트 구례치과,,0.33134,0.266324,0.376077,,0,-,-,,-,-,-
3,11605243,함께하는치과의원,7,479,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,턱관절 임플란트 교정 보철교정 광양치과,,0.33134,0.25012,0.374854,,0,-,-,,-,-,-
4,1496285669,스마트유치과의원,14,206,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광양치과 광양임플란트 광양어린이치과 광양충치치료 광양스케일링,,0.33134,0.248909,0.374763,,0,-,-,,-,-,-
5,34552648,이화치과의원,19,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.230542,0.37336,,0,-,-,,-,-,-
6,11637097,광양연합치과의원,1,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.341289,0.168562,0.372453,,0,-,-,,-,-,-
7,20149850,유디치과의원 광양점,3,364,치과,건강의료>병원>병원의원>치과>치과-일반,4.04,,광양치과 순천치과 여수치과 하동치과 임플란트잘하는치과,,0.33134,0.216994,0.372354,,0,-,-,,-,-,-
8,13263797,우리치과의원,5,154,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.216817,0.372324,,0,-,-,,-,-,-
9,19533473,미치과의원,1,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.20725,0.371602,,0,-,-,,-,-,-
10,1424754914,하얀치과의원,23,134,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,중마동치과 광양치과 광양임플란트 스켈링 중마동사랑니,,0.33134,0.205204,0.371465,,0,-,-,,-,-,-
11,1168177900,바른치과의원,0,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정 치아교정 교정치과 교정치료,,0.33134,0.202763,0.37128,,0,-,-,,-,-,-
12,581787220,제철다나치과의원,1,214,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,제철다나치과 치과 제철다나 제철치과 다나치과,,0.33134,0.199107,0.371004,,0,-,-,,-,-,-
13,11693030,샘치과의원,3,112,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.198427,0.370936,,0,-,-,,-,-,-
14,19517117,미소치과의원,0,137,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.196272,0.370773,,0,-,-,,-,-,-
15,13263898,수석치과,2,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.196249,0.370771,,0,-,-,,-,-,-
16,32822433,베스트치과의원,0,182,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.192031,0.370453,,0,-,-,,-,-,-
17,13263909,크리스마스치과의원,2,266,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.190194,0.370314,,0,-,-,,-,-,-
18,19520923,행복나눔치과의원,2,174,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.189711,0.370278,,0,-,-,,-,-,-
19,19530927,시티치과의원,1,201,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,중마동_치과,,0.33134,0.18593,0.37001,,0,-,-,,-,-,-
20,35223100,행복한최치과의원,0,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.176141,0.369254,,0,-,-,,-,-,-
21,13263881,열린치과의원,3,123,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.174889,0.369159,,0,-,-,,-,-,-
22,31354384,미래치과의원,0,65,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.167169,0.368577,,0,-,-,,-,-,-
23,13263910,광양더사랑치과의원,1,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.161707,0.368164,,0,-,-,,-,-,-
24,16701865,하늘치과의원,0,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.161306,0.368134,,0,-,-,,-,-,-
25,510966601,이나치과의원,1,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.160116,0.368044,,0,-,-,,-,-,-
26,13263897,온누리치과의원,1,258,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.156912,0.367803,,0,-,-,,-,-,-
27,36369317,조은치과의원,0,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.15376,0.367565,,0,-,-,,-,-,-
28,13263793,탑치과의원,2,87,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.149427,0.367238,,0,-,-,,-,-,-
29,13263891,광양웰치과의원,1,49,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.147792,0.367114,,0,-,-,,-,-,-
30,19533375,방세환치과의원,1,52,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,치과 보철 임플란트,,0.33134,0.145966,0.366994,,0,-,-,,-,-,-
31,13263866,드림아이치과의원,1,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,광양어린이치과 광양소아치과 광양치아교정 진정수면치료 소아치과,,0.33134,0.145549,0.366962,,0,-,-,,-,-,-
32,19530236,금호치과의원,0,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.138723,0.36643,,0,-,-,,-,-,-
33,13263871,홍치과의원,2,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.137948,0.366371,,0,-,-,,-,-,-
