place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13495294,이클린치과의원 광주,1486,201,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 광주남구치과 턱관절 광주사랑니,,0.33134,0.41328,0.359999,,1,340.0,1.0,,0.0177,0.0194,0.008144
2,38018389,킹덤치과의원,2655,413,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 봉선동치과 광주수면임플란트 광주남구치과,,0.33134,0.406856,0.359514,,-1,337.0,4.0,,0.0177,0.00878,0.007342
3,1087132029,반듯한치과의원,1000,117,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 봉선동치과 인비절라인 광주교정치과 교정과전문의,,0.33134,0.400014,0.358997,,1,488.0,1.0,,0.0177,0.041617,0.00982
4,97595873,빛고을치과의원,703,285,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,광주임플란트 광주야간진료 광주치과 광주치아미백 광주남구치과,,0.33134,0.3587,0.355879,,-1,27.0,0.0,,0.0177,-0.002669,0.006478
5,1454123254,광주라온치과의원,1141,275,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 주월동치과 매복사랑니발치 라미네이트 디지털네비게이션임플란트,,0.33134,0.327139,0.353497,,0,26.0,1.0,,0.0177,0.006013,0.007133
6,1422340897,봄봄아이치과의원,54,1037,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진월동치과 화순치과 나주치과 광주어린이치과 광주소아치과,,0.33134,0.306002,0.351902,,1,0.0,4.0,,0.0177,0.018957,0.00811
7,1127684760,곰돌이소아치과의원,11,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,소아치과 웃음가스치료 영유아구강검진 소아교정,,0.33134,0.296687,0.351199,,1,0.0,1.0,,0.0177,0.011198,0.007524
8,1028094875,악어새치과교정과의원,8,104,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진월동치과 진월동교정치과 광주교정치과 교정전문치과 광주턱관절치과,,0.33134,0.259263,0.348375,,1,0.0,2.0,,0.0177,-0.002719,0.006475
9,1506084382,봉선e치과의원,259,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,봉선동치과 봉선동임플란트 광주남구치과 봉선동치아교정 야간진료,,0.33134,0.258766,0.348337,,-3,0.0,5.0,,0.0177,-0.050308,0.002882
10,11852039,은석치과의원,17,981,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,야간진료 턱관절 임플란트 치아교정 심미치료,,0.331294,0.25812,0.348271,,1,0.0,1.0,,0.0177,0.008331,0.007308
