place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1749854930,선한약속치과의원,1136,420,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 운암동치과 광주임플란트 사랑니발치 광주턱관절,,0.33134,0.422441,0.345596,,0,-,-,,-,-,-
2,1030438709,퍼스트플란트치과의원,1946,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주북구치과 광주임플란트 운암동치과 광주사랑니발치,,0.33134,0.404254,0.344223,,0,-,-,,-,-,-
3,37544070,바로치과의원 광주,1176,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 틀니 광주치과 양산동치과 광주북구치과,,0.33134,0.377309,0.342189,,0,-,-,,-,-,-
4,37644862,중앙치과의원,429,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,광주치과 두암동치과 광주북구치과 매복사랑니 임플란트,,0.33134,0.348917,0.340047,,0,-,-,,-,-,-
5,36886419,튼튼이어린이치과의원,15,289,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,어린이치과 아동치과 소아치과,,0.33134,0.334785,0.33898,,0,-,-,,-,-,-
6,34362617,하나어린이치과의원,24,254,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.324443,0.338182,,0,-,-,,-,-,-
7,1055418020,쏙쏙사랑니치과의원 전남광주,332,534,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주사랑니 전남사랑니 광주사랑니발치 용봉동치과 전남사랑니발치,,0.33134,0.321952,0.338012,,0,-,-,,-,-,-
8,13264877,전남대학교치과병원,123,235,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.302543,0.336529,,0,-,-,,-,-,-
9,2054936395,공감플란트치과의원,265,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일곡동치과 임플란트 보철치료 광주치과 충치치료,,0.33134,0.301582,0.336474,,0,-,-,,-,-,-
10,36727473,예쁜미소치과의원,298,263,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,사랑니 첨단2지구치과 임플란트 치아교정 광주치과,,0.33134,0.286824,0.33536,,0,-,-,,-,-,-
11,13264450,오제석치과의원,28,537,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.273198,0.334315,,0,-,-,,-,-,-
12,1731272227,햇살가득치과교정과치과의원,165,37,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정치과 치아교정 돌출입교정 소아교정 인비절라인,,0.33134,0.271762,0.334224,,0,-,-,,-,-,-
13,1185858770,광주하트치과의원,90,319,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,광주치과 광주임플란트 광주북구치과 두암동치과 각화동치과,,0.33134,0.264279,0.333659,,0,-,-,,-,-,-
14,33472835,이튼치과의원,6,229,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.264336,0.333646,,0,-,-,,-,-,-
15,13264772,효치과의원,32,18,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.252825,0.332777,,0,-,-,,-,-,-
16,1688003847,가까운우리치과의원,91,416,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 임플란트 광주북구치과 광주치과 영유아구강검진,,0.33134,0.25116,0.332669,,0,-,-,,-,-,-
17,1243174931,제이플치과의원,148,153,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,각화동치과 광주북구치과 광주임플란트 광주치과 광주북구임플란트,,0.33134,0.245157,0.332216,,0,-,-,,-,-,-
18,13264886,광주드림치과의원,11,350,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,임플란트 교정 보철 소아교정 광주임플란트,,0.331294,0.243418,0.332067,,0,-,-,,-,-,-
19,13264893,새복음치과의원,6,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.241954,0.331957,,0,-,-,,-,-,-
20,1517055887,서울프라임365치과병원,180,1526,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,광주치과 광주북구치과 광주야간치과 광주북구임플란트 광주임플란트,,0.33134,0.239926,0.331821,,0,-,-,,-,-,-
21,32141349,가지런e류치과교정과치과의원,5,222,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,설측교정 돌출입교정 소아청소년교정 수술교정 투명교정,,0.331294,0.238256,0.331678,,0,-,-,,-,-,-
22,1133707093,지혜치과의원,248,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 치아미백 신경치료 치주치료 치아교정,,0.331294,0.237044,0.331586,,0,-,-,,-,-,-
23,13264480,꼬마이치과의원,7,235,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,광주치과 문흥어린이치과 문흥소아치과 어린이치과 소아치과,,0.33134,0.236535,0.331565,,0,-,-,,-,-,-
24,13264895,대명치과의원,7,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,,,0.331294,0.234428,0.331389,,0,-,-,,-,-,-
25,35076931,e은혜치과의원,5,175,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.233019,0.331282,,0,-,-,,-,-,-
26,13414759,매곡가족치과교정과치과의원,5,160,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,매곡가족치과 매곡동_임플란트 매곡동_잇몸치료,,0.33134,0.231132,0.331157,,0,-,-,,-,-,-
27,13264474,반석치과의원,6,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.227711,0.330882,,0,-,-,,-,-,-
28,1301144278,연제현치과의원,18,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,연제현치과 광주치과 연제동치과 양산동치과 첨단치과,,0.33134,0.226881,0.330836,,0,-,-,,-,-,-
29,1767916525,구구치과의원,8,219,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,임플란트 일요일치과 공휴일치과 주말치과 교정치과,,0.33134,0.226384,0.330799,,0,-,-,,-,-,-
30,13088163,소망치과의원,9,234,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,심미보철 라미네이트 치아교정 충치치료 임플란트,,0.331294,0.225055,0.330681,,0,-,-,,-,-,-
