place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,35801798,광주신세계치과의원,3209,314,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광천동치과 임플란트 야간치과 전체임플란트,,0.33134,0.468683,0.367199,,1,354.0,0.0,,0.0177,0.010114,0.007443
2,1675858477,완플란트치과의원 광주,467,155,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 광주치과 상무지구치과 광주임플란트 스케일링,,0.33134,0.46478,0.366904,,2,4.0,4.0,,0.0177,0.016636,0.007935
3,1159828780,아삭플란트치과의원 광주,1708,94,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 광주치과 치평동치과 운천역치과,,0.33134,0.463487,0.366807,,-2,80.0,0.0,,0.0177,-0.00632,0.006203
4,1180931147,옳치치과의원 광주,1727,154,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주사랑니발치 광주서구치과 광주임플란트치과 광주야간진료치과 광천동치과,,0.33134,0.4482,0.365653,,1,484.0,3.0,,0.0177,0.012046,0.007589
5,37422090,제이탑치과의원,518,198,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화정동치과 광주치과 광주사랑니 서구치과 광주임플란트,,0.33134,0.441688,0.365161,,-2,30.0,1.0,,0.0177,-0.014998,0.005547
6,37076753,제이엘치과의원,2633,886,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 상무지구치과 임플란트 치아미백 스케일링,,0.33134,0.438077,0.364889,,1,273.0,0.0,,0.0177,0.034012,0.009246
7,13264583,효치과의원,2251,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,광주치과 광주서구치과 광주임플란트 광주라미네이트 광주수면임플란트,,0.33134,0.435666,0.364707,,-1,3.0,3.0,,0.0177,0.007898,0.007276
8,1518351272,화정 힐스 치과 의원,375,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 야간진료 잇몸치료 사랑니발치 화정동치과,,0.33134,0.416153,0.363234,Hot,14,-5.0,5.0,,0.0177,0.125841,0.016177
9,811654594,오늘안치과의원,665,395,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화정동치과 염주동치과 광주라미네이트 임플란트 사랑니발치,,0.33134,0.396589,0.361758,,-1,32.0,7.0,,0.0177,0.004703,0.007035
10,1020948309,세움치과의원,797,911,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,광주치과 상무지구치과 임플란트 치아교정 심미치료,,0.33134,0.374501,0.360091,,-1,136.0,0.0,,0.0177,-0.002009,0.006528
