place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,11658640,에스리더치과병원,2195,1327,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,치아교정 전체임플란트 교정치과 당일임플란트 건대치과,,0.33134,0.451632,0.368931,,0,54.0,4.0,,0.0177,-0.009778,0.005942
2,1507353180,마음이닿는치과의원,1543,175,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구의동임플란트 구의동치아교정 광진구인비절라인 광진구치과 수면무통마취치과,,0.33134,0.451624,0.36893,,0,98.0,0.0,,0.0177,0.000485,0.006716
3,36477372,광진정플란트치과의원,2956,439,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,건강보험임플란트 전체임플란트 광진구치과 자양동치과 건대치과,,0.33134,0.437767,0.367884,,1,183.0,0.0,,0.0177,0.011274,0.00753
4,1281672014,연세원드림치과의원,1399,515,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸치료 디지털네비게이션임플란트 턱관절통증장애보톡스치료 수면무통마취치과 수평매복사랑니발치,,0.33134,0.419939,0.366539,,2,205.0,48.0,,0.0177,0.028565,0.008835
5,1870754799,건대기억치과의원,1715,493,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,건대임플란트 건대사랑니 건대재신경치료 건대수면 디지털네비게이션임플란트,,0.331294,0.417873,0.366366,,-2,49.0,-4.0,,0.0177,-0.009722,0.005946
6,1972031558,굿프렌즈치과의원,3563,803,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광진구치과 중곡역임플란트 치아교정 심미보철 충치치료,,0.33134,0.417099,0.366325,,-1,130.0,1.0,,0.0177,-0.004175,0.006365
7,1816913345,스마일온서울 치과교정과 치과의원,809,80,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 사랑니 치아교정 교정치과 라미네이트,,0.33134,0.387271,0.364073,,3,50.0,6.0,,0.0177,0.027455,0.008751
8,13083809,예쁜얼굴바른이치과의원,3360,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,건대 교정치과 성인치아교정 치과교정과 건대입구,,0.33134,0.379137,0.363459,,-1,-1.0,0.0,,0.0177,0.012511,0.007623
9,1051161043,연세퍼스트치과의원,721,554,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,군자치과 군자역치과 군자 치과 군자임플란트,,0.33134,0.372381,0.36295,,2,12.0,13.0,,0.0177,0.014653,0.007786
10,13445687,미소웰치과의원,1857,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,건대치과 건대돌출입교정 건대스케일링 건대디지털임플란트 건대오스템임플란트,,0.33134,0.36808,0.362625,,-2,67.0,-1.0,,0.0177,0.003818,0.006968
