place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13329988,구로유디치과의원,1075,309,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로치과 임플란트 스케일링 어린이치과 치아교정,,0.33134,0.439158,0.355914,,0,49.0,4.0,,0.0177,-0.010985,0.00585
2,1735094200,바른송치과의원,1363,126,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,남구로치과 구로치과 구로동치과 임플란트 사랑니발치,,0.33134,0.438252,0.355846,,2,1.0,0.0,,0.0177,0.018269,0.008059
3,1181147724,서울명치과의원 구로,1474,399,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로치과 임플란트 충치치료 스케일링 사랑니발치,,0.33134,0.438145,0.355837,,-1,236.0,6.0,,0.0177,-0.007893,0.006083
4,1212829306,신도림이편한치과의원,1194,364,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신도림치과 신도림역치과 구로치과 구로구치과 신도림임플란트,,0.33134,0.428993,0.355147,,1,136.0,5.0,,0.0177,0.020613,0.008235
5,35597878,이디치과의원,1990,723,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,치과 임플란트 스케일링 사랑니발치 진료보증,,0.33134,0.424578,0.354814,,3,198.0,-2.0,,0.0177,0.027616,0.008764
6,1653822757,안아프니치과의원,2552,526,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,구로디지털단지역치과 구로디지털라미네이트 구로디지털앞니치료 구로디지털턱관절 구로디지털임플란트,,0.33134,0.414507,0.354053,,-3,141.0,5.0,,0.0177,-0.013947,0.005626
7,35913947,비타민치과의원,1674,2157,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,구로구치과 네비게이션임플란트 개봉동비타민치과 개봉역디지털임플란트수술 구로수면임플란트,,0.33134,0.414448,0.354049,,0,202.0,3.0,,0.0177,0.017143,0.007973
8,11663232,치과가는날치과의원,773,690,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,구로디지털단지역치과 구로동치과 임플란트 틀니 치아미백,,0.33134,0.402157,0.353121,,-2,159.0,12.0,,0.0177,0.001655,0.006804
9,1224728186,정원창치과의원,1295,51,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로치과 치과 임플란트 사랑니발치 충치치료,,0.33134,0.396722,0.352711,,1,301.0,1.0,,0.0177,0.021197,0.008279
10,37610941,삼성리더스치과의원,2039,1001,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로치과 구로구치과 고척동치과 개봉역치과 구일역치과,,0.33134,0.384564,0.351794,,-1,207.0,6.0,,0.0177,0.0023,0.006853
11,38518778,닥터진치과의원 구로,1571,363,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,구로디지털단지역치과 구로치과 구로임플란트 구로동치과 구디치과,,0.33134,0.370324,0.350719,,0,92.0,2.0,,0.0177,0.026716,0.008696
12,1541849079,연세사랑니치과의원,52,1991,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무통발치 신도림사랑니 영등포사랑니 사랑니발치전문 구강악안면외과,,0.331294,0.331988,0.347808,,1,0.0,21.0,,0.0177,-0.001677,0.006553
13,1754380812,투엠치과의원 구로,573,396,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로치과 신도림치과 임플란트 턱관절 충치,,0.33134,0.32702,0.347451,,-1,0.0,0.0,,0.0177,-0.010607,0.005879
14,1787405246,서울푸른별치과의원,572,757,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,항동치과 항동임플란트 항동치아교정 항동미백치료 항동수면치료,,0.33134,0.320243,0.346939,,1,1.0,1.0,,0.0177,0.027023,0.008719
15,1088030666,우리가족소아치과의원,14,159,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로소아치과 어린이치과 영유아구강검진 인비절라인 교정치과,,0.33134,0.299178,0.345349,,-1,0.0,3.0,,0.0177,-0.000688,0.006627
16,1544040650,연세패밀리치과의원,38,1207,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오류동치과 오류동어린이치과 오류동임플란트 오류동사랑니 개봉치과,,0.33134,0.29555,0.345076,,0,0.0,15.0,,0.0177,0.005599,0.007102
17,13402315,연세무지개치과의원,45,338,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로소아치과 구로성인치과 구로교정치과 개봉역치과 구로치과,,0.33134,0.294889,0.345026,,0,1.0,1.0,,0.0177,0.018907,0.008107
18,33061090,서울이튼치과의원,130,656,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,개봉동치과 개봉역치과 개봉동임플란트 개봉역임플란트 구로구치과,,0.33134,0.280334,0.343927,,1,0.0,3.0,,0.0177,0.016229,0.007904
19,1824429235,스마트백평치과의원,82,965,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,충치신경보존치료 디지털임플란트 투명치아교정치과 보험틀니치과 매복사랑니발치,,0.33134,0.270889,0.343214,,2,0.0,2.0,,0.0177,0.013246,0.007679
20,13185395,오복만세치과의원,6,189,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,턱관절 턱관절병원 턱관절통증 구강내과 턱관절치료병원,,0.331294,0.27086,0.343195,,-2,0.0,1.0,,0.0177,0.002913,0.006899
21,1520029675,연세도아소아치과치과의원,85,238,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 어린이치과 소아치과 키즈치과 신도림,,0.33134,0.262738,0.342599,,1,0.0,0.0,,0.0177,0.008562,0.007325
22,35463800,마루치과병원,1180,587,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구로치과 신도림치과 임플란트 치아교정 야간진료,,0.33134,0.260694,0.342445,,-2,-9.0,1.0,,0.0177,-0.001379,0.006575
23,11382561,그린서울치과의원,6,351,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,사랑니발치 매복치발치 임플란트,,0.331294,0.254886,0.341989,,4,0.0,1.0,,0.0177,0.016463,0.007922
24,1779154204,치즈 치과교정과 치과의원,17,274,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,구로교정치과 치과교정과 신도림치아교정 교정치과 영등포교정치과,,0.33134,0.248425,0.341519,,1,0.0,2.0,,0.0177,0.000983,0.006754
25,1411254094,바른정치과의원,53,908,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,오류동치과 구로구치과 오류동역치과 임플란트 충치치료,,0.33134,0.242991,0.341109,,1,1.0,1.0,,0.0177,0.001374,0.006783
26,19534978,우리웰치과의원,28,1139,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,고척동치과전문의 구로구충치치료 고척아이파크신경치료 디지털임플란트수술 매복사랑니발치,,0.33134,0.240582,0.340927,,7,1.0,4.0,,0.0177,0.017942,0.008034
27,1050007158,진정성레오치과의원,100,340,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,구로임플란트 스케일링 심미보철 교청 구로치과,,0.33134,0.239656,0.340857,,1,0.0,0.0,,0.0177,0.010472,0.00747
28,1193899008,서울다정치과의원,90,619,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,오류동역치과 오류동역임플란트 오류역치과 오류역임플란트 오류동치과,,0.33134,0.238145,0.340743,,-5,0.0,3.0,,0.0177,-0.015979,0.005473
29,1093274209,우리가족치과의원,117,456,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 심미보철 치아미백 턱관절치료,,0.331294,0.238235,0.340733,,-5,0.0,0.0,,0.0177,-0.010588,0.005881
