place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1136591025,서울이편한치과의원,1320,455,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 일요일진료치과 야간진료치과 투명교정 사랑니발치,,0.33134,0.442894,0.446762,,0,92.0,1.0,,0.017746,-0.012854,0.005727
2,20601846,굿플러스치과의원,2320,226,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,구리치과 구리임플란트 구리치과전문의 구리사랑니 구리잘하는치과,,0.33134,0.435967,0.446239,,2,164.0,3.0,,0.0177,0.02568,0.008617
3,36893184,서울티스치과의원 구리본원,1068,1228,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,구리치과 구리임플란트 구리신경치료 구리사랑니 구리교정치과,,0.33134,0.433963,0.446088,,0,91.0,5.0,,0.0177,0.002435,0.006863
4,1077458683,참조은치과의원 구리,1567,417,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구리치과 수면임플란트 수택동사랑니발치 구리역스케일링 인창동치아교정,,0.33134,0.430163,0.445801,,-2,127.0,6.0,,0.0177,-0.009893,0.005933
5,1634787496,연세바른치과의원,900,365,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구리치과임플란트 인창동치과사랑니발치 구리역치과턱관절진료 미세현미경신경잇몸치료 충치보철치료,,0.33134,0.427098,0.44557,,0,115.0,0.0,,0.0177,0.023795,0.008476
6,1144707638,나인치과의원 구리,1282,599,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,구리치과 구리임플란트 구리시치과 구리교정치과 구리사랑니,,0.33134,0.413242,0.444524,,0,181.0,-1.0,,0.0177,0.012335,0.00761
7,11717672,세란치과의원,1269,271,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,구리역치과 구리치과 구리사랑니 구리시중장년성인교정 수택동치과,,0.33134,0.392716,0.442975,,0,34.0,9.0,,0.0177,0.002896,0.006898
8,1229023614,화이트365치과의원 구리,885,397,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구리치과 구리교정치과 구리사랑니 수면임플란트 구리치과야간진료,,0.33134,0.383607,0.442287,,0,16.0,27.0,,0.0177,-0.004299,0.006355
9,1426155356,서울에스플러스치과의원 구리,520,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,치아교정 교정치과 임플란트 충치치료 사랑니발치,,0.33134,0.354953,0.440125,,0,48.0,-1.0,,0.0177,-0.015504,0.005509
10,1860583537,바라봄치과교정과의원,1469,174,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,비발치부분교정 충치치료 인비절라인투명교정 치아교정 임플란트,,0.331294,0.352345,0.439911,,1,118.0,8.0,,0.0177,0.056638,0.010954
11,1931784776,서울삼성치과의원 구리,995,449,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,구리치과 구리임플란트 구리사랑니 구리스케일링 구리시치과,,0.33134,0.347247,0.439543,,-1,0.0,0.0,,0.0177,-0.011586,0.005805
12,1662211324,갈매키즈앤주니어치과의원,70,409,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,갈매_소아치과 중랑구소아치과 구리소아치과 갈매어린이치과 갈매치아교정,,0.33134,0.315218,0.437126,,0,1.0,17.0,,0.0177,0.020946,0.00826
13,1658628165,연세바로치과교정과치과의원,32,619,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,구리교정치과 구리치아교정 남양주치아교정 남양주교정치과 인비절라인,,0.33134,0.282153,0.43463,,0,1.0,3.0,,0.0177,0.015212,0.007827
14,95904282,더원치과교정과치과의원,93,769,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,구리교정치과 구리치아교정 남양주교정치과 남양주치아교정 인비절라인,,0.33134,0.267989,0.433562,,0,5.0,7.0,,0.0177,0.00896,0.007356
15,1066983629,구리웰니스치과의원,43,197,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구강검진 갈매치과 갈매임플란트 잇몸치료 갈매턱관절치료,,0.33134,0.265255,0.433355,,3,0.0,3.0,,0.0177,0.018325,0.008062
