place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,2078763525,미로플란트치과의원,213,36,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일진료 일요일치과 부산일요일치과 부산야간진료치과 부산수면임플란트,,0.33134,0.341585,0.339493,,0,-,-,,-,-,-
2,11876542,이루미치과의원 금정,6,357,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,치아교정 치과교정과전문의 부산교정치과 부산교정전문의 금정구교정치과,,0.33134,0.279225,0.334787,,0,-,-,,-,-,-
3,1007729909,금샘치과의원,95,154,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,구서동치과 금정구치과 구서역치과 구서동임플란트 치과검진,,0.33134,0.269601,0.334061,,0,-,-,,-,-,-
4,1670863540,서울신세계치과의원,70,351,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 수면치료 구서동_치과 부산임플란트 금정구치과,,0.33134,0.269289,0.334037,,0,-,-,,-,-,-
5,12954281,미래어린이치과의원,23,257,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,어린이치과 소아치과 어린이교정 소아교정 청소년치과,,0.33134,0.265725,0.333768,,0,-,-,,-,-,-
6,1926299864,디지털시온치과의원,21,280,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,금정구치과 심미보철 서동치과 임플란트 금사동치과,,0.33134,0.257099,0.333117,,0,-,-,,-,-,-
7,767689521,바로나치과의원,29,621,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,치과 사랑니 임플란트 충치치료 부산사랑니,,0.33134,0.245135,0.332214,,0,-,-,,-,-,-
8,1442860311,온마음치과의원,60,296,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,금정구임플란트 금정구치주과 금정구사랑니 금정구치과 금정구충치치료,,0.33134,0.243512,0.332092,,0,-,-,,-,-,-
9,19459524,미소드림치과의원,3,95,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 신경치료 보철치료 심미레진보철치료,,0.331294,0.243323,0.33206,,0,-,-,,-,-,-
10,13250875,장전치과의원,6,120,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,금정구치과,,0.33134,0.239205,0.331766,,0,-,-,,-,-,-
11,32474803,구서바른이치과교정과치과의원,35,81,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,교정전문의 교정전문치과 구서동교정전문치과 금정구교정전문치과 대한치과교정학회회원병원,,0.33134,0.235613,0.331495,,0,-,-,,-,-,-
12,37687037,범어연합치과의원,6,131,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,금정구치과 부산야간진료치과 부산사랑니 부산임플란트 구강외과전문의,,0.33134,0.233259,0.331318,,0,-,-,,-,-,-
13,1043809341,뉴티스 치과교정과 치과의원,298,258,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,구서동교정치과 금정구교정치과 부산교정전문의 부산교정치과 부산치아교정,,0.33134,0.224,0.330619,,0,-,-,,-,-,-
14,19519895,턱편한잎새치과의원,1,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,턱관절장애 코골이 이갈이 구강안면통증,,0.331294,0.220939,0.330371,,0,-,-,,-,-,-
