place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,2056524469,연세온아치과병원,788,189,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 기흥구사랑니발치 신갈역전악임플란트 마북동구강검진 구성역임플란트,,0.33134,0.438573,0.35587,,0,112.0,44.0,,0.0177,0.008975,0.007357
2,1407215695,서울닥터유치과의원 용인본점,1048,416,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인임플란트치과 죽전치과 임플란트 치아교정 보정동치과,,0.33134,0.385767,0.351884,,1,49.0,2.0,,0.0177,0.007472,0.007243
3,13443792,연세미소라인치과교정치과의원,1353,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,용인교정치과 용인치과 용인교정진단 치아교정진단 용인치아교정,,0.33134,0.382987,0.351675,,1,98.0,0.0,,0.0177,0.020771,0.008248
4,1292447833,리올란트치과의원,435,512,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 충치치료 치아성형 사랑니 치주치료,,0.331294,0.312752,0.346357,,2,7.0,2.0,,0.0177,0.002629,0.006878
5,2062181185,용인온아소아치과의원,28,322,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,기흥구치과 일요일소아치과 용인소아치과 용인소아교정 진정수면치료,,0.33134,0.289909,0.34465,,4,4.0,65.0,,0.0177,0.009688,0.007411
6,20150031,서울위더스치과의원,396,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,기흥치과 임플란트 사랑니발치 턱관절질환 서울위더스치과,,0.33134,0.282174,0.344066,,2,2.0,2.0,,0.0177,-0.003897,0.006385
7,1610781218,바른스마일치과교정과치과의원,355,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,용인치과 용인교정치과 용인치아교정 용인임플란트 용인청소년교정,,0.33134,0.278434,0.343784,,-2,4.0,1.0,,0.0177,-0.036459,0.003928
8,19497463,연세웰키즈치과의원,609,360,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,영유아구강검진 소아청소년교정 소아청소년치과 어린이치과 투명교정,,0.33134,0.275115,0.343533,,-1,0.0,0.0,,0.0177,-0.020445,0.005136
9,36928394,좋은솜씨죽전치과의원,954,455,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,무통수면마취치과 전체임플란트염증재수술 매복사랑니당일발치 충치신경보존잇몸치료 턱관절통증장애치료,,0.33134,0.273972,0.343447,,1,2.0,14.0,,0.0177,0.005084,0.007063
10,1718743692,동백서울유치과의원,507,599,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,임플란트 자동차보험치과 동백유치과 치아교정 라미네이트,,0.33134,0.272411,0.343329,,3,4.0,15.0,,0.0177,0.014054,0.00774
11,35215521,동백쥬니어치과의원,23,468,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동백어린이치과 동백소아치과 동백소아교정치과 용인치과 용인소아치과,,0.33134,0.268574,0.34304,,1,0.0,1.0,,0.0177,0.002553,0.006872
12,12052783,죽전모아치과의원,6,139,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,보정동치과 보정동임플란트 보정동충치치료 용인치과 보정동치아교정,,0.33134,0.268195,0.343011,,-10,0.0,0.0,,0.0177,-0.110476,-0.001658
13,1358369825,드림이든소아치과의원,20,262,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영덕동소아치과 흥덕어린이치과 영덕동어린이치과 광교소아치과 광교어린이치과,,0.33134,0.264336,0.34272,,-2,0.0,7.0,,0.0177,-0.003048,0.00645
14,1536593420,기흥서울치과의원,5,466,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,기흥서울치과 기흥치과 기흥AK치과 용인치과 구갈동치과,,0.33134,0.255156,0.342027,,2,0.0,0.0,,0.0177,0.006847,0.007196
15,33078083,박하치과의원,6,438,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.255127,0.342007,,5,0.0,0.0,,0.0177,0.013749,0.007717
16,20648848,뉴욕다나치과의원,641,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,치과 흥덕지구 영덕동 기흥구치과 무통마취,,0.33134,0.253649,0.341913,,1,2.0,0.0,,0.0177,0.009159,0.00737
17,1924331439,백영걸치과의원,332,217,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,동백동치과 동백치과 용인치과 기흥구치과 동백역치과,,0.33134,0.253351,0.341891,,-3,0.0,1.0,,0.0177,0.000821,0.006742
18,37647480,아이가 행복한치과의원,17,315,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 어린이치과 키즈치과 치과 주니어치과,,0.33134,0.249597,0.341607,,-3,0.0,0.0,,0.0177,-0.002114,0.006519
19,1893510559,제이비스 서울주니어치과의원,5,98,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동백소아치과 동백어린이치과 용인소아치과 용인어린이치과 서울주니어치과,,0.33134,0.246682,0.341387,,4,0.0,0.0,,0.0177,0.009185,0.007372
20,11728626,컬럼비아치과병원,74,280,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,치과 치과병원 기흥구 동백동 컬럼비아치과,,0.33134,0.246435,0.341369,,2,0.0,0.0,,0.0177,0.006657,0.007182
21,1491327631,글로리아치과교정과치과의원,31,140,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,기흥치과 용인교정치과 용인어린이치과 기흥어린이치과 용인치과,,0.33134,0.241658,0.341008,,-3,0.0,1.0,,0.0177,-0.000941,0.006608
22,35168828,연세베스트치과의원,5,196,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,임플란트 신경치료,,0.331294,0.239566,0.340833,,-1,0.0,0.0,,0.0177,-0.000866,0.006614
