place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1203523704,서울민우치과의원,4,85,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김제치과 김제임플란트 전체임플란트 임플란트 고난도임플란트,,0.33134,0.266022,0.33379,,0,-,-,,-,-,-
2,1035452056,효자미소치과의원,114,139,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,김제치과 김제임플란트 부안치과 김제충치 효자미소치과,,0.33134,0.24777,0.332413,,0,-,-,,-,-,-
3,37675690,안아파치과의원,1,74,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.224893,0.330669,,0,-,-,,-,-,-
4,19517685,굿닥터김동운치과의원,1,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,임플란트 틀니 보철 김제치과 라미네이트,,0.33134,0.215722,0.329994,,0,-,-,,-,-,-
5,1646829292,우석치과의원,4,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.180795,0.327341,,0,-,-,,-,-,-
6,13266867,양춘호치과의원,1,175,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.16467,0.326124,,0,-,-,,-,-,-
7,13266889,건강치과의원,0,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.162258,0.325942,,0,-,-,,-,-,-
8,13266988,하나치과의원,1,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.161982,0.325921,,0,-,-,,-,-,-
9,36029097,아침애치과의원,0,51,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.155588,0.325439,,0,-,-,,-,-,-
10,13266907,이정환치과의원,1,81,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.150732,0.325072,,0,-,-,,-,-,-
11,13266909,이규갑치과의원,1,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.136275,0.323981,,0,-,-,,-,-,-
12,31684752,메디안치과의원,0,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.124366,0.323082,,0,-,-,,-,-,-
13,1749015525,최용호치과의원,0,3,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.116317,0.322475,,0,-,-,,-,-,-
14,19518880,박치과의원,0,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.114404,0.32233,,0,-,-,,-,-,-
15,13266980,유치과의원,0,20,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,임플란트 틀니,,0.331294,0.095158,0.320878,,0,-,-,,-,-,-
16,35907762,밸런스미치과의원,1,26,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,,,0.331294,0.091801,0.320624,,0,-,-,,-,-,-
17,13266989,고치과의원,1,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.069896,0.318971,,0,-,-,,-,-,-
18,19792817,이살리는류재원치과의원,0,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.067684,0.318804,,0,-,-,,-,-,-
19,13266911,김제치과의원,1,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.062039,0.318378,,0,-,-,,-,-,-
20,36745281,혜민의료재단 우리치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,,,0.331294,0.059357,0.318176,,0,-,-,,-,-,-
21,1102095525,혁신꿈소아치과의원,9,97,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주어린이치과 전주혁신어린이치과 전주소아치과 전주혁신소아치과 전주교정치과,,0.33134,0.280799,0.146226,,0,-,-,,-,-,-
22,37053066,스마트치과의원,89,326,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,전주치과 전주임플란트 전주만성동치과 전주사랑니발치 전주소아치과,,0.33134,0.256413,0.144386,,0,-,-,,-,-,-
23,36932102,박앤박치과,7,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.252059,0.14404,,0,-,-,,-,-,-
24,1812833143,스마일센텀치과의원 전주,50,280,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,네비게이션임플란트 전체틀니 매복사랑니발치 심미보철치료 충치치아신경치료,,0.331294,0.241794,0.143265,,0,-,-,,-,-,-
25,34868042,미소준치과의원,10,395,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.241307,0.143229,,0,-,-,,-,-,-
26,1123263750,혁신굿모닝치과의원,143,116,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주임플란트 전주스케일링 틀니 전주일요일치과,,0.33134,0.2407,0.1432,,0,-,-,,-,-,-
