place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1698062138,김포베스트치과의원,4436,512,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,김포치과 구래동치과 구래역치과 임플란트 스케일링,,0.33134,0.481063,0.440586,,0,411.0,6.0,,0.0177,0.00475,0.007038
2,37580406,설아인치과의원,2261,676,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,구래동치과 김포라미네이트 구래동앞니 김포투명교정 김포치과,,0.33134,0.474709,0.440106,,0,181.0,5.0,,0.0177,0.017874,0.008028
3,41814394,든든한치과의원,3534,472,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,구래동치과 김포치과 임플란트 틀니 스켈링,,0.33134,0.455163,0.438631,,2,284.0,-1.0,,0.0177,0.010702,0.007487
4,36648490,다올치과의원,3116,533,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김포치과 수면치료 김포턱관절치료 김포수면임플란트시술 매복사랑니발치,,0.33134,0.451592,0.438362,,2,214.0,5.0,,0.0177,0.009884,0.007426
5,1652442305,다나을치과의원,2335,431,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,소아치과 임플란트 치아교정 구래동치과 김포교정치과,,0.33134,0.448504,0.438129,,-1,505.0,0.0,,0.0177,0.003732,0.006961
6,1816566435,임플라인치과의원 김포,1151,500,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,구래동치과 김포임플란트 무삭제라미네이트 소아교정치과 김포교정치과,,0.33134,0.443007,0.437714,,1,164.0,1.0,,0.0177,0.010842,0.007498
7,1646939116,김포더맑은치과의원,3386,692,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,김포치과 구래동치과 임플란트 김포충치치료 사랑니,,0.33134,0.435599,0.437155,,1,98.0,3.0,,0.0177,0.013147,0.007672
8,968629316,리본치과의원,2501,503,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치과 임플란트 치아교정 사랑니 잇몸치료,,0.33134,0.43154,0.436848,,-5,106.0,-3.0,,0.0177,-0.017779,0.005337
9,1659866706,김포감동치과의원,703,773,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장기동치과 장기동임플란트 장기동사랑니 운양동치과 운양동임플란트,,0.33134,0.386363,0.433439,,2,12.0,7.0,,0.0177,0.017463,0.007998
10,1753653297,서울미드림치과의원,807,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,고촌치과 김포치과 김포임플란트 고촌충치치료 고촌사랑니발치,,0.33134,0.384663,0.433311,,0,78.0,3.0,,0.0177,0.00067,0.006731
11,1078660953,연세미소온치과의원,1010,618,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,김포치과 구래동치과 임플란트 수면임플란트 사랑니,,0.33134,0.384464,0.433295,,-2,27.0,3.0,,0.0177,-0.005694,0.006249
12,1680478941,김포맥치과의원,2134,213,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,김포치과 김포투명교정 김포임플란트 김포틀니 김포심미보철,,0.33134,0.380174,0.432972,,0,87.0,0.0,,0.0177,0.013288,0.007683
