place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37864845,연세바로치과교정과치과의원 인천점,4465,2895,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,인천치과 인천교정치과 구월동무삭제라미네이트 인천인비절라인퍼스트 구월동치아교정치과,,0.33134,0.521669,0.353085,,0,536.0,23.0,,0.0177,0.008303,0.007307
2,1227621966,화이트드림치과의원,6227,845,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,인천치과 구월동치과 인천치아교정 충치치료 구월동임플란트,,0.33134,0.490541,0.350735,,0,122.0,6.0,,0.0177,0.009372,0.007386
3,1549903274,예온치과의원 인천구월365점,2650,2000,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잇몸치료 매복사랑니발치 치아교정 임플란트염증재수술 턱관절장애통증,,0.331294,0.459484,0.348374,,0,89.0,44.0,,0.0177,0.009711,0.007412
4,38015391,새이치과의원,3803,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 구월동사랑니 구월동임플란트 인천양심치과 인천치과,,0.33134,0.451934,0.347821,,2,522.0,2.0,,0.0177,0.008287,0.007304
5,1186130140,감동플란트치과의원 구월동점,2195,341,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 인천일요일치과 수면임플란트 임플란트 무통마취치과,,0.33134,0.44776,0.347506,,-1,322.0,4.0,,0.0177,-0.001636,0.006556
6,1843571146,서울365치과의원,4501,711,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,구월동치과 구월동치아교정 구월동임플란트 인천사랑니 인천치과,,0.33134,0.443736,0.347203,,-1,11.0,0.0,,0.0177,-0.005201,0.006287
7,1018006415,구월의치과의원,1915,388,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 구월동임플란트 구월동사랑니 구월동턱관절 구월동양심치과,,0.33134,0.431277,0.346262,,4,260.0,10.0,,0.0177,0.017014,0.007963
8,1685454482,유디논현치과의원,854,419,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,인천논현치과 임플란트 틀니 턱관절치료 신경치료,,0.33134,0.427609,0.345986,,2,98.0,0.0,,0.0177,0.00938,0.007388
9,1173132115,연세반트치과교정과치과의원,2950,477,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,교정치과 치과교정과전문의 인비절라인치아교정 인천교정전문치과 돌출입교정,,0.33134,0.426909,0.345933,,-2,51.0,0.0,,0.0177,-0.00963,0.005953
10,1271439996,서울정플란트치과의원,687,246,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천논현동치과 임플란트 턱관절 남동구치과 충치치료,,0.33134,0.420836,0.345474,,5,8.0,1.0,,0.0177,0.029239,0.008886
11,38296570,연세위드치과의원,671,1118,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,인천논현동치과 치아교정 인비절라인투명교정 임플란트 충치치료,,0.33134,0.413908,0.344952,,1,30.0,3.0,,0.0177,0.00514,0.007068
12,32805944,서울이턱사랑니치과의원,334,6087,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니 서울이턱치과 함치성낭종 사랑니전문병원 구강외과,,0.33134,0.41241,0.344839,,4,1.0,28.0,,0.0177,0.027177,0.008731
13,1164975445,연세스마트치과의원,1779,507,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,구월동치과 임플란트 치아교정 충치치료 사랑니발치,,0.33134,0.409466,0.344616,,-4,-4.0,7.0,,0.0177,-0.013027,0.005696
14,207691387,서울S클래스치과의원,989,411,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,인천논현동치과 남동구치과 인천임플란트치과 소래포구치과 인천교정치과,,0.33134,0.395725,0.343579,,-1,24.0,0.0,,0.0177,0.000378,0.006708
15,2026585256,서창신세계치과의원,643,72,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서창치과 인천치과 남동구사랑니발치 서창2지구턱관절치료 고난도임플란트,,0.33134,0.386312,0.342869,,2,75.0,14.0,,0.0177,0.017269,0.007983
16,13218497,구월백세플란트치과의원,1638,345,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,구월동치과 구월동치과전문 임플란트 충치치료 남동구치과,,0.33134,0.3841,0.342702,,-2,-8.0,-1.0,,0.0177,-0.008557,0.006034
17,1108639707,사랑니빠지는구강악안면외과치과의원,499,4704,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,구월동사랑니 인천사랑니 사랑니전문치과 사랑니 매복사랑니,,0.33134,0.368099,0.341494,,2,4.0,67.0,,0.0177,0.011668,0.00756
18,66450771,서울나란이치과의원,1720,490,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,인천교정치과 구월동교정치과 치아교정 교정치과 인비절라인,,0.33134,0.362331,0.341059,,0,6.0,0.0,,0.0177,-0.003768,0.006395
19,34665965,연세구강내과치과의원,2585,1057,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,턱관절치료 인천턱관절 부천턱관절 구강내과 연세구강내과,,0.331294,0.355133,0.340499,,1,-1.0,1.0,,0.0177,0.010463,0.00747
20,1521773538,서울이해드림치과의원,632,192,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 임플란트 사랑니발치 인천논현역치과 수면치과,,0.33134,0.354151,0.340442,,5,241.0,3.0,,0.0177,0.048345,0.010328
21,1563900702,구월키즈웰치과의원,37,826,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,구월동어린이치과 주안어린이치과 남동구어린이치과 미추홀구소아치과 영유아구강검진,,0.33134,0.352392,0.340309,,-13,1.0,2.0,,0.0177,-0.077636,0.00082
22,1715397235,소래미소치과의원 인천논현점,485,387,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,인천논현동치과 소래포구역치과 인천논현동사랑니치과 인천논현동임플란트치과 인천논현동치아교정,,0.33134,0.330617,0.338665,,-1,27.0,1.0,,0.0177,-0.009211,0.005984
23,870387226,예쁜선치과교정과치과의원,1320,980,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,치아교정 교정과전문의 교정치과 교정 치과,,0.33134,0.326316,0.338341,,0,0.0,1.0,,0.0177,-0.005612,0.006256
24,37332527,화이트펄치과의원,428,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,인천논현동치과 충치보철치료 잇몸스케일링 뼈이식임플란트 심미라미네이트,,0.33134,0.326251,0.338336,,-2,21.0,1.0,,0.0177,-0.006675,0.006176
25,1921279978,모든이치과의원,503,281,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,모래내시장역치과 임플란트 스케일링 크라운치료 치아검진,,0.33134,0.304216,0.336673,,-1,4.0,3.0,,0.0177,-0.008113,0.006067
26,1588591404,바른공감치과의원 본원,151,581,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,디지털임플란트재수술 잇몸스케일링 매복사랑니발치 충치신경보존치료 턱관절통증장애,,0.331294,0.303051,0.336568,,0,1.0,3.0,,0.0177,0.000378,0.006708
27,20408245,미소가밝은치과의원,1069,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,인천교정치과 구월동교정치과 남동구교정치과 만수동교정치과 예술회관역교정치과,,0.33134,0.300367,0.336382,,1,0.0,0.0,,0.0177,0.009435,0.007391
28,35258151,서울센트리얼치과병원,134,1107,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정전문 임플란트 턱관절 수면진료 수면치과,,0.33134,0.293566,0.335869,,1,0.0,11.0,,0.0177,0.003925,0.006975
29,21336854,퍼스트치과의원,578,602,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 심미치료 충치치료 신경치료,,0.331294,0.29058,0.335627,,-2,4.0,-2.0,,0.0177,-0.007418,0.00612
30,12868602,백세튼튼플란트치과의원,931,1424,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,인천치과 임플란트 인천일요일치과 인천사랑니 인천충치,,0.33134,0.286122,0.335307,,5,0.0,6.0,,0.0177,0.018243,0.008056
31,11685590,인천예치과의원,241,1124,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,구월동교정치과 구월동치과 모래내시장역치과 인천교정치과 인천치과,,0.33134,0.284999,0.335223,,0,0.0,0.0,,0.0177,0.006134,0.007143
32,19810470,다비안치과의원,724,422,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,인천치과 인천논현동치과 인천임플란트 인천치아교정 인천논현치과,,0.33134,0.284822,0.335209,,0,4.0,2.0,,0.0177,0.007495,0.007245
