place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1168808595,가디언즈치과의원 다산점,717,376,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,남양주치과 다산역치과 다산치과 임플란트 치아교정,,0.33134,0.425877,0.394157,,2,128.0,3.0,,0.0177,-0.006399,0.006197
2,1548725549,서울제대로치과의원,602,210,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 수면임플란트치료 라미네이트 남양주다산치과,,0.33134,0.421787,0.393848,,0,28.0,4.0,,0.0177,-0.016663,0.005422
3,815766441,온아치과의원 남양주오남점,2581,586,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 오남읍치과 임플란트 치아교정 수면진료,,0.33134,0.418147,0.393573,,1,116.0,4.0,,0.0177,-0.009336,0.005974
4,20208225,나비드치과의원 남양주,1564,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 남양주임플란트 호평동치과 평내호평치과 평내동치과,,0.33134,0.409955,0.392955,,-3,138.0,3.0,,0.0177,-0.059241,0.002208
5,1538482755,오남임플라인치과의원,964,73,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 진접치과 오남역치과 오남임플라인치과 남양주치과,,0.33134,0.40827,0.392828,,0,138.0,0.0,,0.0177,0.006924,0.007202
6,1687239930,다모아치과의원 호평,499,2527,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 사랑니발치 호평동턱관절 전문가치아미백 남양주보훈지정치과병원,,0.33134,0.375492,0.390354,,0,28.0,7.0,,0.0177,-0.009125,0.005991
7,1872074450,서울라온치과의원 다산,1105,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,다산치과 다산동치과 다산신도시치과 다산치아교정 다산임플란트,,0.33134,0.370049,0.389943,,2,9.0,1.0,,0.0177,0.013097,0.007667
8,1552091880,연세미소미함치과의원,547,631,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진접치과 오남읍치과 임플란트 사랑니 턱관절,,0.33134,0.362114,0.389345,,2,49.0,2.0,,0.0177,0.010672,0.007485
9,1435953977,서울오케이치과의원 별가람점,566,397,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,별내충치치료 남양주수면치과진료 별내임플란트 별내사랑니발치 별내동치과,,0.33134,0.360974,0.389259,,-1,36.0,2.0,,0.0177,-0.003698,0.006401
10,20713401,네플란트치과의원,558,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트 심미보철 진접치과 야간진료 남양주치과,,0.33134,0.360351,0.389211,,-3,42.0,0.0,,0.0177,-0.012191,0.005759
11,2098738510,서울마일스톤치과교정과의원,541,46,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,클리피씨 비발치교정 하남미사다산교정전문치과 서울대치과교정과전문의 투명교정인비절라인치아교정장치,,0.33134,0.35582,0.38887,,1,126.0,9.0,,0.0177,0.009622,0.007406
12,1398710679,아이엔소아치과의원,134,618,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장애인치과 어린이치과 어린이교정 영유아구강검진 인비절라인,,0.33134,0.354844,0.388796,,1,1.0,9.0,,0.0177,0.009408,0.00739
13,1537391286,다모아치과의원 다산,402,1480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다산치과 수면임플란트 어린이교정치과 성인사랑니발치 남양주턱관절,,0.33134,0.349595,0.3884,,-2,23.0,7.0,,0.0177,-0.000331,0.006655
14,1264160684,서울브라보치과의원,134,399,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진접치과 진접치아교정 오남임플란트 장현리네비게이션임플란트 진접인비절라인,,0.33134,0.339791,0.38766,,0,1.0,41.0,,0.0177,0.0087,0.007336
15,1409479355,서울퍼스트치과의원,327,391,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,다산신도시치과 다산치과 어린이치과치료 다산중앙로치과 임플란트,,0.33134,0.321026,0.386244,,0,-1.0,0.0,,0.0177,-0.006726,0.006172
16,1598399328,연세고마운치과의원 다산점,557,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,다산치과 다산신도시치과 다산임플란트치과 다산스케일링치과 남양주다산치과,,0.33134,0.314699,0.385766,,2,4.0,8.0,,0.0177,0.009102,0.007366
17,672710599,별가람소아치과의원,145,1305,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,별내소아치과 남양주소아치과 남양주교정치과 중랑구소아치과 남양주어린이치과,,0.33134,0.31408,0.385719,,0,1.0,5.0,,0.0177,-0.000538,0.006638
18,1943510278,서울다산어린이치과의원 남양주,166,673,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다산소아치과 남양주어린이치과 구리소아치과 남양주소아치과 갈매소아치과,,0.33134,0.31399,0.385713,,-2,0.0,2.0,,0.0177,-0.003265,0.006433
19,1196756553,이로이치과의원,160,119,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 사랑니발치 신경치주치료 턱관절치료 임플란트틀니,,0.33134,0.304355,0.384985,Hot,29,103.0,3.0,,0.0177,0.062718,0.011412
20,1657922583,치아나라 치과교정과 치과의원,518,712,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마석교정치과 마석치아교정 남양주치아교정 남양주치과 남양주턱관절,,0.33134,0.304173,0.384972,,-1,0.0,4.0,,0.0177,0.001875,0.006821
21,11815359,디지털프라임치과의원 호평,1405,464,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 디지털흡착틀니 원데이충치치료 디지털풀아치 디지털정원장,,0.331294,0.303122,0.384875,,4,-1.0,5.0,,0.0177,0.029445,0.008902
22,1733196001,연세별빛미소치과의원,151,214,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,별내치과 남양주교정치과 인비절라인 치아교정 소아교정,,0.33134,0.30168,0.384783,,0,63.0,0.0,,0.0177,0.017749,0.008018
23,495542247,마석아트치과의원,283,311,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마석치과 마석역_양심치과 화도읍치과 임플란트 사랑니_턱관절,,0.33134,0.301075,0.384738,,6,41.0,1.0,,0.0177,0.039124,0.009632
24,31222486,해피트리치과의원,46,218,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,임플란트 치과 사랑니 틀니 턱관절,,0.33134,0.293068,0.384134,,-4,18.0,0.0,,0.0177,0.003979,0.00698
25,1616336633,한양치과의원,108,357,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진접치과 영유아구강검진 공단구강검진 진접임플란트 진접사랑니,,0.33134,0.291862,0.384042,,2,0.0,3.0,,0.0177,0.023369,0.008443
26,1688483501,별가람치과의원,291,450,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,별가람역치과 별가람치과 별가람역임플란트 별가람역보험틀니 별가람역레진,,0.33134,0.283476,0.38341,,0,5.0,5.0,,0.0177,0.012479,0.007622
27,11881047,서울OK치과의원,657,1091,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,호평동치과 남양주치과 사랑니 임플란트치과 교정치과,,0.33134,0.281655,0.383272,,-6,0.0,5.0,,0.0177,-0.003596,0.006408
28,13301848,서울웰치과의원,360,363,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 다산치과 다산임플란트 남양주임플란트 도농치과,,0.33134,0.277945,0.382992,,-4,0.0,9.0,,0.0177,-0.002096,0.006521
29,31083351,임플라인치과의원 남양주점,57,153,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 소아어린이치과 턱관절통증치료 틀니보철치료,,0.33134,0.275267,0.38279,,-6,0.0,0.0,,0.0177,-0.005045,0.006299
30,1199375035,온아치과의원,334,640,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마석치과 마석임플란트 마석치아교정치과 화도읍치과 가평치과,,0.33134,0.271246,0.382487,,0,5.0,-1.0,,0.0177,0.011392,0.00754
31,1493331376,서울웃는아이치과의원,38,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,소아교정치과 소아치과 수면치료 어린이치과 인비절라인,,0.33134,0.26807,0.382247,,4,0.0,-1.0,,0.0177,0.010752,0.007491
32,38575976,미유치과의원,151,386,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,별내치과 별내미유치과 별내사랑니 별내충치치료 별내임플란트,,0.33134,0.267485,0.382203,,2,0.0,2.0,,0.0177,0.009728,0.007414
33,13233490,쥬니어치과의원,12,462,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,어린이치과 소아치과 키즈치과 호평동어린이치과 남양주어린이치과,,0.33134,0.264774,0.381998,,5,0.0,2.0,,0.0177,0.010569,0.007477
34,19867287,치아나라234치과의원,564,1012,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,남양주치과 마석치과 화도치과 마석임플란트 화도임플란트,,0.33134,0.264032,0.381942,,2,0.0,5.0,,0.0177,0.006764,0.00719
35,1597706940,서울365열린치과의원 남양주마석,308,324,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마석치과 임플란트 치아교정 수면치료 화도치과,,0.33134,0.263201,0.381879,,-4,0.0,3.0,,0.0177,0.003964,0.006978
36,1028197673,하시온치과의원,179,382,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,별내치과 별내임플란트 별내사랑니 별내턱관절 별내치과수면마취,,0.33134,0.260259,0.381657,,-8,-1.0,0.0,,0.0177,-0.007916,0.006082
37,37570531,서울진접소아치과의원,16,261,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,어린이치과 소아치과 소아교정 영유아검진 수면치료,,0.33134,0.255662,0.38131,,0,0.0,0.0,,0.0177,-0.000228,0.006662
38,1307740644,이솔치과의원,441,419,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 마석치과 마석임플란트 화도읍치과 화도읍임플란트,,0.33134,0.255611,0.381307,,6,0.0,3.0,,0.0177,0.010919,0.007504
39,1801619547,다산탑구강악안면외과치과의원,230,239,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,다산치과 다산사랑니 다산임플란트 다산탑치과 다산역치과,,0.33134,0.253838,0.381173,,-7,0.0,0.0,,0.0177,-0.005064,0.006298
