place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,38709189,연세퍼스트치과의원,801,486,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,논산임플란트 논산치과 논산구강외과 논산치아교정 부여치과,,0.33134,0.268621,0.333987,,0,8.0,0.0,,0.0177,-0.004627,0.006331
2,13136585,부부치과의원,5,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,임플란트보철 교정소아치과 턱관절사랑니발치 통합치의학과 신경치료,,0.33134,0.262113,0.333495,,1,0.0,0.0,,0.0177,0.012677,0.007636
3,1430255705,닥터유구강악안면외과치과의원,24,170,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,논산사랑니 부여사랑니 공주사랑니 논산임플란트 부여임플란트,,0.331294,0.257266,0.333112,,-1,0.0,1.0,,0.0177,-0.007305,0.006128
4,1182448904,베스트치과,8,104,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.238324,0.331683,,0,0.0,0.0,,0.0177,0.002179,0.006844
5,1235832227,중앙치과의원,233,38,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,논산치과 논산시치과 논산임플란트 계룡시치과 부여치과,,0.33134,0.232873,0.331289,,0,3.0,0.0,,0.0177,0.010603,0.00748
6,13244689,고운미소치과의원,0,269,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.205807,0.329229,,0,0.0,0.0,,0.0177,0.005077,0.007063
7,13244619,제일치과의원,4,227,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.202568,0.328984,,1,0.0,0.0,,0.0177,0.008285,0.007305
8,13244606,연산치과의원,4,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.197823,0.328626,,2,0.0,1.0,,0.0177,0.014091,0.007743
9,1149733461,프라임치과의원,1,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,논산치과 프라임치과,,0.33134,0.193149,0.328291,,0,0.0,1.0,,0.0177,0.008968,0.007357
10,1371017972,행복치과의원,2,18,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,논산치과 논산임플란트 논산치과전문의 논산행복치과 논산,,0.33134,0.186489,0.327788,,-3,0.0,0.0,,0.0177,-0.008712,0.006022
11,12878292,이훈규치과의원,2,152,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.172797,0.326737,,1,0.0,0.0,,0.0177,0.008642,0.007331
12,13463414,서울플러스치과의원,0,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,,,0.331294,0.167696,0.326352,,2,0.0,0.0,,0.0177,0.015575,0.007855
13,12872214,강경연세치과의원,3,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.166656,0.326274,,5,0.0,0.0,,0.0177,0.03026,0.008963
14,34908455,강경치과의원,0,96,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 임플란트 수술 치주치료,,0.331294,0.166566,0.326267,,1,0.0,0.0,,0.0177,0.016474,0.007923
15,19533216,상아치과의원,0,37,치과,건강의료>병원>병원의원>치과>치과-일반,4.02,,,,0.331294,0.157328,0.32557,,-2,0.0,1.0,,0.0177,0.004692,0.007034
16,13244676,김원규치과의원,2,138,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.153878,0.325309,,-5,0.0,0.0,,0.0177,-0.020064,0.005165
17,11869672,강대홍치과의원,1,36,치과,건강의료>병원>병원의원>치과>치과-일반,3.75,,임플란트 심미보철 스케일링 치아교정 의치,,0.331294,0.147539,0.324831,,0,0.0,0.0,,0.0177,0.008884,0.00735
18,13244620,8020치과의원,2,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,,,0.331294,0.144487,0.324601,,-2,0.0,0.0,,0.0177,-0.000665,0.00663
19,13244590,다인치과의원,0,83,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,,,0.331294,0.141576,0.324381,,0,0.0,0.0,,0.0177,0.005212,0.007073
20,33595415,연산하나로치과의원,0,30,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.133742,0.32379,,3,0.0,0.0,,0.0177,0.009428,0.007391
21,19533221,변치과,1,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.133421,0.323766,,0,0.0,0.0,,0.0177,0.000832,0.006743
22,19527576,탑치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.09,,임플란트 보톡스,,0.331294,0.128906,0.323425,,-2,0.0,1.0,,0.0177,-0.005018,0.006301
23,11693720,좋은치과의원,2,74,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.128817,0.323418,,2,0.0,0.0,,0.0177,0.010466,0.007469
24,13533785,향기치과의원,0,65,치과,건강의료>병원>병원의원>치과>치과-일반,3.98,,,,0.331294,0.12289,0.322971,,0,0.0,0.0,,0.0177,-0.000304,0.006657
25,13244679,우리들치과의원,2,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,치과 논산 논산치과,,0.33134,0.115576,0.322436,,-3,0.0,0.0,,0.0177,-0.013992,0.005623
26,13244677,편한치과의원,0,62,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,,,0.331294,0.112934,0.322219,,0,0.0,0.0,,0.0177,-0.000326,0.006654
27,1444820547,금강치과의원,0,3,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보험틀니 크라운 지르코니아 신경치료,,0.331294,0.106002,0.321696,,1,0.0,0.0,,0.0177,0.003539,0.006946
28,1486454202,미플란트치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철 치주질환 틀니 사랑니발치,,0.331294,0.104044,0.321548,,1,0.0,0.0,,0.0177,0.003327,0.00693
