place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1168808595,가디언즈치과의원 다산점,717,376,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,남양주치과 다산역치과 다산치과 임플란트 치아교정,,0.33134,0.425877,0.388119,,1,136.0,3.0,,0.0177,-0.006399,0.006196
2,1548725549,서울제대로치과의원,602,210,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 수면임플란트치료 라미네이트 남양주다산치과,,0.33134,0.421787,0.38781,,-1,32.0,4.0,,0.0177,-0.016663,0.005421
3,1872074450,서울라온치과의원 다산,1105,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,다산치과 다산동치과 다산신도시치과 다산치아교정 다산임플란트,,0.33134,0.370049,0.383906,,0,12.0,1.0,,0.0177,0.013097,0.007668
4,2098738510,서울마일스톤치과교정과의원,541,46,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,클리피씨 비발치교정 하남미사다산교정전문치과 서울대치과교정과전문의 투명교정인비절라인치아교정장치,,0.33134,0.35582,0.382832,,1,142.0,9.0,,0.0177,0.009622,0.007406
5,1398710679,아이엔소아치과의원,134,618,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장애인치과 어린이치과 어린이교정 영유아구강검진 인비절라인,,0.33134,0.354844,0.382758,,1,1.0,10.0,,0.0177,0.009408,0.007389
6,1537391286,다모아치과의원 다산,402,1480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다산치과 수면임플란트 어린이교정치과 성인사랑니발치 남양주턱관절,,0.33134,0.349595,0.382362,,-2,23.0,7.0,,0.0177,-0.000331,0.006654
7,1409479355,서울퍼스트치과의원,327,391,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,다산신도시치과 다산치과 어린이치과치료 다산중앙로치과 임플란트,,0.33134,0.321026,0.380206,,0,-1.0,0.0,,0.0177,-0.006726,0.006172
8,1598399328,연세고마운치과의원 다산점,557,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,다산치과 다산신도시치과 다산임플란트치과 다산스케일링치과 남양주다산치과,,0.33134,0.314699,0.379728,,1,5.0,8.0,,0.0177,0.009102,0.007366
9,1943510278,서울다산어린이치과의원 남양주,166,673,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다산소아치과 남양주어린이치과 구리소아치과 남양주소아치과 갈매소아치과,,0.33134,0.31399,0.379675,,-1,0.0,2.0,,0.0177,-0.003265,0.006433
10,13301848,서울웰치과의원,360,363,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 다산치과 다산임플란트 남양주임플란트 도농치과,,0.33134,0.277945,0.376954,,0,0.0,9.0,,0.0177,-0.002096,0.006521
11,1801619547,다산탑구강악안면외과치과의원,230,239,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,다산치과 다산사랑니 다산임플란트 다산탑치과 다산역치과,,0.33134,0.253838,0.375135,,0,0.0,0.0,,0.0177,-0.005064,0.006297
12,1219824936,이지영치과교정과치과의원,370,397,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,부정교합인비절라인퍼스트치료 반대교합페이스마스크 돌출프리올소 주걱턱교정치료 덧니악궁확장,,0.331294,0.25266,0.375029,,1,4.0,0.0,,0.0177,0.005131,0.007067
