place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1792251564,단양밝은미소치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.188956,0.337013,,0,-,-,,-,-,-
2,19531458,서울치과의원,0,44,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.1639,0.335122,,0,-,-,,-,-,-
3,34395399,유재용치과,0,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.147905,0.333915,,0,-,-,,-,-,-
4,34799161,단양수치과의원,0,60,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.126961,0.332335,,0,-,-,,-,-,-
5,1330523230,연세드림치과의원,0,18,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,치과 임플란트 틀니 치아교정 지르코니아,,0.33134,0.124775,0.332187,,0,-,-,,-,-,-
6,37485886,탑치과의원,0,14,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,,,0.331294,0.104236,0.330619,,0,-,-,,-,-,-
7,13248319,단양정치과의원,1,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.084153,0.329104,,0,-,-,,-,-,-
8,1026525530,단양군보건의료원,12,23,보건소,건강의료>병원>보건소>보건의료원,0.0,,,,0.0,0.280504,0.209849,,0,-,-,,-,-,-
9,1114906070,원플란트치과의원,472,333,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,임플란트_교정 신경치료_틀니 소아치과_충치 미백_턱관절 스케일링_사랑니,,0.33134,0.398419,0.16416,,0,-,-,,-,-,-
10,1881493647,서울강남플란트치과의원,437,241,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제천틀니 제천치과 제천임플란트 제천충치치료 제천사랑니,,0.33134,0.338344,0.159626,,0,-,-,,-,-,-
11,1137978269,스타치과의원,1008,191,치과,건강의료>병원>병원의원>치과>치과-일반,3.99,,,,0.331294,0.298975,0.156637,,0,-,-,,-,-,-
12,1421250552,라온치과의원 영주점,65,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영주치과 영주임플란트 영주임플란트치과 영주사랑니 영주턱관절,,0.33134,0.276363,0.154948,,0,-,-,,-,-,-
13,1676955776,연세가족치과의원,3,25,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철치료 사랑니발치 영주치과 어린이치과,,0.33134,0.254627,0.153308,,0,-,-,,-,-,-
14,37206764,종로미시간치과의원,57,819,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제천치과 제천임플란트 제천사랑니 제천틀니 제천충치치료,,0.33134,0.252633,0.153157,,0,-,-,,-,-,-
15,1060901748,강남치과의원,4,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니 골이식 턱관절,,0.331294,0.239218,0.152128,,0,-,-,,-,-,-
16,13248589,우리치과의원,8,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.235844,0.151873,,0,-,-,,-,-,-
17,13257715,연세소망치과의원,6,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영주치과 영주임플란트 영주틀니 봉화치과 봉화임플란트,,0.33134,0.235531,0.151867,,0,-,-,,-,-,-
18,1733919597,로이스치과의원,5,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,제천치아미백 제천턱관절 제천치과 제천임플란트 제천보철치료,,0.33134,0.22637,0.151175,,0,-,-,,-,-,-
19,13248627,올치과의원,60,205,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.219449,0.150636,,0,-,-,,-,-,-
20,13257757,바른치과의원,2,47,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,치아교정 소아교정 성인교정 투명교정 수술교정,,0.331294,0.214057,0.150229,,0,-,-,,-,-,-
21,37202635,연세행복치과의원,1,187,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.212202,0.150089,,0,-,-,,-,-,-
22,1137098329,서울미소플란트치과의원,2,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제천치과 제천임플란트 제천사랑니 제천충치,,0.33134,0.211073,0.150021,,0,-,-,,-,-,-
23,33315128,우리치과의원,11,153,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,임플란트 야간진료 토요일진료,,0.331294,0.204829,0.149532,,0,-,-,,-,-,-
24,19513805,서울미래치과교정과치과의원,2,96,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.203697,0.149447,,0,-,-,,-,-,-
25,1682937540,엄윤섭구강악안면외과치과의원,1,78,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,제천사랑니 제천임플란트 제천턱관절 임플란트 제천치과,,0.33134,0.201206,0.149276,,0,-,-,,-,-,-
26,13248613,한미치과의원,3,197,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.201038,0.149246,,0,-,-,,-,-,-
27,1986730163,서울준치과의원,1,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,임플란트 심미보철 치아미백 제천치과 사랑니발치,,0.33134,0.200594,0.14923,,0,-,-,,-,-,-
28,13257749,권오연치과의원,3,57,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.197162,0.148953,,0,-,-,,-,-,-
29,265085061,연합치과의원,4,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,,,0.331294,0.195737,0.148846,,0,-,-,,-,-,-
30,12810853,삼성제일치과의원,3,51,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,,,0.331294,0.194855,0.148779,,0,-,-,,-,-,-
31,1229576168,라온치과의원,3,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,치과 임플란트 사랑니발치 충치치료 신경치료,,0.33134,0.193679,0.148708,,0,-,-,,-,-,-
32,13248591,허창재치과의원,3,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치과,,0.33134,0.192565,0.148624,,0,-,-,,-,-,-
33,13248548,하나치과의원,3,147,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,,,0.331294,0.19222,0.14858,,0,-,-,,-,-,-
34,12040546,서울치과의원,80,99,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,임플란트 틀니 심미보철 치주치료,,0.331294,0.189673,0.148388,,0,-,-,,-,-,-
35,32340879,서울미소치과의원,4,94,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철 충치치료 영주치과 구강검진,,0.33134,0.187386,0.148233,,0,-,-,,-,-,-
36,13248546,상아치과의원,11,110,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,임플란트 네비게이션임플란트,,0.331294,0.183885,0.147951,,0,-,-,,-,-,-
37,1879682496,리더스치과의원,16,83,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 치아교정 틀니 소아치과 사랑니발치,,0.33134,0.17931,0.147623,,0,-,-,,-,-,-
38,20150241,영주예치과의원,1,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,영주치과 임플란트 치아교정 인비절라인 디지털크라운,,0.33134,0.178661,0.147574,,0,-,-,,-,-,-
39,36369955,연세화이트치과의원,21,44,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 충치치료 잇몸염증치료 사랑니발치,,0.331294,0.177248,0.147451,,0,-,-,,-,-,-
40,13248517,부부치과의원,2,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.174448,0.147239,,0,-,-,,-,-,-
41,1794746511,베스트치과의원,1,110,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제천치과 제천임플란트 제천잇몸치료 제천스케일링 제천교정,,0.33134,0.172089,0.147078,,0,-,-,,-,-,-
42,1745130331,터미널민치과의원,0,53,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.166618,0.146648,,0,-,-,,-,-,-
43,1506092693,장세혁치과의원,0,123,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.165486,0.146563,,0,-,-,,-,-,-
44,19516664,김대순치과의원,1,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.164501,0.146488,,0,-,-,,-,-,-
45,1975468208,수치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영주치과 영주충치치료 영주토요일진료 영주야간진료 영주틀니,,0.33134,0.160535,0.146206,,0,-,-,,-,-,-
46,1414213407,두손치과의원,0,62,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,충치 레진 임플란트 스케일링 매복발치,,0.331294,0.160431,0.146181,,0,-,-,,-,-,-
47,1466315071,이치과의원,0,34,치과,건강의료>병원>병원의원>치과>치과-일반,3.93,,,,0.331294,0.156323,0.145871,,0,-,-,,-,-,-
48,13248487,바른치과의원,2,92,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,제천 치과 임플란트 치아치료 잇몸치료,,0.33134,0.147224,0.145202,,0,-,-,,-,-,-
49,13257761,권치과의원,2,49,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.147157,0.14518,,0,-,-,,-,-,-
50,1285560684,영주미플란트치과의원,89,6,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영주미플란트치과 영주임플란트 영주충치 영주틀니,,0.33134,0.146617,0.145156,,0,-,-,,-,-,-
