place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,19867097,아루카치과의원,3,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.213323,0.329796,,0,-,-,,-,-,-
2,516945108,바른길치과의원,0,87,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.180557,0.327323,,0,-,-,,-,-,-
3,13262897,동산치과,1,66,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.174295,0.32685,,0,-,-,,-,-,-
4,13262942,김치과의원,2,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,무절개임플랜트 무통임플랜트 발치즉시임플랜트 심미보철치료 교정치료,,0.331294,0.15962,0.325743,,0,-,-,,-,-,-
5,1961953314,창평성심치과의원,6,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.158058,0.325625,,0,-,-,,-,-,-
6,1026375306,신우치과의원,0,52,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 치아교정 미세현미경,,0.331294,0.150896,0.325084,,0,-,-,,-,-,-
7,13262922,홍치과,6,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.148248,0.324885,,0,-,-,,-,-,-
8,31222500,대전치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.144573,0.324607,,0,-,-,,-,-,-
9,33305087,담양중앙치과의원,0,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.117598,0.322571,,0,-,-,,-,-,-
10,13262905,부부치과의원,2,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.113085,0.322231,,0,-,-,,-,-,-
11,13262949,이치과의원,2,37,치과,건강의료>병원>병원의원>치과>치과-일반,4.08,,,,0.331294,0.109678,0.321974,,0,-,-,,-,-,-
12,13262909,김치과의원,4,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.084023,0.320037,,0,-,-,,-,-,-
13,35365073,조은치과의원,0,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.066008,0.318678,,0,-,-,,-,-,-
14,35801798,광주신세계치과의원,3209,314,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광천동치과 임플란트 야간치과 전체임플란트,,0.33134,0.468683,0.160406,,0,-,-,,-,-,-
15,1675858477,완플란트치과의원 광주,467,155,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 광주치과 상무지구치과 광주임플란트 스케일링,,0.33134,0.46478,0.160112,,0,-,-,,-,-,-
16,1159828780,아삭플란트치과의원 광주,1708,94,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 광주치과 치평동치과 운천역치과,,0.33134,0.463487,0.160014,,0,-,-,,-,-,-
17,1180931147,옳치치과의원 광주,1727,154,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주사랑니발치 광주서구치과 광주임플란트치과 광주야간진료치과 광천동치과,,0.33134,0.4482,0.15886,,0,-,-,,-,-,-
18,37422090,제이탑치과의원,518,198,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화정동치과 광주치과 광주사랑니 서구치과 광주임플란트,,0.33134,0.441688,0.158369,,0,-,-,,-,-,-
19,1553977374,W화이트치과의원,3070,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,광주치과 광주동구치과 치과 광주북구치과 광주임플란트,,0.33134,0.440927,0.158312,,0,-,-,,-,-,-
20,37076753,제이엘치과의원,2633,886,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 상무지구치과 임플란트 치아미백 스케일링,,0.33134,0.438077,0.158096,,0,-,-,,-,-,-
21,13264583,효치과의원,2251,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,광주치과 광주서구치과 광주임플란트 광주라미네이트 광주수면임플란트,,0.33134,0.435666,0.157914,,0,-,-,,-,-,-
22,1749854930,선한약속치과의원,1136,420,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 운암동치과 광주임플란트 사랑니발치 광주턱관절,,0.33134,0.422441,0.156916,,0,-,-,,-,-,-
23,1540202921,365바른마음치과의원 첨단,1038,462,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 첨단치과 광주주말치과 광산구치과 광주임플란트,,0.33134,0.421381,0.156836,,0,-,-,,-,-,-
24,1518351272,화정 힐스 치과 의원,375,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 야간진료 잇몸치료 사랑니발치 화정동치과,,0.33134,0.416153,0.156442,,0,-,-,,-,-,-
25,13495294,이클린치과의원 광주,1486,201,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 광주남구치과 턱관절 광주사랑니,,0.33134,0.41328,0.156225,,0,-,-,,-,-,-
26,38018389,킹덤치과의원,2655,413,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 봉선동치과 광주수면임플란트 광주남구치과,,0.33134,0.406856,0.15574,,0,-,-,,-,-,-
27,1030438709,퍼스트플란트치과의원,1946,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주북구치과 광주임플란트 운암동치과 광주사랑니발치,,0.33134,0.404254,0.155544,,0,-,-,,-,-,-
28,1087132029,반듯한치과의원,1000,117,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 봉선동치과 인비절라인 광주교정치과 교정과전문의,,0.33134,0.400014,0.155224,,0,-,-,,-,-,-
29,811654594,오늘안치과의원,665,395,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화정동치과 염주동치과 광주라미네이트 임플란트 사랑니발치,,0.33134,0.396589,0.154965,,0,-,-,,-,-,-
30,37544070,바로치과의원 광주,1176,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 틀니 광주치과 양산동치과 광주북구치과,,0.33134,0.377309,0.15351,,0,-,-,,-,-,-
31,1020948309,세움치과의원,797,911,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,광주치과 상무지구치과 임플란트 치아교정 심미치료,,0.33134,0.374501,0.153298,,0,-,-,,-,-,-
32,97595873,빛고을치과의원,703,285,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,광주임플란트 광주야간진료 광주치과 광주치아미백 광주남구치과,,0.33134,0.3587,0.152106,,0,-,-,,-,-,-
33,35326404,우리동네치과의원,392,351,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 화정동치과 임플란트 치아교정 신경치료,,0.33134,0.358049,0.152057,,0,-,-,,-,-,-
34,13277598,유디치과의원 광주학동점,843,427,치과,건강의료>병원>병원의원>치과>유디치과,0.0,,임플란트 충치치료 치아미백 스케일링 광주학동치과,,0.33134,0.357507,0.152016,,0,-,-,,-,-,-
35,33636405,반석치과교정과 구강악안면외과치과의원,343,184,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,치평동상무반석치과 치아교정 교정치과,,0.33134,0.351996,0.1516,,0,-,-,,-,-,-
36,1954285176,광천 미서울 치과의원,689,242,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주라미네이트 광주서구치과 광주무삭제라미네이트 광주부분교정 광주임플란트,,0.33134,0.349429,0.151406,,0,-,-,,-,-,-
37,33676515,피카소치과의원,1198,127,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주교정치과 상무지구치아교정 광주서구교정치과 인비절라인 교정과전문의,,0.33134,0.349405,0.151404,,0,-,-,,-,-,-
38,37644862,중앙치과의원,429,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,광주치과 두암동치과 광주북구치과 매복사랑니 임플란트,,0.33134,0.348917,0.151367,,0,-,-,,-,-,-
39,36894585,더블엠 구강악안면외과 치과의원,140,761,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,사랑니 양악수술 돌출입수술 광주매복사랑니 광주턱관절,,0.331294,0.34715,0.151217,,0,-,-,,-,-,-
40,36886419,튼튼이어린이치과의원,15,289,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,어린이치과 아동치과 소아치과,,0.33134,0.334785,0.150301,,0,-,-,,-,-,-
41,1454123254,광주라온치과의원,1141,275,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 주월동치과 매복사랑니발치 라미네이트 디지털네비게이션임플란트,,0.33134,0.327139,0.149724,,0,-,-,,-,-,-
42,1194925595,스마트원치과병원,1089,1997,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,광주치과 광주수면임플란트 상무지구치과 무삭제라미네이트 사랑니발치,,0.33134,0.326171,0.149651,,0,-,-,,-,-,-
43,34362617,하나어린이치과의원,24,254,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.324443,0.149503,,0,-,-,,-,-,-
44,1335071240,신사플란트치과병원,350,528,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 광주수면임플란트 임플란트 수면임플란트,,0.33134,0.322971,0.149409,,0,-,-,,-,-,-
45,1055418020,쏙쏙사랑니치과의원 전남광주,332,534,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주사랑니 전남사랑니 광주사랑니발치 용봉동치과 전남사랑니발치,,0.33134,0.321952,0.149332,,0,-,-,,-,-,-
46,2080250694,리본치과의원,85,78,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주화정동치과 화정동임플란트 염주동보톡스 광주서구치과 염주동치과,,0.33134,0.318589,0.149079,,0,-,-,,-,-,-
47,1422340897,봄봄아이치과의원,54,1037,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진월동치과 화순치과 나주치과 광주어린이치과 광주소아치과,,0.33134,0.306002,0.148129,,0,-,-,,-,-,-
48,13264877,전남대학교치과병원,123,235,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.302543,0.14785,,0,-,-,,-,-,-
49,2054936395,공감플란트치과의원,265,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일곡동치과 임플란트 보철치료 광주치과 충치치료,,0.33134,0.301582,0.147795,,0,-,-,,-,-,-
50,1463377315,바른이치과교정과치과의원,123,161,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,교정치과 어린이교정 돌출입교정 턱관절치과 첨단교정치과,,0.33134,0.301052,0.147755,,0,-,-,,-,-,-
