place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,32990820,더편한치과의원,312,429,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,신경치료 잇몸스케일링 임플란트틀니 앞니충치레진 매복사랑니발치,,0.331294,0.36129,0.470578,,0,17.0,10.0,,0.0177,0.02495,0.008109
2,1245370936,가디언즈치과의원 당진점,316,266,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,당진치과 서산치과 치아교정 읍내동치과 임플란트,,0.33134,0.336446,0.46872,,0,1.0,-2.0,,0.0177,0.008006,0.00683
3,1243295539,아홉가지약속당진치과의원,33,1075,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 치아미백 충치치료 소아치과,,0.33134,0.312322,0.466899,,0,0.0,25.0,,0.0177,0.009293,0.006927
4,1028664821,연세하늘치과의원 당진,348,684,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,당진치과 임플란트 어린이치과 주니어치과 소아치과,,0.33134,0.297856,0.465807,,0,1.0,3.0,,0.0177,0.00505,0.006606
5,1006900062,경희바른이주니어치과의원,251,479,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,임플란트 교정 투명교정 당진소아치과 어린이치과,,0.33134,0.271854,0.463845,,0,1.0,1.0,,0.0177,0.002844,0.00644
6,1420467926,이손의료재단 이손치과병원,256,394,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치과 임플란트,,0.33134,0.261587,0.46307,,0,0.0,0.0,,0.0177,-0.00027,0.006205
7,1033000527,당진에이스치과의원,25,357,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,당진치과 당진임플란트 당진충치 서산치과 당진치과전문의,,0.33134,0.256396,0.462678,,3,1.0,0.0,,0.0177,0.037505,0.009056
8,1043948793,퍼스트치과의원,1,297,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 치아교정 소아진료 보험틀니 보철치료,,0.331294,0.24969,0.462155,,0,0.0,0.0,,0.0177,0.023952,0.008033
9,36509249,안녕플란트치과의원 당진,75,318,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,당진치과 임플란트 턱관절 틀니 구강악안면외과,,0.33134,0.233204,0.460928,,-2,0.0,4.0,,0.0177,0.005645,0.006652
10,1496606362,힐플란트치과의원,598,127,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,당진치과 기지시치과 당진임플란트 사랑니 당진터미널치과,,0.33134,0.22401,0.460234,,3,8.0,4.0,,0.0177,0.009554,0.006947
