place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,12813363,디에르치과의원 대구점,3919,1102,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,대구치과 대구치아미백 대구라미네이트 대구치아교정 대구충치치료,,0.33134,0.455003,0.387298,,0,119.0,3.0,,0.0177,0.002261,0.00685
2,2097877011,제우스치과의원,2079,204,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구임플란트 대구치아스케일링비용 대구잇몸염증신경치료 틀니보철심미치료,,0.33134,0.435794,0.385849,,1,334.0,0.0,,0.0177,0.007491,0.007245
3,13253443,편한구강내과치과의원,1166,985,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구턱관절 대구코골이 대구구강내과 대구턱관절병원 대구이갈이,,0.331294,0.433718,0.385675,,-1,0.0,10.0,,0.0177,-0.014651,0.005574
4,1931989406,아름다운차이치과의원,769,242,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,대구치과 대구라미네이트심미보철 대구잇몸충치치료 대구틀니스케일링 의식하진정법임플란트,,0.33134,0.393583,0.382663,,1,218.0,1.0,,0.0177,0.01315,0.007672
5,1701683544,지수치과교정과치과의원,760,403,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,치과교정과전문의 인비절라인 돌출입교정 치아교정치과 앞니부분교정,,0.33134,0.386133,0.382101,,1,25.0,2.0,,0.0177,0.007304,0.007231
6,1829467111,늘봄플란트치과의원,1440,174,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,보철치료 반월당치과 반월당임플란트 대구중구치과,,0.33134,0.364654,0.38048,,6,147.0,2.0,,0.0177,0.043258,0.009945
7,38508261,미르치과병원,176,2967,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,대구임플란트 대구턱관절 대구교정치과 대구라미네이트 대구어린이치과,,0.33134,0.35789,0.379969,,2,7.0,3.0,,0.0177,-0.002064,0.006524
8,1348971639,톡톡사랑니치과의원,70,4603,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 매복사랑니 사랑니전문 사랑니발치전문 대구사랑니,,0.331294,0.356677,0.37986,,0,0.0,46.0,,0.0177,-0.008288,0.006054
9,13029705,비에스치과교정과치과의원,162,746,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,치과교정과 반월당교정치과 명진비에스치과 인비절라인치과 대구교정치과,,0.33134,0.351649,0.379498,,2,3.0,20.0,,0.0177,0.002107,0.006838
10,36663055,서울바른치과교정과치과의원,336,1134,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,치아교정 교정치과 투명교정 인비절라인 돌출입교정,,0.33134,0.339792,0.378603,,-3,1.0,3.0,,0.0177,-0.030509,0.004377
11,32964077,미소그리다치과교정과치과의원,126,329,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 교정치과 투명교정 인비절라인 돌출입교정,,0.33134,0.319032,0.377036,,5,2.0,6.0,,0.0177,0.012188,0.007599
12,11539638,대구예치과교정과치과의원,186,564,치과,건강의료>병원>병원의원>치과>예치과,4.41,,대구교정치과 치아교정 대구치아교정 대구치과 소아교정,,0.33134,0.314647,0.376706,Hot,10,15.0,3.0,,0.0177,0.024764,0.008549
13,36689132,이가치과의원,91,396,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,치아미백 라미네이트 임플란트 미세현미경_근관치료 심미보철,,0.331294,0.312458,0.376523,,2,1.0,3.0,,0.0177,0.002608,0.006876
14,13475167,유디치과의원 대구역점,40,350,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,임플란트 충치치료 치아미백 대구역치과 대구중구치과,,0.33134,0.309814,0.376341,,5,1.0,1.0,,0.0177,0.014743,0.007792
15,34362741,경북대학교치과병원,66,291,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,경북대치과병원 경대치과병원 경대치과 경북대학교치과 대구치과,,0.33134,0.305145,0.375988,,-2,0.0,0.0,,0.0177,-0.006481,0.00619
16,20800749,중앙로센텀치과의원 대구중구점,31,417,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,대구치과 대구임플란트 대구중구치과 반월당치과 치아교정,,0.33134,0.305106,0.375985,,1,6.0,9.0,,0.0177,0.004593,0.007026
17,1006867873,해와달연합치과의원,120,321,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 소아치과 치아교정 일요일치과 잇몸치료,,0.33134,0.303584,0.375871,,3,2.0,6.0,,0.0177,0.008566,0.007326
18,1339315670,차앤백구강악안면외과치과의원,51,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,양악수술 임플란트 골이식 사랑니발치,,0.331294,0.29896,0.375504,,-4,0.0,0.0,,0.0177,-0.01121,0.005833
19,1322016573,마음으로치과의원 중구,2303,433,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,대구치과 대구임플란트 동성로치과 동성로임플란트 대구치아교정,,0.33134,0.297845,0.375437,,-9,0.0,0.0,,0.0177,-0.058734,0.002246
20,10971358,예미안치과교정과치과의원,311,112,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,치과교정과전문의 교정치과 치아교정 인비절라인 대구치과,,0.33134,0.295083,0.375229,,1,7.0,0.0,,0.0177,0.000538,0.00672
21,1126909935,잘가요사랑니치과의원,50,1279,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구사랑니 사랑니전문치과 사랑니발치전문 대구사랑니발치 매복사랑니,,0.33134,0.29302,0.375073,,-17,1.0,40.0,,0.0177,-0.101236,-0.000961
22,1203701327,라스트치과의원,84,415,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,대구임플란트 대구잇몸치료 대구스케일링 대구보철치료 반월당치과,,0.33134,0.290235,0.374863,,-4,0.0,-1.0,,0.0177,-0.009008,0.005999
23,36391164,열린구강내과치과의원,804,1173,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구구강내과 대구치과 턱관절치료병원 이갈이 턱관절전문,,0.33134,0.287456,0.374653,,0,2.0,2.0,,0.0177,-0.000838,0.006616
24,13253334,배성민치과교정과치과의원,14,188,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정,,0.331294,0.275301,0.373719,,5,1.0,0.0,,0.0177,0.010057,0.007439
25,12866732,로이스덕영치과병원,50,1443,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,대구중구치과 스트라우만임플란트 대구교정치과 대구임플란트 대구사랑니발치,,0.33134,0.27452,0.373677,,0,0.0,3.0,,0.0177,-0.003238,0.006435
26,11538044,유앤미치과의원,113,1058,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,대구반월당치과 치아교정 교정치과 인비절라인 임플란트,,0.33134,0.27369,0.373614,,0,3.0,7.0,,0.0177,0.000182,0.006693
27,36663057,올바른치과교정과치과의원,451,598,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,교정치과치아교정 교정과전문의 무턱주걱턱 클리피씨데이몬 앞니부분교정,,0.33134,0.27111,0.37342,,1,2.0,1.0,,0.0177,0.00411,0.00699
28,1805079820,브라이트치과교정과치과의원,101,517,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 교정치과 돌출입교정 대구교정치과 반월당교정치과,,0.33134,0.270513,0.373375,,3,2.0,9.0,,0.0177,0.011706,0.007563
29,34817788,디자인치과교정과치과의원,372,1778,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구교정치과 대구치아교정 대구인비절라인 대구설측교정 대구어린이교정,,0.33134,0.267993,0.373184,,1,1.0,12.0,,0.0177,0.003816,0.006967
30,12356019,명진치과의원,3,538,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.25364,0.372084,,3,0.0,1.0,,0.0177,-0.00383,0.00639
31,13253881,김앤김치과의원,9,243,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,MEAW비수술교정 소아교정 인비절라인 잇솔질관리 성인교정,,0.331294,0.251505,0.371923,,3,0.0,0.0,,0.0177,-0.003006,0.006453
32,37014922,공정욱치과의원,136,396,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,대구임플란트 대구중구치과 대구틀니 대구치과 대구스케일링,,0.33134,0.251272,0.371922,,0,0.0,0.0,,0.0177,-0.006709,0.006173
33,1481268869,오늘도원치과의원,13,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,의식하진정 달성공원역치과 전문의 사랑니 대구치과,,0.33134,0.246678,0.371576,,6,0.0,7.0,,0.0177,0.011005,0.00751
34,13179024,뷰티라인치과교정과치과의원,7,190,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,대구반월당교정치과 대구교정전문치과 대구인비절라인치과 대구소아교정치과 대구교정전문의,,0.33134,0.243748,0.371355,,1,0.0,0.0,,0.0177,0.001248,0.006774
