place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1628892117,탑클래스치과의원,287,283,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 미세현미경신경치료 치과보존과전문의 턱관절틀니 충치보철치료,,0.33134,0.337834,0.387512,,0,3.0,1.0,,0.0177,0.019286,0.008135
2,11656083,편한치과의원,26,1089,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,치주질환예방치료 교정 보철 치아미백 임플란트,,0.331294,0.306691,0.385144,,0,1.0,3.0,,0.0177,-0.011821,0.005787
3,1956968694,365성심플란트치과의원 대전,581,257,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,앞니라미네이트 임플란트틀니 대전동구야간치과 365치과병원 공휴일진료,,0.33134,0.300394,0.384686,,0,27.0,14.0,,0.0177,0.003624,0.006953
4,36271522,이앤장치과교정과치과의원,233,741,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,대전치아교정 대전교정치과 대전투명교정 대전교정 대전성장기교정,,0.33134,0.300355,0.384683,,0,0.0,6.0,,0.0177,0.010032,0.007436
5,1324155431,나비온치과의원,494,1125,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,네비게이션임플란트 임플란트 사랑니발치 심미보철 디지털보철,,0.331294,0.284154,0.383444,,1,0.0,12.0,,0.0177,0.004465,0.007017
6,38274017,서울치과병원,77,192,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,치과 치과병원 임플란트 대전치과 대전임플란트,,0.33134,0.279701,0.383125,,-1,0.0,0.0,,0.0177,-0.000132,0.00667
7,36768930,에이케이플란트치과의원,456,1067,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 대전임플란트 대전어린이치과 대전교정치과 대전치아교정,,0.33134,0.277835,0.382984,,0,0.0,1.0,,0.0177,0.006627,0.00718
8,2033519801,온마음치과의원,1,67,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 대전동구치과 천동치과 대전턱관절 대전임플란트,,0.33134,0.233959,0.379672,,3,0.0,7.0,,0.0177,0.027716,0.008771
9,12948951,박재국연합치과의원,92,400,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 15년AS 치과 사랑니 치아,,0.33134,0.229283,0.37932,,0,0.0,0.0,,0.0177,0.012028,0.007588
10,1979302085,스마트치과의원,7,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,사랑니발치 교정 당일진료가능 임플란트 심미보철,,0.331294,0.228768,0.379263,,-2,0.0,0.0,,0.0177,-0.001327,0.006579
11,21350147,오케이치과의원,2,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,가오동치과 대전동구치과 판암동치과 가오동임플란트 판암동임플란트,,0.33134,0.22437,0.378949,,-1,0.0,0.0,,0.0177,0.016541,0.007928
12,1836906906,가양탑치과의원,2,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,가양동치과 비래동치과 성남동치과 용전동치과 자양동치과,,0.33134,0.219534,0.378584,,4,0.0,1.0,,0.0177,0.018734,0.008094
13,1852548070,서울뉴플란트치과의원,3,118,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.218308,0.378474,,-1,0.0,0.0,,0.0177,0.012116,0.007594
14,20150271,리더스장치과의원,1,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,효동치과 천동치과 인동치과 신흥동치과 동구치과,,0.33134,0.21768,0.378444,,1,0.0,0.0,,0.0177,0.016423,0.007919
