place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1429691008,청담수치과의원 대전,6105,918,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치아교정치과 둔산동턱관절 전체임플란트틀니 매복사랑니발치 전문가치아미백,,0.33134,0.513485,0.367561,,0,442.0,4.0,,0.0177,-0.005914,0.006233
2,36898200,서울브라운치과의원 대전,6647,1619,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 치아교정 임플란트 충치치료 사랑니발치,,0.33134,0.494621,0.366138,,0,327.0,14.0,,0.0177,-0.0077,0.006099
3,1954571339,오늘바로플란트치과의원 대전,2464,267,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 정부청사역치과 임플란트 보철 스케일링,,0.33134,0.483682,0.365312,,0,197.0,3.0,,0.0177,-0.011528,0.00581
4,36863309,비케이치과의원,492,699,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,사랑니발치 임플란트 야간치과 구강외과 보철과,,0.33134,0.443587,0.362286,,8,3.0,15.0,,0.0177,0.040074,0.009704
5,1012905059,바른이치 치과의원 둔산점,2384,453,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션디지털임플란트 충치치료 턱관절통증 매복사랑니발치 전체풀아치틀니,,0.331294,0.43914,0.361933,,1,370.0,22.0,,0.0177,0.017807,0.008023
6,34347279,세상에하나뿐인치과의원 대전,3100,1181,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,대전임플란트 둔산동임플란트 대전치과 둔산동사랑니 대전턱관절,,0.33134,0.43394,0.361558,,2,282.0,10.0,,0.0177,0.019903,0.008182
7,13246722,수연합치과의원 대전,2409,920,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,대전임플란트 대전치아교정 대전교정 대전치아미백 대전임플란트치과,,0.33134,0.43121,0.361352,,-3,-2.0,3.0,,0.0177,-0.037845,0.003823
8,465493492,엠케이치과의원 대전,2022,648,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 턱관절 교정치과,,0.33134,0.420857,0.36057,,3,259.0,-5.0,,0.0177,0.012457,0.007619
9,13054609,일리노이치과의원,2575,213,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,대전치과 둔산동치과 대전서구치과 대전사랑니발치 대전임플란트,,0.33134,0.419645,0.360479,,1,202.0,0.0,,0.0177,0.009368,0.007387
10,1190220898,대전 더봄구강악안면외과치과의원,2070,1665,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,대전사랑니치과 대전턱관절치과 대전턱관절 대전턱관절병원 대전더봄치과,,0.33134,0.416916,0.360273,,-3,19.0,6.0,,0.0177,-0.001367,0.006576
11,1606014769,탁월한 치과교정과 치과의원,860,414,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,비수술비발치 인비절라인투명 소아교정주걱턱 대전교정치과 치아교정전문의,,0.33134,0.416527,0.360244,,-2,58.0,8.0,,0.0177,0.004196,0.006996
12,1395689335,대전365센텀치과의원 둔산,1583,1027,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,치아교정과전문의 둔산동주말진료 심미보철치료 둔산동야간치과 대전일요일치과,,0.33134,0.416497,0.360241,,-7,165.0,5.0,,0.0177,-0.014735,0.005567
13,1316434795,연세진정한치과의원 대전둔산,1841,209,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전둔산동치과 둔산동치과 대전치과 둔산동임플란트 대전수면임플란트,,0.33134,0.414717,0.360107,,0,287.0,-1.0,,0.0177,0.012692,0.007637
14,13246026,365디지털치과의원,1369,545,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,대전치과 대전임플란트 둔산동임플란트 대전주말치과 대전네비게이션임플란트,,0.33134,0.377344,0.357286,,0,84.0,3.0,,0.0177,-0.020947,0.005098
15,1496136636,365핵심플러스치과의원,509,65,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전임플란트치과 대전치아교정 대전야간진료치과 대전주말치과 대전서구치과,,0.33134,0.331225,0.353806,,2,196.0,4.0,,0.0177,0.028132,0.008803
16,13246117,조앤이치과의원,453,287,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,월평동치과 대전서구치과 대전교정치과 대전치아교정 대전임플란트치과,,0.33134,0.329466,0.353673,,0,1.0,2.0,,0.0177,-0.001165,0.006592
17,36797057,연세바로치과의원 대전,1220,637,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전교정치과 대전치아교정 대전인비절라인 둔산동교정치과 대전연세바로치과,,0.33134,0.328524,0.353602,,-2,10.0,7.0,,0.0177,-0.010539,0.005884
18,500964413,관저키즈치과의원,48,499,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,관저동어린이치과 논산어린이치과 계룡어린이치과 도안어린이치과 장애인치과,,0.33134,0.317334,0.352757,,4,1.0,1.0,,0.0177,0.022279,0.008361
19,1586666951,비케이소아치과치과의원,130,765,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,대전소아치과 소아치과전문의 대전영유아구강검진 BK어린이치과 어린이치과,,0.33134,0.316089,0.352663,,0,2.0,1.0,,0.0177,0.016608,0.007932
20,11842112,연세갤러리치과의원,1,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,치과 임플란트 치주수술 치조골이식 잇몸성형,,0.33134,0.31008,0.35221,,1,0.0,0.0,,0.0177,0.013899,0.007729
21,1490464027,서울현플란트치과의원,52,725,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,도마동치과 대전서구치과 유천동치과 태평동치과 대전치과,,0.33134,0.305055,0.351831,,-3,1.0,4.0,,0.0177,0.004667,0.007032
22,36643142,이세현치과의원,259,345,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전교정 교정전문의 둔산동치아교정전문 대전치아교정전문치과 대전치아교정치과,,0.33134,0.29677,0.351205,,1,2.0,1.0,,0.0177,0.003614,0.006952
23,20077040,워싱턴치과의원,570,449,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,대전워싱턴치과 대전임플란트 대전치아교정 대전치과 대전교정치과,,0.33134,0.295303,0.351095,,-3,0.0,2.0,,0.0177,-0.001013,0.006603
24,13246030,마로니에치과의원,26,259,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.293042,0.350907,,1,0.0,0.0,,0.0177,0.007661,0.007258
25,1017376603,서울바른치과교정과치과의원,424,583,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,대전교정치과 교정치과 인비절라인 교정과전문의 대전치과,,0.33134,0.288466,0.350579,,2,3.0,1.0,,0.0177,0.009071,0.007364
26,11614463,피노키오치과의원,30,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,어린이치과 소아치과 수면치료 진정요법,,0.33134,0.287088,0.350475,,8,1.0,0.0,,0.0177,0.022501,0.008378
27,1323011930,장호열치과의원 대전,338,1092,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,대전수면임플란트 구강악안면외과 대전임플란트치과 월평동치과 정부청사역치과,,0.33134,0.286234,0.35041,,-1,4.0,7.0,,0.0177,0.006409,0.007163
28,11675325,훈치과의원,7,147,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.284814,0.350286,,-4,0.0,0.0,,0.0177,-0.001521,0.006565
29,19523847,노블리안치과의원 대전,790,1042,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니발치 네비게이션전체임플란트 충치크라운치료 어금니부분틀니 인비절라인치아교정과전문의,,0.331294,0.270562,0.34921,,1,-1.0,0.0,,0.0177,0.001083,0.006761
30,36477545,한병주치과의원,12,326,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,대전치아교정 대전교정치과 대전교정 한병주교정치과 대전투명교정,,0.33134,0.269866,0.349175,,1,0.0,0.0,,0.0177,0.003777,0.006965
31,13246233,예치과의원,84,486,치과,건강의료>병원>병원의원>치과>예치과,0.0,,치열교정 치아미백 턱관절치료 투명교정 소아교정,,0.331294,0.269994,0.349167,,7,0.0,1.0,,0.0177,0.021756,0.008321
32,35916194,도솔치과의원,8,200,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,주말진료 공휴일진료 일요일진료 크라운 토요일진료,,0.331294,0.26864,0.349065,,0,0.0,0.0,,0.0177,0.002602,0.006876
33,19524210,아이앤조이치과의원,14,324,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 대전어린이치과 소아교정 소아치과 영유아구강검진,,0.33134,0.268258,0.349054,,6,0.0,1.0,,0.0177,0.020833,0.008252
34,1934959825,마리플란트치과의원,379,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전서구치과 탄방동치과 탄방동임플란트 임플란트 치아교정,,0.33134,0.264731,0.348787,,-6,1.0,0.0,,0.0177,-0.010326,0.0059
35,1890282213,빈스치과의원,43,248,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,대전치과 둔산동치과 대전둔산동치과 대전보철치료 대전시청역치과,,0.33134,0.263431,0.348689,,-2,-2.0,0.0,,0.0177,-0.001583,0.00656
36,1205995997,대전로얄플란트치과의원,246,3668,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,임플란트 잇몸치료 사랑니발치 월평동치과 둔산동치과,,0.33134,0.262629,0.348629,,4,0.0,-1.0,,0.0177,0.015255,0.007831
37,21675357,미포인트치과의원,1602,513,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 치아교정 사랑니발치 충치치료 대전서구치과,,0.33134,0.262033,0.348584,,-8,9.0,2.0,,0.0177,-0.00822,0.006059
38,1027086239,바루다치과의원,160,735,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전임플란트 대전치과 임플란트전문 대전라미네이트 대전투명교정,,0.33134,0.258862,0.348344,,4,6.0,1.0,,0.0177,0.012606,0.00763
39,1376143024,올바른치과의원,93,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,관저동치과 관저동임플란트 관저동사랑니 관저동야간진료 대전무통치과,,0.33134,0.258458,0.348314,,-2,0.0,0.0,,0.0177,0.008532,0.007323
40,1230698325,정이가는 치과의원,27,53,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,심미보철 디지털임플란트 턱관절 치아미백 신경치료,,0.331294,0.251288,0.347755,,4,5.0,4.0,,0.0177,0.008948,0.007354
41,12805384,클래스원치과의원,230,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,치아교정 돌출 주걱턱 수술교정,,0.331294,0.245862,0.347346,,-5,0.0,1.0,,0.0177,-0.004591,0.006333
42,13516988,둔산유디치과의원,11,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,임플란트 충치치료 스케일링 치아미백 대전둔산동치과,,0.33134,0.245597,0.347343,,-7,0.0,2.0,,0.0177,-0.007293,0.006129
43,1966247988,바른길치과의원 대전,456,405,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,대전라미네이트 대전무삭제라미네이트 탄방동치과 대전충치치료 대전투명교정,,0.33134,0.244895,0.34729,,-2,0.0,0.0,,0.0177,-0.001851,0.006539
44,12046258,개구장이치과의원,3,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,대전소아치과 대전어린이치과 둔산동소아치과 둔산동어린이치과 소아치과,,0.33134,0.243678,0.347198,,6,0.0,0.0,,0.0177,0.009585,0.007402
45,11665654,시카고치과의원 대전둔산,696,550,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 둔산동치과 대전교정치과 대전치아교정 대전임플란트,,0.33134,0.240445,0.346954,,-2,-17.0,5.0,,0.0177,-0.005081,0.006296
46,1500107065,대전퍼스트치과의원,693,364,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,대전임플란트 둔산임플란트치과 대전치과 대전시청역치과 충남치과,,0.33134,0.239248,0.346864,,3,1.0,-1.0,,0.0177,0.004643,0.00703
47,36407067,서울오라클치과교정과 치과의원,136,518,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,대전치아교정 대전교정치과 대전턱관절 대전교정 대전스케일링,,0.33134,0.238832,0.346833,Hot,10,0.0,2.0,,0.0177,0.012368,0.007613
48,33926345,복수이안치과의원,9,191,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,디지털임플란트 에어스켈링 원데이신경치료 플라젠치주치료 3D스캔,,0.331294,0.238135,0.346763,Hot,17,0.0,0.0,,0.0177,0.021826,0.008327
49,1802424061,김재진구강악안면외과치과의원,4,71,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 임플란트 턱관절 상악동뼈이식,,0.331294,0.237992,0.346752,Hot,11,0.0,0.0,,0.0177,0.013359,0.007688
50,11889029,디에르치과의원 대전둔산점,137,422,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,대전틀니 수면마취치과 전체임플란트 풀아치임플란트 무삭제라미네이트,,0.33134,0.237654,0.346744,,-4,0.0,2.0,,0.0177,-0.00289,0.006462
