place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1480804216,서울준플란트치과의원 전주,2040,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,전주치아교정치과 전주매복사랑니발치 전주턱관절치과 전주수면임플란트 틀니보철심미치료,,0.33134,0.485777,0.350376,,0,-,-,,-,-,-
2,1219223878,아이브치과의원,1174,366,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 에코시티치과 전주임플란트 전주사랑니 전주충치치료,,0.33134,0.424059,0.345718,,0,-,-,,-,-,-
3,1597353311,서울에스치과의원 전주점,1185,383,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주임플란트 인후동치과 전주임플란트치과 전주서울에스치과,,0.33134,0.41241,0.344839,,0,-,-,,-,-,-
4,1188895153,에코꾸러기소아치과의원,15,558,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 영유아구강검진 소아치과전문의 어린이치아교정 인비절라인,,0.33134,0.302693,0.336558,,0,-,-,,-,-,-
5,1243992947,미소하나 치과교정과 치과의원,13,167,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 전주에코시티치과 전주송천동치아교정 전주교정치과 성인교정,,0.33134,0.288596,0.335494,,0,-,-,,-,-,-
6,13266097,이바르게치과교정과치과의원,9,191,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,전주치과 전주치아교정 전주인비절라인 전주신시가지치과 전주교정치과,,0.33134,0.286296,0.335321,,0,-,-,,-,-,-
7,1102095525,혁신꿈소아치과의원,9,97,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주어린이치과 전주혁신어린이치과 전주소아치과 전주혁신소아치과 전주교정치과,,0.33134,0.280799,0.334906,,0,-,-,,-,-,-
8,1555577600,탑클래스치과의원,46,1293,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,전주치과 전주송천동치과 전주에코시티치과 전주어린이치과 전주임플란트,,0.33134,0.278394,0.334724,,0,-,-,,-,-,-
9,35488253,따뜻한정치과의원,15,1071,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,송천동치과 송천동 전주치과 송천동소아치과 전주소아치과,,0.33134,0.277606,0.334665,,0,-,-,,-,-,-
10,13018351,바른턱코앞구강내과치과의원,35,355,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,전주치과 전주임플란트 전주턱관절 전주코골이 구강내과전문의,,0.33134,0.271645,0.334215,,0,-,-,,-,-,-
11,1410195543,에코천그루치과의원,6,436,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주송천동치과 전주에코시티치과 전주사랑니발치 전주충치치료 전주치아미백,,0.33134,0.258757,0.333242,,0,-,-,,-,-,-
12,37053066,스마트치과의원,89,326,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,전주치과 전주임플란트 전주만성동치과 전주사랑니발치 전주소아치과,,0.33134,0.256413,0.333065,,0,-,-,,-,-,-
13,36932102,박앤박치과,7,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.252059,0.332719,,0,-,-,,-,-,-
14,20673554,네오치과의원,4,473,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,치과 임플란트 교정 보철,,0.33134,0.251322,0.332681,,0,-,-,,-,-,-
15,1658242212,서울에코치과의원 전주에코시티,1,448,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,에코시티치과 송천동치과 에코시티임플란트 서울에코치과 전주송천동치과,,0.33134,0.244706,0.332182,,0,-,-,,-,-,-
16,1812833143,스마일센텀치과의원 전주,50,280,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,네비게이션임플란트 전체틀니 매복사랑니발치 심미보철치료 충치치아신경치료,,0.331294,0.241794,0.331945,,0,-,-,,-,-,-
17,920075536,이노탑치과의원,12,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,전주혁신도시치과 전주신시가지치과 전주만성지구전주임플란트 뼈이식임플란트 사랑니충치,,0.33134,0.232496,0.33126,,0,-,-,,-,-,-
18,1634899221,고은치과의원,10,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,치과,,0.33134,0.232214,0.331239,,0,-,-,,-,-,-
19,1127335589,온유치과의원,56,217,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,만성동치과 보존과전문의 만성동신경치료 만성동충치치료 만성동임플란트,,0.33134,0.231324,0.331172,,0,-,-,,-,-,-
20,2078351493,자인치과의원,7,8,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 일요일치과 인후동치과 전주임플란트 전주야간치과,,0.33134,0.229594,0.331041,,0,-,-,,-,-,-
21,1640427777,더편한치과의원,4,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,전주치과 에코시티치과 전주임플란트 전주에코시티치과 송천동치과,,0.33134,0.228064,0.330926,,0,-,-,,-,-,-
22,1393923245,리더스엘치과의원,116,180,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,에코시티치과 전주치과 에코시티교정치과 전주교정치과 전주임플란트,,0.33134,0.226762,0.330827,,0,-,-,,-,-,-
23,13265691,나누리치과의원,3,247,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.224092,0.330609,,0,-,-,,-,-,-
24,35947380,큐치과의원,58,417,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.223512,0.330565,,0,-,-,,-,-,-
25,11721128,미소진치과의원,24,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 사랑니발치 틀니 잇몸치료,,0.331294,0.2221,0.330458,,0,-,-,,-,-,-
26,21651970,예담은치과의원,10,760,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무절개임플란트 발치당일임플란트 치아교정 치아미백 매복사랑니발치,,0.331294,0.221736,0.330431,,0,-,-,,-,-,-
27,1716606456,미소찬치과의원,70,170,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 치아교정 스켈링 사랑니,,0.33134,0.219931,0.330312,,0,-,-,,-,-,-
28,13265977,화이트치과의원,5,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,,,0.331294,0.217918,0.330143,,0,-,-,,-,-,-
29,19867151,위드치과의원,4,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,인후동치과 안골치과 인후동임플란트 임플란트 스켈링,,0.33134,0.215652,0.329989,,0,-,-,,-,-,-
30,13265939,최용성치과교정과치과의원,2,272,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,,,0.331294,0.21534,0.329948,,0,-,-,,-,-,-
31,35848135,바른이치과의원,2,159,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,교정 치아교정 교정치과 바른이_교정 전주교정전문의,,0.33134,0.214913,0.329933,,0,-,-,,-,-,-
32,1270018998,전주에스치과의원,2,113,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,임플란트 전주치과 치과소개 양심치과 친절한치과,,0.33134,0.211895,0.329705,,0,-,-,,-,-,-
33,2074721394,해성치과의원,7,18,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 신경치료 보철치료 사랑니발치 치과,,0.33134,0.210512,0.329601,,0,-,-,,-,-,-
34,1772428825,차플란트치과의원,0,172,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,치과 구강외과 차플란트 임플란트 송천동치과,,0.33134,0.210089,0.329569,,0,-,-,,-,-,-
35,1448147337,새봄치과의원,104,341,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,만성동치과 전주보존과전문의 만성동영유아구강검진 만성동충치치료 전주새봄치과,,0.33134,0.207131,0.329346,,0,-,-,,-,-,-
36,1128633712,조은에스치과의원,2,245,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,임플란트 전주치과 조은에스치과,,0.33134,0.20621,0.329276,,0,-,-,,-,-,-
37,1395357092,탑플랜트치과의원,424,282,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주반월동치과 전주임플란트 전주치과야간진료 전주사랑니발치,,0.33134,0.205681,0.329236,,0,-,-,,-,-,-
38,13265588,제일치과의원,16,126,치과,건강의료>병원>병원의원>치과>치과-일반,4.12,,인후동치과 전주임플란트 전주치과 전주제일치과 임플란트,,0.33134,0.204196,0.329124,,0,-,-,,-,-,-
39,11682975,아름다운치과의원,2,162,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.202839,0.329005,,0,-,-,,-,-,-
