place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,35685049,창동탑치과의원,442,138,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,창동치과 창동역치과 임플란트 자연치아살리기 도봉구치과,,0.33134,0.422544,0.35466,,0,0.0,0.0,,0.0177,0.021497,0.008302
2,13517680,서울 리즈치과의원,690,1011,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,방학동치과 방학역치과 도봉구치과 도봉예치과 방학역임플란트,,0.33134,0.390279,0.352225,,1,0.0,1.0,,0.0177,0.006291,0.007154
3,1521617173,더편한플란트치과의원,419,374,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,도봉구치과 임플란트 치아교정 신경치료 창동치과,,0.33134,0.362752,0.350147,,5,108.0,7.0,,0.0177,0.075421,0.012371
4,1279028439,온아치과의원,665,1350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,도봉구치과 창동치과 창동임플란트 일요일진료 사랑니발치,,0.33134,0.362615,0.350137,,0,59.0,10.0,,0.0177,-0.016033,0.005469
5,1362748220,서울브라이튼치과의원,1122,113,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창동치과 창동역치과 도봉구치과 도봉구임플란트,,0.33134,0.358432,0.349821,,-3,21.0,1.0,,0.0177,-0.037279,0.003866
6,12872610,서울하이안치과의원 쌍문점,567,1666,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,사랑니 신경치료 쌍문동치과 쌍문교정치과 쌍문임플란트,,0.33134,0.307428,0.345972,,0,1.0,8.0,,0.0177,0.001711,0.006809
7,1017229938,서울미담치과의원,153,250,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,방학동치과 도봉구치과 쌍문동치과 방학역치과,,0.33134,0.300066,0.345416,,2,48.0,2.0,,0.0177,0.024611,0.008536
8,20372979,로덴성문치과병원,682,118,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,쌍문동치과 창동역치과 도봉구치과 쌍문역치과 쌍문치과,,0.33134,0.297977,0.345259,,-1,22.0,1.0,,0.0177,0.00311,0.006914
9,1894693879,강북감동치과의원,169,209,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,쌍문역치과 쌍문동앞니레진 도봉구임플란트 사랑니발치 신경치료,,0.33134,0.287791,0.34449,,-4,1.0,1.0,,0.0177,-0.032276,0.004244
10,11880667,연세키즈몽치과의원,28,460,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,소아치과 어린이치과 키즈치과 영유아구강검진 어린이충치,,0.33134,0.280987,0.343976,,0,0.0,2.0,,0.0177,0.007792,0.007267
11,1139287978,서울대인치과의원,322,476,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,창동역치과 창동치과 창동임플란트 쌍문역치과 임플란트전문,,0.33134,0.269348,0.343098,,0,0.0,0.0,,0.0177,0.006927,0.007202
12,647299040,서울스마트치과의원,91,481,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,쌍문역치과 쌍문치과 수면임플란트 치아교정 전문의진료,,0.33134,0.256665,0.342141,,1,1.0,1.0,,0.0177,0.005889,0.007124
13,12071622,강북다인치과의원,632,1430,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,쌍문역치과 쌍문역치아교정 쌍문역임플란트 쌍문동치과 창동치과,,0.33134,0.255953,0.342087,,-1,-1.0,7.0,,0.0177,-0.000137,0.006669
14,19530882,연세위드치과의원,18,254,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.249054,0.341549,,0,0.0,0.0,,0.0177,0.000536,0.00672
15,1096508131,민치과의원,2,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,구강악안면외과 치과보철과 치과보존과 치주과 소아치과,,0.33134,0.241746,0.341015,,5,0.0,0.0,,0.0177,0.014999,0.007812
16,13225420,무아치과교정과치과의원,425,157,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,도봉구치과 창동교정치과 쌍문역치과 수유치과 노원교정치과,,0.33134,0.236954,0.340653,,-1,-17.0,1.0,,0.0177,-0.006118,0.006217
17,259629242,서울클리어치과교정과치과의원,253,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,소아교정 투명교정 치과교정과전문의 창동인비절라인 서울대전문의,,0.33134,0.234533,0.34047,,0,2.0,0.0,,0.0177,0.003389,0.006935
18,1483384676,서울고마운치과의원,1,76,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 잇몸치료 임플란트,,0.331294,0.226355,0.339836,,3,0.0,0.0,,0.0177,0.002793,0.00689
19,21033632,연세수치과의원,381,684,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,임플란트 신경치료 창동역치과 보험틀니 창동치과,,0.33134,0.223775,0.339659,,-3,163.0,1.0,,0.0177,-0.014312,0.0056
