place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1278130668,연세바른치과의원 안양범계,3932,841,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,안양치과 안양치아교정치과 안양매복사랑니발치 안양틀니보철심미치료 안양고난이도임플란트,,0.33134,0.498919,0.351368,,0,334.0,2.0,,0.0177,-0.006851,0.006163
2,1100485151,서울단꿈치과의원 안양,4221,340,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양사랑니발치 수면치과 안양임플란트 안양라미네이트,,0.33134,0.483519,0.350205,,2,243.0,2.0,,0.0177,0.02278,0.008398
3,1804316377,서울베스트치과의원 안양,3205,311,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양수면임플란트 범계역심미치료라미네이트 범계사랑니발치치과 안양인비절라인투명교정,,0.33134,0.482623,0.350138,,-1,355.0,1.0,,0.0177,-0.007718,0.006097
4,13277686,범계유디치과의원,2563,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,범계치과 충치치료 임플란트 턱관절 잇몸치료,,0.33134,0.476371,0.349666,,1,528.0,3.0,,0.0177,0.016111,0.007895
5,13127025,호산나치과의원 범계점,1977,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,범계치아교정 안양인비절라인 범계교정치과 범계교정 범계역치과,,0.33134,0.465883,0.348874,,-2,272.0,1.0,,0.0177,0.002625,0.006877
6,1853823687,평촌이생각치과의원 안양,1977,1264,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양평촌치과 안양임플란트 안양사랑니발치 안양라미네이트 안양치아교정,,0.33134,0.460034,0.348433,,3,34.0,13.0,,0.0177,0.025748,0.008623
7,1281982965,늘공감치과의원 안양,2217,690,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 사랑니발치 충치치료 심미보철 안양임플란트,,0.33134,0.453116,0.347911,,5,2.0,6.0,,0.0177,0.032233,0.009112
8,31825180,서울스마트치과의원 안양인덕원,2686,444,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,안양치과 인덕원치과 인덕원역치과 광양동치과 인덕원교정치과,,0.33134,0.44479,0.347282,,-1,49.0,1.0,,0.0177,0.009747,0.007415
9,1246504255,서울연세치과의원 안양,2682,598,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,안양치과 비산동치과 임플란트 치아교정 사랑니발치,,0.33134,0.438483,0.346806,,-3,127.0,2.0,,0.0177,-0.017619,0.005349
10,1318902982,정성치과의원 안양,2822,884,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,안양치과 안양임플란트 안양치아교정 안양사랑니 안양턱관절,,0.33134,0.433361,0.34642,,0,118.0,5.0,,0.0177,0.008327,0.007308
11,1033935887,리드온치과의원 안양범계,3951,531,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 범계역치과 뼈이식임플란트 잇몸스케일링 심미보철치료,,0.33134,0.42605,0.345868,,-3,-5.0,2.0,,0.0177,-0.008838,0.006012
12,1575361320,연세메인치과의원 안양,1290,939,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,안양치과 안양임플란트 안양치아교정 안양수면치과 평촌수면치과,,0.33134,0.410628,0.344704,,1,6.0,2.0,,0.0177,-0.004848,0.006313
13,1345956267,스마트하루치과의원,3021,417,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,범계역치과 안양치과 범계임플란트 안양임플란트 범계치과,,0.33134,0.399754,0.343883,,-2,172.0,0.0,,0.0177,-0.023256,0.004924
14,21310977,호계동굿모닝치과의원 안양범계,2122,159,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,호계동치과 안양임플란트 범계심미보철 트리지아소아진료 동안구교정치료,,0.33134,0.394211,0.343465,,0,178.0,0.0,,0.0177,-0.008657,0.006026
15,1220371270,연세이굿치과의원,1117,158,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 디지털임플란트 충치 사랑니 턱관절,,0.331294,0.379627,0.342347,,0,10.0,3.0,,0.0177,-0.001421,0.006572
16,1850858288,큐플란트치과의원,1024,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경치료 고난도임플란트틀니 라미네이트미백치료 턱관절물리치료 매복사랑니발치,,0.331294,0.371443,0.341729,,0,142.0,3.0,,0.0177,0.001941,0.006825
17,1005715209,연세메인치과의원 별관,851,95,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양임플란트 안양치아교정 안양교정치과 안양사랑니발치,,0.33134,0.363578,0.341153,,0,-2.0,0.0,,0.0177,0.014141,0.007746
18,20799078,우리더블유치과의원,1092,457,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,치과 임플란트 사랑니발치 충치치료 스케일링,,0.33134,0.344474,0.339711,,3,38.0,3.0,,0.0177,0.0102,0.007449
19,1030825659,연세아이야기치과교정과치과의원,266,286,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,교정치과 인비절라인 치아교정 성장기교정 학생교정,,0.33134,0.343741,0.339656,,1,0.0,0.0,,0.0177,0.0077,0.007261
20,1076949609,올리브치과의원,193,809,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 소아치과 치아교정 충치치료 미니쉬,,0.33134,0.336452,0.339106,Hot,19,81.0,31.0,,0.0177,0.085535,0.013135
21,1709954447,턱편한사랑니치과의원,106,653,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 턱관절치과 매복사랑니전문 함치성낭종 턱관절세정술,,0.33134,0.329822,0.338606,,-2,0.0,1.0,,0.0177,-0.006463,0.006192
22,1119012048,굿초이스치과의원 평촌,834,525,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,안양치과 평촌역임플란트 관양동치과 범계치아미백 동안구충치치료,,0.33134,0.325434,0.338274,,4,-2.0,1.0,,0.0177,0.030648,0.008992
23,1395234028,평촌어린이치과의원,58,365,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평촌소아치과 안양소아치과 평촌어린이치과 안양어린이치과 어린이치과,,0.33134,0.320749,0.337921,,-1,0.0,1.0,,0.0177,0.008062,0.007288
24,21372258,서울숙면치과의원 안양범계,2675,376,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,수면임플란트 범계역치과 안양치과 범계임플란트 안양임플란트,,0.33134,0.315445,0.33752,,-6,76.0,0.0,,0.0177,-0.022657,0.004969
