place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1729766125,서울열린치과의원 이수역점,484,1103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트염증재수술 보험임플란트틀니 매복사랑니발치 수면마취치과 이수역치과,,0.33134,0.412606,0.35391,,0,28.0,11.0,,0.0177,0.007077,0.007214
2,1951028084,연세와이즈치과의원,1157,520,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 치아교정 사랑니발치 동작구치과 투명교정,,0.33134,0.341494,0.348543,,0,36.0,2.0,,0.0177,-0.002933,0.006458
3,11563165,이앤이치과교정과치과의원,41,698,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,이수역교정치과 이수역치아교정 사당동치과 이수역치과 사당교정치과,,0.33134,0.309305,0.346114,,1,0.0,0.0,,0.0177,0.004443,0.007015
4,1881953847,상도행복한아이치과의원,194,529,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,상도동치과 대방동치과 투명교정 동작구어린이치과 상도동소아치과,,0.33134,0.306053,0.345868,,4,1.0,2.0,,0.0177,0.032364,0.009122
5,13275333,보스톤청플란트치과의원,609,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,이수역치과 사당역치과 사당치과 동작구치과 이수치과,,0.33134,0.30449,0.34575,,-2,0.0,0.0,,0.0177,-0.003187,0.006439
6,1646785024,상도올빼미치과의원,105,101,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 상도동소아치과 상도동임플란트 동작구영유아구강검진 동작구아동치과주치의,,0.33134,0.291594,0.344777,,0,0.0,3.0,,0.0177,0.008029,0.007285
7,13564450,내이처럼치과병원,257,739,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,이수역치과 임플란트 교정 턱관절 자동차보험,,0.33134,0.286923,0.344424,,-2,2.0,1.0,,0.0177,-0.004398,0.006347
8,35652402,오늘하루치과의원,1446,925,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,이수역치과 네비게이션임플란트 무삭제라미네이트 충치치료 스케일링,,0.33134,0.278341,0.343777,,1,64.0,11.0,,0.0177,0.015477,0.007848
9,36912429,서울민플러스치과의원,783,951,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,무절개임플란트염증재수술 완전장애매복사랑니발치 최소무삭제라미네이트 충치신경보존잇몸소아치료 턱관절통증무통마취치과,,0.33134,0.270028,0.343149,,2,5.0,1.0,,0.0177,0.014087,0.007742
10,1517898604,율치과의원,11,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트,,0.331294,0.2643,0.3427,,-3,0.0,0.0,,0.0177,-0.009634,0.005953
11,1598473634,상도이편한치과의원,0,355,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,상도역치과 임플란트 충치_심미치료 틀니_사랑니 상도동치과,,0.33134,0.256307,0.342114,,-1,0.0,0.0,,0.0177,-0.000446,0.006646
12,11881552,더윌치과의원,550,385,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,전체임플란트클리닉전문 당일매복사랑니발치 치석스케일링건강보험 앞니지르코니아크라운보철 어금니인레이충치치료,,0.331294,0.255723,0.342052,,2,2.0,-1.0,,0.0177,0.013726,0.007715
13,13455963,이수CDC어린이치과의원,17,480,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,이수역어린이치과 사당동어린이치과 방배동어린이치과 동작구어린이치과 인비절라인교정,,0.33134,0.254715,0.341994,,2,0.0,0.0,,0.0177,0.014091,0.007743
14,1242031272,리더스진치과의원,241,613,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동작구치과 상도동치과 임플란트 심미보철 스포츠마우스피스,,0.33134,0.253012,0.341865,,4,0.0,0.0,,0.0177,0.020328,0.008213
15,13147153,페리오치과의원,1005,526,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,이수역치과 이수역임플란트 이수역치아교정 투명교정 임플란트재수술,,0.33134,0.248384,0.341516,,1,0.0,0.0,,0.0177,0.011998,0.007585
16,38676206,상도열린치과의원,6,448,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.248284,0.341491,,-3,0.0,1.0,,0.0177,0.004268,0.007001
17,13032201,좋은이웃치과의원,61,282,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,임플란트 치아교정 충치치료 잇몸치료 턱관절치료,,0.331294,0.247748,0.341451,,-5,0.0,2.0,,0.0177,-0.004467,0.006343
18,12048110,라움치과의원,12,911,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,임플란트 상도동치과 신대방삼거리역치과 전체임플란트,,0.33134,0.245997,0.341336,,-1,0.0,7.0,,0.0177,0.010946,0.007506
19,12065389,연세어린이사랑치과의원,9,241,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.24383,0.341155,,5,0.0,3.0,,0.0177,0.021691,0.008317
20,13137949,e해박난치과의원,19,158,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.239433,0.340823,Hot,12,1.0,0.0,,0.0177,0.036732,0.009452
21,821951237,서울고치과의원,10,217,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,흑석역치과 고치과의원 임플란트 서울고치과 사랑니,,0.33134,0.237334,0.340682,,4,0.0,1.0,,0.0177,0.018564,0.008081
22,21642945,연세엘라인치과의원,33,284,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,치아교정 교정 교정치과,,0.33134,0.230839,0.340192,,-3,0.0,0.0,,0.0177,0.000932,0.00675
23,11727052,따뜻한치과병원,32,239,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,장애인치과 치매환자치과진료 앞니치료 치아교정 임플란트,,0.33134,0.224852,0.33974,,5,0.0,1.0,,0.0177,0.010771,0.007492
24,13323884,자작나무치과의원,81,288,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치과 치아교정 임플란트 사랑니 치아미백,,0.33134,0.223891,0.339667,,-1,0.0,0.0,,0.0177,0.000355,0.006706
25,20464555,우리들치과의원,4,190,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.223654,0.339632,,-5,0.0,2.0,,0.0177,-0.005707,0.006249
26,1915886773,연세채움치과의원,105,208,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,레진빌드업 보존과전문의 자연치아보존 스트라우만 치과현미경,,0.33134,0.219814,0.33936,,4,0.0,1.0,,0.0177,0.015276,0.007833
27,1653550909,더자연치과의원,20,320,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,사당역치과 사당신경치료 사당임플란트 사당충치치료 사당스케일링,,0.33134,0.219777,0.339357,Hot,26,0.0,0.0,,0.0177,0.034334,0.009271
28,1021806470,어울림치과의원,180,543,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,이수역치과 사당동치과 방배동치과 이수역충치치료 동작구치과,,0.33134,0.219674,0.339349,,-7,0.0,0.0,,0.0177,-0.00834,0.00605
29,1286496835,서울더원플러스치과의원,349,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,임플란트 성인교정 소아교정 충치치료 잇몸치료,,0.331294,0.217205,0.339145,,-7,8.0,0.0,,0.0177,-0.008265,0.006055
30,20951812,호산나치과의원 서울점,26,280,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,임플란트 충치치료 심미보철 물방울레이저 스케일링,,0.331294,0.214469,0.338939,,7,0.0,1.0,,0.0177,0.016648,0.007936
31,13095514,웰플란트치과의원,7,482,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,임플란트 교정 보철 심미보철 치아성형,,0.331294,0.213945,0.338899,,-5,0.0,0.0,,0.0177,-0.002883,0.006461
32,13524879,연세자연치과의원,3,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.213566,0.338871,,-5,0.0,0.0,,0.0177,-0.001974,0.006531
