place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,328828060,바른치과의원,630,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,임플란트 충치 잇몸치료 사랑니 마산치과,,0.33134,0.382601,0.342589,,0,-,-,,-,-,-
2,901261071,모두치과의원,305,254,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,마산치과 마산임플란트 창원임플란트 댓거리치과 합성동치과,,0.33134,0.367864,0.341477,,0,-,-,,-,-,-
3,1145797347,탑연합치과교정과치과의원,175,352,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산합포구치과 치아교정 임플란트 치아미백 교정과전문의,,0.33134,0.330056,0.338623,,0,-,-,,-,-,-
4,12854144,현대치과의원,15,486,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.275863,0.334516,,0,-,-,,-,-,-
5,1456473014,하얀마음치과의원,7,247,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산임플란트 댓거리치과 해운동치과 월영동치과 마산치과,,0.33134,0.264148,0.333649,,0,-,-,,-,-,-
6,15765097,서울유민치과의원,13,329,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,월영동치과 경남대치과 마린애시앙치과 해운동치과 댓거리치과,,0.33134,0.253051,0.332811,,0,-,-,,-,-,-
7,1861773855,로이스제일치과의원,19,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,마산치과 마산임플란트 창원임플란트 합성동치과 창원치과,,0.33134,0.251058,0.332661,,0,-,-,,-,-,-
8,1093490621,보석플란트치과의원,190,353,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,마산턱관절 마산임플란트 마산사랑니 구강악안면외과전문의 창원구강외과,,0.331294,0.240391,0.331839,,0,-,-,,-,-,-
9,36341681,하이연세치과의원,20,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,하이연세치과 치과치료 경남대치과 댓거리치과 통합치의학과전문의,,0.33134,0.239638,0.331799,,0,-,-,,-,-,-
10,1870210274,좋은치과의원,86,604,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산치과 마산틀니 댓거리치과 마산임플란트 마산투명교정,,0.33134,0.235104,0.331457,,0,-,-,,-,-,-
11,37468369,스마트치과의원,2,243,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,치과 임플란트 신경치료,,0.33134,0.232686,0.331274,,0,-,-,,-,-,-
12,11715053,미래치과의원,2,157,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,,,0.331294,0.229948,0.331051,,0,-,-,,-,-,-
13,35296692,유플러스치과의원,25,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.12,,,,0.331294,0.228196,0.330918,,0,-,-,,-,-,-
14,13259202,서울미치과의원,4,304,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,마산치과,,0.33134,0.217326,0.330115,,0,-,-,,-,-,-
