place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1042201164,라이크치과의원,1842,8487,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,신촌치과 고난이도매복사랑니발치 디지털치아교정치과 틀니수면임플란트 잇몸치료이식,,0.33134,0.443859,0.389476,,0,99.0,28.0,,0.0177,-0.000648,0.00663
2,38296569,서울우리치과의원 마포,2267,338,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,마포치과 수면임플란트 치아교정 신경치료 수면치과,,0.33134,0.42383,0.387965,,0,47.0,0.0,,0.0177,0.000969,0.006753
3,20312203,한그루치과병원,2184,1495,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미세현미경신경치료 수면임플란트 인비절라인 치아교정치과 치근단절제술,,0.33134,0.406995,0.386694,,1,251.0,8.0,,0.0177,0.009653,0.007408
4,1905397705,사랑이아프니치과의원 홍대점,211,3488,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,사랑니발치치과 사랑니 사랑니발치 사랑이아프니,,0.33134,0.399404,0.386121,,2,2.0,3.0,,0.0177,0.010491,0.007471
5,1804814553,연세통합치과의원,681,784,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,공덕역치과 공덕치과 수면마취사랑니 수면마취임플란트 의식하진정법치과,,0.33134,0.390017,0.385413,,-2,36.0,5.0,,0.0177,-0.007414,0.00612
6,1017003191,연세가은치과의원,744,525,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,공덕치과 마포치과 야간진료치과 임플란트 사랑니발치,,0.33134,0.38479,0.385018,,2,16.0,1.0,,0.0177,0.010914,0.007503
7,1318433578,하루치과의원,392,236,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,공덕치과 치과임플란트 공덕역미백 치아미백 공덕임플란트,,0.33134,0.384106,0.384967,,-2,30.0,4.0,,0.0177,-0.004829,0.006315
8,11711446,연세여우치과의원 홍대점,576,1295,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,인비절라인 보험임플란트 치아교정 홍대교정 홍대임플란트,,0.331294,0.36837,0.383762,,-1,14.0,7.0,,0.0177,-0.008413,0.006045
9,36449891,연세파미에치과의원,1183,475,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,홍대치과 홍대입구역치과 치아교정 임플란트 치아미백,,0.33134,0.356062,0.38285,,0,45.0,2.0,,0.0177,0.007874,0.007274
10,1936992396,365바른약속치과의원 마포점,1773,924,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 수면임플란트 망원동투명교정 망원역치과 마포치과,,0.33134,0.347792,0.382226,,0,-4.0,6.0,,0.0177,0.004132,0.006991
11,1355312294,박성호치과의원,317,85,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,홍대치과 홍대입구역치과 재신경치료 심미보철치료 임플란트,,0.33134,0.322003,0.38028,,1,2.0,0.0,,0.0177,0.00914,0.00737
12,13402123,서울여건봉치과의원,364,1221,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,아말감교체 충치치료 시린이치과 치아살리기 치과,,0.33134,0.316127,0.379836,,-1,1.0,2.0,,0.0177,0.000357,0.006706
13,13158166,연세행복치과의원,497,278,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,공덕치과 임플란트 사랑니발치 라미네이트 심미보철,,0.33134,0.30792,0.379217,,1,49.0,0.0,,0.0177,0.004499,0.007019
14,12858055,서강플러스치과의원,516,282,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상수역치과 상수역임플란트 상수역사랑니 상수역충치치료 상수역교정,,0.33134,0.304648,0.37897,,-1,28.0,3.0,,0.0177,-0.006847,0.006163
15,1035601250,그린서울치과의원,185,309,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,그린서울치과 강창용 양심치과 충치 서울대,,0.33134,0.3017,0.378747,,1,-1.0,2.0,,0.0177,0.007854,0.007272
16,36060801,신촌다인치과병원 마포,2098,1319,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신촌치과 치아교정 수면임플란트 라미네이트 사랑니,,0.33134,0.301581,0.378738,,-1,5.0,26.0,,0.0177,-8.1e-05,0.006673
17,2001762901,365바른약속치과의원 마포점 별관,87,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 수면임플란트 망원동투명교정 마포구청역치과 망원역치과,,0.33134,0.287459,0.377672,,6,0.0,0.0,,0.0177,0.013845,0.007724
18,31583526,어린왕자치과의원,42,450,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,어린이치과 소아치과 수면치료 영유아검진 키즈치과,,0.33134,0.282409,0.377291,,3,0.0,3.0,,0.0177,0.007913,0.007276
19,1071093094,리틀스마일소아치과의원,37,92,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.276657,0.37684,,-2,0.0,0.0,,0.0177,-0.010905,0.005856
20,11639237,고운미소치과의원 신촌1호점,219,390,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,신촌교정 신촌교정전문 신촌치과 신촌치아교정 신촌교정치과,,0.33134,0.276072,0.376813,,2,1.0,0.0,,0.0177,0.00223,0.006848
21,20739110,고은이플란트치과의원,706,282,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,마포치과 마포구치과 공덕동치과 마포임플란트 신공덕동치과,,0.33134,0.273473,0.376617,,-3,4.0,2.0,,0.0177,-0.00402,0.006376
22,119755084,일등치과의원,160,1062,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,임플란트 치아교정 사랑니 스케일링 충치,,0.331294,0.271327,0.376438,,-3,0.0,2.0,,0.0177,-0.005928,0.006232
23,1971769085,앙쥬소아치과치과의원,16,562,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,마포소아치과 마포어린이치과 공덕소아치과 공덕어린이치과 소아교정치과,,0.33134,0.27096,0.376427,,4,0.0,0.0,,0.0177,0.015326,0.007836
24,1792608372,서울김진철치과의원,842,274,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,상암동치과 상암치과 상암동임플란트 마포치과 보존과전문의,,0.33134,0.266558,0.376095,,2,3.0,2.0,,0.0177,0.006241,0.00715
25,18348297,미소를만드는치과의원,21,153,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,SOOD 치아교정 예방치과 미소를만드는치과,,0.33134,0.2653,0.376,,3,0.0,1.0,,0.0177,0.010525,0.007474
26,36744841,서울제니스치과의원,349,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,임플란트 사랑니 보톡스 수면치료 치과치료,,0.33134,0.265237,0.375995,,-6,0.0,0.0,,0.0177,-0.009312,0.005976
27,12943703,스마일플란트치과의원,878,407,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신촌치과 창전동치과 광흥창역치과 홍대치과 마포치과,,0.33134,0.262711,0.375805,,-3,-1.0,8.0,,0.0177,-0.007653,0.006102
28,1578757509,연세세브란스치과의원 공덕,36,70,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 공덕역 공덕동 턱관절 서울메디케어,,0.331294,0.262298,0.375756,,5,0.0,13.0,,0.0177,0.014842,0.007799
29,11716716,연세우리아이치과의원,16,218,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,소아치과 교정치과 공덕소아치과 마포어린이치과 충치치료,,0.33134,0.257283,0.375395,,0,0.0,1.0,,0.0177,0.003743,0.006962
30,801380224,디자인스타치과의원,234,703,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,공덕역치과 치아교정치과 임플란트 소아어린이치과 마포치과,,0.33134,0.254843,0.375211,,1,0.0,0.0,,0.0177,0.003123,0.006915
