place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1056923622,으뜸원치과의원 안양,3775,932,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,라미네이트 스케일링 임플란트 사랑니발치 치아미백,,0.331294,0.526133,0.353404,,0,479.0,10.0,,0.0177,0.02216,0.008352
2,1068363755,서울다올치과의원,3596,457,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양교정치과 안양수면임플란트 안양임플란트치과 안양수면치료,,0.33134,0.482347,0.350117,,0,503.0,9.0,,0.0177,0.02781,0.008778
3,1820042764,봄별소아치과의원,502,203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양소아치과 안양치과 일요일진료 어린이교정 주말진료치과,,0.33134,0.356356,0.340608,,0,0.0,2.0,,0.0177,0.015351,0.007838
4,1359834784,안양탑치과의원,615,112,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 사랑니발치 무통마취 충치치료,,0.331294,0.347103,0.339892,,0,27.0,0.0,,0.0177,0.013228,0.007677
5,1289862096,연세365치과의원,810,118,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,무통스케일링 임플란트 치아미백 턱관절 보험치료,,0.331294,0.340543,0.339397,,0,20.0,0.0,,0.0177,0.012526,0.007624
6,347458005,닥터준 치과의원,3,171,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,메가트리아치과 메가트리아 안양임플란트 안양동치과 비산동치과,,0.33134,0.33958,0.339342,Hot,23,0.0,0.0,,0.0177,0.153737,0.018282
7,13232407,성혜치과의원,72,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.312623,0.33729,,0,-6.0,0.0,,0.0177,0.010589,0.007478
8,806883680,메가탑치과의원 안양,869,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,비산동치과 안양임플란트 안양교정 메가트리아치과 안양치과,,0.33134,0.304082,0.336663,,2,21.0,0.0,,0.0177,0.033133,0.00918
9,13232432,튼튼치과의원,75,208,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 보철치료 충치치료 잇몸치료 소아치료,,0.331294,0.296997,0.336111,,0,-8.0,0.0,,0.0177,0.025296,0.008589
10,36415682,더나은치과의원 안양,568,766,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,안양치과 범계역치과 치아교정 사랑니발치 안양임플란트,,0.33134,0.292597,0.335796,,-4,0.0,9.0,,0.0177,-0.012267,0.005754
11,1552288731,안양중앙치과의원,33,425,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,임플란트 사랑니발치 틀니 안양치과 구강외과,,0.33134,0.278246,0.334713,,-3,0.0,0.0,,0.0177,-0.006403,0.006196
12,1643021284,안양맥치과의원,244,214,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 임플란트틀니 스케일링 충치치료 턱관절,,0.331294,0.256465,0.333052,,-1,2.0,1.0,,0.0177,0.00913,0.007369
13,31699849,연세이바른치과의원,643,236,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,안양교정치과 치아교정 안양역치과 사랑니발치 충치치료,,0.33134,0.24439,0.332158,,-1,2.0,0.0,,0.0177,0.000506,0.006718
14,11559516,뉴연세치과의원,8,177,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,치과,,0.33134,0.237726,0.331655,,3,0.0,0.0,,0.0177,0.020023,0.008191
15,37299566,올바른치과의원,16,316,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 치아교정 턱관절교정 치아미백 야간진료,,0.331294,0.235725,0.331487,,0,0.0,0.0,,0.0177,0.009667,0.007409
16,11832549,미소샘치과의원,6,272,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.23526,0.331451,,-2,0.0,1.0,,0.0177,0.006225,0.007149
17,1455169354,화이트치과의원,6,220,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.232606,0.331251,,3,0.0,2.0,,0.0177,0.023753,0.008472
18,13232053,헤브론 치과의원,93,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 명학역임플란트 범계사랑니 평촌턱관절 비산동충치치료,,0.33134,0.226595,0.330815,,-2,0.0,0.0,,0.0177,0.008018,0.007285
19,13232067,새이치과의원,4,128,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.226565,0.330795,,-1,0.0,0.0,,0.0177,0.011066,0.007514
20,13108413,허브치과의원,733,380,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 틀니 임플란트 충치치료 치아미백,,0.331294,0.226271,0.330773,,-7,5.0,6.0,,0.0177,-0.008205,0.00606
21,12938803,서울수치과의원,6,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,서울수치과 안양임플란트 안양치과 안양치아교정 안양교정,,0.33134,0.206974,0.329334,,0,0.0,0.0,,0.0177,-0.000588,0.006635
22,1981838731,서초와이즈치과의원,28,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양일번가치과 미세현미경 임플란트 신경치료 안양치과,,0.33134,0.206958,0.329333,,0,1.0,0.0,,0.0177,0.004577,0.007025
23,1206380351,약속드림치과의원,119,319,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,안양치과 안양중앙시장치과 안양보험임플란트 안양동치과 만안동치과,,0.33134,0.206357,0.329287,,-4,2.0,0.0,,0.0177,-0.004527,0.006337
24,11493734,연세아이랑엄마랑치과의원,11,164,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 치아교정 심미보철 안양소아치과 안양치아교정,,0.33134,0.196246,0.328524,,1,0.0,0.0,,0.0177,0.002346,0.006856
25,37822034,원치과의원,51,143,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,임플란트 충치치료 신경치료 잇몸치료 치아살리기,,0.331294,0.193775,0.328321,,7,0.0,0.0,,0.0177,0.014354,0.007763
