place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1035729779,모두플란트치과의원 목포,199,144,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,목포치과 상동치과 임플란트 사랑니발치 충치치료,,0.33134,0.298937,0.40269,,0,1.0,7.0,,0.0177,-0.001216,0.012626
2,11782909,미르치과병원,34,1786,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,목포치과 목포임플란트 교정소아치과 충치치료 신경치료,,0.33134,0.296541,0.402509,,0,2.0,23.0,,0.0177,0.004904,0.013087
3,11545546,예닮치과병원,206,1146,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,목포치과 하당치과 목포임플란트 목포치아교정 목포소아치과,,0.33134,0.269464,0.400465,,0,0.0,1.0,,0.0177,0.004797,0.013079
4,1810431047,박성용치과의원,35,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,목포사랑니발치 목포임플란트 목포매복사랑니 전남사랑니 목퍼구강악안면외과,,0.331294,0.258271,0.399603,,0,0.0,1.0,,0.0177,-0.00533,0.012315
5,13262505,심미치과의원,6,485,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.256084,0.399438,,0,0.0,0.0,,0.0177,-0.001215,0.012625
6,1498488174,유디치과의원 목포점,37,93,치과,건강의료>병원>병원의원>치과>유디치과,4.27,,목포치과 목포임플란트 임플란트치과 목포유디치과 목포상동치과,,0.33134,0.254414,0.399329,,0,0.0,0.0,,0.0177,-0.002056,0.012562
7,1657217979,유민기한마음치과의원,44,428,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,목포치과 목포임플란트 목포사랑니발치 목포신경치료 목포야간치과,,0.33134,0.25252,0.399186,,0,1.0,5.0,,0.0177,0.006803,0.01323
8,11796232,목포예치과의원,95,437,치과,건강의료>병원>병원의원>치과>예치과,0.0,,목포치과 임플란트 치아교정 신경치료 심미보철,,0.33134,0.249248,0.39894,,1,4.0,0.0,,0.0177,0.014673,0.013825
9,1812476980,목포위드치과,1,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.248188,0.398842,,1,0.0,2.0,,0.0177,0.017028,0.014002
10,35209505,우리치과의원,10,465,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,목포우리치과 우리치과 목포치과,,0.33134,0.234547,0.39783,,1,0.0,0.0,,0.0177,0.004982,0.013093
