place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1951401500,연세오늘치과의원 주안,2994,379,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 사랑니발치 인천치과,,0.33134,0.486338,0.350418,,0,172.0,0.0,,0.0177,-0.001819,0.006542
2,1600612830,365서울앞선치과의원,2368,408,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안역치과 미추홀구치과 임플란트 주안치과 주안동치과,,0.33134,0.459419,0.348386,,0,210.0,0.0,,0.0177,0.00675,0.007188
3,1046043511,서울그랜드치과의원,2842,1028,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안치과 무삭제라미네이트 임플란트 턱관절 치아미백,,0.33134,0.40617,0.344368,,0,121.0,14.0,,0.0177,-0.0055,0.006265
4,1204671347,SNC시카고치과의원,429,662,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천미추홀구치과 인천임플란트 인천교정치과 인천치아교정 인천어린이치아교정,,0.33134,0.387647,0.34297,,3,190.0,2.0,,0.0177,0.029729,0.008923
5,37610943,서울리더스치과의원,956,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,치과 임플란트 잇몸치료 주안동치과 충치치료,,0.33134,0.380705,0.342446,,0,67.0,0.0,,0.0177,0.009015,0.00736
6,1434510156,서울바른휘치과의원,1371,669,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안동임플란트치과의원 주안치아교정치과의원 주안보철보존치료 미추홀구잇몸치료치과 미추홀구구강검진치과,,0.33134,0.36957,0.341605,,2,241.0,8.0,,0.0177,0.028011,0.008793
7,1274636395,마음플란트치과의원,1878,420,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 교정치과 주안치과,,0.33134,0.368169,0.3415,,-3,170.0,0.0,,0.0177,-0.038917,0.003743
8,19878166,연세플란트치과의원 주안,1169,347,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,주안임플란트 인천임플란트 연세플란트치과 주안역치과 주안치아교정,,0.33134,0.367263,0.341431,,-2,7.0,0.0,,0.0177,0.007822,0.007269
9,1851926616,감동e플란트치과의원,118,318,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,주안역치과 주안치과 주안동치과 임플란트 사랑니,,0.33134,0.313369,0.337364,,0,0.0,5.0,,0.0177,-0.013991,0.005624
10,1949863087,일미리치과의원,429,513,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,숭의동치과 제물포치과 임플란트 교정치과 치아교정,,0.33134,0.307732,0.336938,,6,53.0,6.0,,0.0177,0.041707,0.009827
11,11663000,디지털허브치과의원,558,674,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,디지털임플란트 디지털투명교정 매복사랑니 치아교정 자가치아뼈이식,,0.331294,0.294904,0.335953,,0,0.0,2.0,,0.0177,0.013722,0.007715
12,1165255247,유어플란트치과의원,547,393,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용현동치과 인하대역치과 미추홀구치과 용현동야간진료치과 디지털임플란트,,0.33134,0.292695,0.335804,,-2,0.0,0.0,,0.0177,-0.002726,0.006474
13,13241124,학익굿모닝치과의원,40,60,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.284666,0.33518,,-1,-3.0,0.0,,0.0177,0.011663,0.007559
14,1312637991,연세꿈꾸는아이치과의원 인천용현점,29,262,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천소아치과 인천어린이치과 미추홀구소아치과 영유아검진 소아교정,,0.33134,0.28011,0.334854,,-1,1.0,1.0,,0.0177,0.008324,0.007308
15,1131703120,서울정진키즈치과의원,91,260,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,인천키즈치과 인천어린이치과 인천소아치과 미추홀구키즈치과 도화동키즈치과,,0.33134,0.271211,0.334182,,-1,0.0,5.0,,0.0177,0.001631,0.006803
16,11593417,바른이치과교정과치과의원,419,785,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,소아교정 교정치과 치아교정 주안치과,,0.33134,0.262106,0.333495,,2,2.0,7.0,,0.0177,0.006308,0.007156
17,19533082,그랜드치과의원,87,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,주안역치과 동인천역임플란트 구월동사랑니 충치치료 틀니,,0.33134,0.261278,0.333432,,-2,-3.0,0.0,,0.0177,-0.007483,0.006114
18,36992111,서울바온치과의원,392,2226,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 교정치과 전체임플란트 충치치료 치아교정,,0.33134,0.260076,0.333342,,1,3.0,44.0,,0.0177,0.005933,0.007128
19,540394456,다온미소치과의원,489,372,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,인천용현동치과 인하대역치과 인하대치과 디지털네비게이션임플란트 투명교정,,0.33134,0.256962,0.333107,,3,1.0,1.0,,0.0177,0.010607,0.00748
20,1926051173,플란트구강악안면외과치과의원,85,379,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용현동치과 치과 임플란트 용현동 사랑니,,0.33134,0.252278,0.332753,,-3,0.0,0.0,,0.0177,-0.005322,0.006278
21,1811118851,연세세브란스치과의원,185,272,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털네비게이션임플란트 잇몸스케일링 수평매복사랑니발치 무통마취치과 턱관절통증장애스플린트치료,,0.33134,0.247197,0.33237,,0,1.0,2.0,,0.0177,-0.000637,0.006632
22,12069256,미주치과의원,295,181,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,틀니 임플란트 충치 치아교정 임플란트틀니,,0.331294,0.246763,0.33232,,6,-1.0,1.0,,0.0177,0.02183,0.008327
23,11840839,해피키즈치과의원,13,117,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면치료 소아치과 소아치과전문의 웃음가스 충치치료,,0.33134,0.243927,0.332123,,0,0.0,0.0,,0.0,0.0,0.0
24,1735591862,본정치과의원,15,501,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신경치료 사랑니발치 임플란트 용현동임플란트 토지금고시장치과,,0.33134,0.241981,0.331976,,-4,0.0,0.0,,0.0177,-0.010154,0.005913
25,161685472,서울바름치과의원,77,485,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,인하대역치과 용현동치과 인천남구치과 인하대치과 스카이뷰치과,,0.33134,0.241676,0.331953,,5,4.0,0.0,,0.0177,0.018404,0.008068
26,128731269,이사랑치과의원,6,385,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,신기시장치과 주안동치과 임플란트 보철치료 치과검진,,0.33134,0.240238,0.331844,,-2,0.0,1.0,,0.0177,0.002981,0.006904
27,1541710186,서울정진치과의원,587,1023,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,도화동임플란트 턱관절치료 자동차사고병원치과 치과수면치료 소아교정,,0.33134,0.239406,0.331782,,-4,0.0,1.0,,0.0177,-0.005469,0.006267
28,1572995024,도화더본치과의원,100,263,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,온가족치과 네비게이션임플란트상담 턱관절통증물리치료 구강검진건강보험스케일링 충치보존신경잇몸치료,,0.33134,0.236202,0.33154,,-2,0.0,11.0,,0.0177,0.000295,0.006702
29,13241161,지디스치과의원,39,266,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 소아치과 충치치료 치주잇몸치료 신경치료,,0.33134,0.232537,0.331263,Hot,28,1.0,0.0,,0.0177,0.056574,0.010949
30,1885968750,더편한치과의원,121,458,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천도화동치과 도화역치과 제물포역치과 미추홀구치과 임플란트,,0.33134,0.231504,0.331185,,-5,0.0,2.0,,0.0177,-0.004421,0.006345
31,1359889335,주안시카고치과의원,101,258,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,틀니 인레이 레진 스케일링 주안치과,,0.33134,0.228105,0.330929,,-4,0.0,1.0,,0.0177,0.000493,0.006717
32,1587020756,e즐거운치과의원,229,263,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,인천용현동치과 용현동치과 인하대치과 숭의동치과 미추홀구치과,,0.33134,0.226434,0.330803,,0,2.0,0.0,,0.0177,0.008722,0.007338
33,1115649420,퍼스트민치과의원,55,153,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,인하대역치과 용현동치과 임플란트 턱관절장애 신경치료,,0.33134,0.222028,0.33047,,-4,0.0,3.0,,0.0177,-0.002483,0.006492
34,32473055,용현탑치과의원,14,256,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.220121,0.330309,,1,0.0,0.0,,0.0177,0.007207,0.007223
35,1237993881,임플라인치과의원,89,223,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미추홀구치과 숭의동치과 용현동치과 도원동치과 인하대역치과,,0.33134,0.218541,0.330207,,-1,1.0,6.0,,0.0177,0.002543,0.006871
36,13241144,상쾌한이치과의원,1,172,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.216335,0.330023,,5,0.0,4.0,,0.0177,0.017412,0.007993
37,1223112739,서울원치과의원,53,47,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안3동치과 파크자이치과 주안3동임플란트 주안동임플란트 주안치과,,0.33134,0.215366,0.329967,,1,0.0,1.0,,0.0177,0.013802,0.007721
38,1194355795,도화플러스치과의원,254,208,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,도화동_치과 인천_도화동_치과 도화플러스치과 미추홀구임플란트 도화동임플란트,,0.33134,0.212836,0.329776,,-5,0.0,0.0,,0.0177,-0.003938,0.006382
39,36171016,바른플란트치과의원,147,343,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트 재수술 디지털임플란트 사랑니,,0.331294,0.211783,0.32968,,-2,0.0,0.0,,0.0177,0.006872,0.007198
40,31107934,보인미소치과의원,14,221,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,주안치과 석바위치과 석바위교정 석바위임플란트 석바위시장역치과,,0.33134,0.210884,0.329629,,9,0.0,0.0,,0.0177,0.020204,0.008204
41,13238897,박병석치과의원,0,239,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,임플란트 크라운 스케일링 잇몸치료 틀니,,0.331294,0.205651,0.329217,Hot,19,0.0,1.0,,0.0177,0.031652,0.009068
42,20697865,지디치과의원,3,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,인천치과 간석동치과 간석역임플란트 간석역심미보철 주안동치과,,0.33134,0.203262,0.329054,,-2,0.0,1.0,,0.0177,0.003669,0.006956
43,36266638,서울본치과의원,155,160,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서울본치과 치과 인천치과 주안치과 주안동치과,,0.33134,0.201796,0.328943,,5,1.0,2.0,,0.0177,0.011063,0.007514
44,19530255,함께하는치과의원,9,112,치과,건강의료>병원>병원의원>치과>치과-일반,4.11,,문학동치과 문학동임플란트 학익동치과 구월동치과,,0.33134,0.198004,0.328657,,8,0.0,0.0,,0.0177,0.011856,0.007574
45,1621373822,행복드림치과의원,2,221,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,행복드림 간석치과 주안치과 주안임플란트 간석임플란트,,0.33134,0.197208,0.328597,,-3,0.0,0.0,,0.0177,-0.001434,0.006571
46,1296252947,이편한치과의원,2,152,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정 사랑니발치,,0.331294,0.194274,0.328358,,8,0.0,-9.0,,0.0177,0.013614,0.007707
47,19520984,서울함께웃는치과,0,149,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,,,0.331294,0.194214,0.328354,,-8,0.0,0.0,,0.0177,-0.006745,0.006171
