place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1431388772,청담현치과의원,2,43,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정 심미보철 소아치과 보은치과,,0.33134,0.189709,0.328031,,0,-,-,,-,-,-
2,1466094037,서울하치과,1,48,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,,,0.331294,0.174428,0.32686,,0,-,-,,-,-,-
3,20149924,보은연합치과의원,1,115,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,,,0.331294,0.165364,0.326176,,0,-,-,,-,-,-
4,33329094,미소치과의원,0,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.164679,0.326125,,0,-,-,,-,-,-
5,13248440,송정호치과의원,1,17,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.157428,0.325577,,0,-,-,,-,-,-
6,19515311,명성치과의원,0,43,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,,,0.331294,0.136379,0.323989,,0,-,-,,-,-,-
7,12025755,월드치과의원,2,143,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,신해운대역치과 해운대치과 해운대임플란트 임플란트치과 치과,,0.341335,0.187594,0.317574,,0,-,-,,-,-,-
8,13256880,보은치과의원,2,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.341289,0.137248,0.309521,,0,-,-,,-,-,-
9,11668053,보은군보건소,17,63,보건소,건강의료>병원>보건소>보건소-일반,4.17,,,,0.0,0.253743,0.20783,,0,-,-,,-,-,-
10,1736715289,청주퍼스트 치과의원,448,1013,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주수면임플란트 청주치아교정 청주임플란트 청주치과 청주인비절라인,,0.33134,0.422126,0.156893,,0,-,-,,-,-,-
11,1981487593,가인치과의원,415,277,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 동남지구치과 임플란트 야간진료 주말진료,,0.33134,0.396763,0.154978,,0,-,-,,-,-,-
12,1975413838,이해유치과의원,342,203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주임플란트 매복사랑니발치 잇몸충치신경치료 구강외과전문의 수면임플란트,,0.331294,0.349815,0.151418,,0,-,-,,-,-,-
13,1873152723,하임꾸러기치과의원,51,304,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,청주어린이치과 동남지구어린이치과 청주소아치과 용암동어린이치과 청주하임꾸러기,,0.33134,0.334229,0.150259,,0,-,-,,-,-,-
