place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13250978,참좋은치과의원,1041,427,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전체임플란트 임플란트틀니 사랑니발치 충치신경보철치료 치주보존잇몸질환치료,,0.331294,0.397293,0.358775,,0,-,-,,-,-,-
2,1715690225,대명치과의원 대연점,1132,463,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,대연동치과 부산임플란트 대연동임플란트 부산남구치과 부산치주과전문의,,0.33134,0.390182,0.358255,,0,-,-,,-,-,-
3,1201116357,메디스치과의원 경성대,777,757,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,경성대치과 부산남구치과 대연동임플란트 대연동치과 부산전체임플란트,,0.33134,0.385945,0.357936,,0,-,-,,-,-,-
4,1707786996,명인이플란트치과의원,727,511,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,대연동치과 대연동임플란트 대연역치과 대연치과 대연동사랑니,,0.33134,0.372082,0.356889,,0,-,-,,-,-,-
5,1002220189,대연숲치과의원,401,67,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,보험임플란트재수술 충치신경치료 치주잇몸질환 원데이앞니치료 라미네이트,,0.331294,0.371149,0.356802,,0,-,-,,-,-,-
6,36859833,미소플란트치과의원,657,899,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,네비게이션임플란트 사랑니당일발치 충치치료 치아미백 당일임플란트,,0.331294,0.34776,0.355036,,0,-,-,,-,-,-
7,1490039480,대연건치과의원,418,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,대연동치과 대연동임프란트 대연역치과 대연치과 대연동사랑니,,0.33134,0.306691,0.351954,,0,-,-,,-,-,-
8,13428403,이금랑어린이치과의원,24,647,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,부산어린이치과,,0.33134,0.300907,0.351518,,0,-,-,,-,-,-
9,34872067,장원석치과의원,699,226,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,대연동치과 매복사랑니발치 전체임플란트 치아미백 턱관절,,0.33134,0.296338,0.351173,,0,-,-,,-,-,-
10,1388975610,대연어린이치과의원,28,1113,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,대연동어린이치과 문현동어린이치과 남천동어린이치과 부산어린이치과 수영어린이치과,,0.33134,0.266007,0.348884,,0,-,-,,-,-,-
11,1080777512,용호큰치과의원,19,123,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미백 소아치과 턱관절 임플란트 스케일링,,0.33134,0.257866,0.348269,,0,-,-,,-,-,-
12,11577141,오즈어린이치과의원,297,389,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,어린이치과 영유아구강검진 대연동어린이치과 어린이교정 크라운,,0.33134,0.255094,0.34806,,0,-,-,,-,-,-
13,12048562,도시치과의원,6,412,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.252017,0.347811,,0,-,-,,-,-,-
14,35702911,더바른이치과의원,2,648,치과,건강의료>병원>병원의원>치과>치과-일반,4.96,,부산치아교정 부산교정치과 경성대교정치과 경성대치아교정 부산교정,,0.33134,0.249683,0.347652,,0,-,-,,-,-,-
15,36028972,해미인치과교정과치과의원,365,400,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,치아교정 임플란트 치아미백 해미인치과교정과치과 경성대치과,,0.33134,0.246979,0.347448,,0,-,-,,-,-,-
16,49118272,시온치과의원 대연점,81,548,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,대연동치과 대연역치과 대연역사거리치과 당일진료 임플란트,,0.33134,0.240975,0.346994,,0,-,-,,-,-,-
17,1050469552,바른얼굴덕치과의원,177,159,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,부산턱관절 부산턱관절병원 부산턱관절치료 부산안면비대칭 바른얼굴턱치과,,0.33134,0.238098,0.346777,,0,-,-,,-,-,-
18,13313095,로덴치과의원,7,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,임플란트 치아미백 심미보철 용호동치과 부산용호동치과,,0.33134,0.2377,0.346747,,0,-,-,,-,-,-
19,1158438200,편안한민치과의원,57,187,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,대연동치과 대연동임플란트 못골역치과 대연역치과 대연역임플란트,,0.33134,0.231699,0.346294,,0,-,-,,-,-,-
20,1941835522,오아시스치과의원,229,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,임플란트 용호동치과 디지털임플란트 턱관절 용호동힐탑치과,,0.33134,0.230733,0.346221,,0,-,-,,-,-,-
21,1259450895,레진치과의원,440,353,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산사랑니 부산임플란트 용호동치과 부산남구치과 레진빌드업,,0.33134,0.230561,0.346208,,0,-,-,,-,-,-
22,36283410,e라인치과의원,8,131,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,경성대교정치과 해운대교정치과 부산교정치과 부산교정전문의 부산치아교정,,0.33134,0.23032,0.34619,,0,-,-,,-,-,-
23,1792967759,로운치과의원 부산,119,404,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용호동치과 남구임플란트 충치치료 잇몸치료 스케일링,,0.33134,0.229864,0.346156,,0,-,-,,-,-,-
24,30820053,성소치과의원,50,302,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,치과 어린이치과 임플란트 소아교정 성소병원,,0.33134,0.227981,0.346014,,0,-,-,,-,-,-
25,1071981958,하이미소치과의원,4,40,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 교정 용호동치과 부산교정 교정치과,,0.33134,0.225942,0.34586,,0,-,-,,-,-,-
26,34666229,심플치과의원,33,352,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,경성대치과 대연동치과 경성대임플란트 대연동임플란트 대연동심미치료,,0.33134,0.225534,0.345829,,0,-,-,,-,-,-
27,13251122,새로운치과의원,3,410,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,,,0.331294,0.222395,0.345575,,0,-,-,,-,-,-
28,21543911,부산샬롬치과의원,3,728,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,치과 임플란트 치아미백,,0.33134,0.216642,0.345158,,0,-,-,,-,-,-
29,1903944731,이곳치과의원,347,89,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,못골치과 못골역치과 경성대치과 대연동치과 부산임플란트,,0.33134,0.215197,0.345049,,0,-,-,,-,-,-
30,1580071840,이좋은45치과의원,317,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,부산_대연동_임플란트_치과 디오_오스템_지르코니아_잘,,0.33134,0.214851,0.345023,,0,-,-,,-,-,-
31,1862799355,우리가족치과의원,70,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,용호동치과 남구치과 용호동우리가족치과 용호동임플란트 남구임플란트,,0.33134,0.211328,0.344757,,0,-,-,,-,-,-
32,1965085251,그랜드치과의원,69,415,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,임플란트 용호동치과 전체임플란트 수면임플란트 보철진료,,0.33134,0.210527,0.344696,,0,-,-,,-,-,-
33,11704841,다솜부부치과의원,5,175,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.209153,0.344576,,0,-,-,,-,-,-
34,1856080582,나란이 치과교정과 치과의원,4,31,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,용호동_치아교정 부산_남구_교정 부산_교정치과 부산_치아교정 부산_교정전문의,,0.33134,0.203022,0.34413,,0,-,-,,-,-,-
35,886569814,우리들40플란트치과병원,18,223,치과,건강의료>병원>병원의원>치과>치과-일반,4.02,,범전동치과 범일동치과 부산금융센터치과 부전동치과 범일동사랑니,,0.33134,0.202753,0.34411,,0,-,-,,-,-,-
36,1314310401,뷰티플란트치과의원,263,228,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 사랑니발치 충치치료 잇몸치료,,0.331294,0.201396,0.34399,,0,-,-,,-,-,-
37,36560905,로덴치과의원 경성대부경대점,195,361,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,치아교정 치아미백 심미치료 임플란트 충치치료,,0.331294,0.198533,0.343774,,0,-,-,,-,-,-
38,36797048,미듬치과의원,42,151,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용호동임플란트 용호동치아교정 용호동턱관절 용호동치과 용호동틀니,,0.33134,0.197981,0.34375,,0,-,-,,-,-,-
39,1515345189,닥터뉴욕치과의원,12,31,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대연동치과 부산임플란트치과 부산닥터뉴욕치과 임플란트뼈이식 뼈재생,,0.33134,0.196152,0.343612,,0,-,-,,-,-,-
40,1884626371,삐뚤한이바르게치과 교정과치과의원,237,106,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,경성대교정치과 경성대치아교정 부산교정전문의 부산치과교정과 앞니부분교정,,0.33134,0.196143,0.343611,,0,-,-,,-,-,-
41,13251192,해바라기치과의원,1,129,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.194368,0.34346,,0,-,-,,-,-,-
42,1930605525,닥터안치과의원,4,139,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용호동치과 충치치료 임플란트 스켈링 치주치료,,0.33134,0.192175,0.343311,,0,-,-,,-,-,-
43,13251144,전치과의원,1,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.191461,0.34324,,0,-,-,,-,-,-
44,31699923,서울프라임치과의원,1,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.19053,0.34317,,0,-,-,,-,-,-
45,1698191198,디지털닥터정치과의원,12,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,용호동치과 심미보철 W스퀘어 네비게이션임플란트 치아미백,,0.33134,0.190071,0.343153,,0,-,-,,-,-,-
46,13251018,W치과의원,5,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,당일치료 더블유치과,,0.33134,0.189791,0.343131,,0,-,-,,-,-,-
47,35564756,크리스탈치과의원,183,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,크리스탈치과 대연동치과 경성대치과 대연동임플란트 대연동레진치료,,0.33134,0.186804,0.342906,,0,-,-,,-,-,-
48,13251092,수부부치과의원,2,175,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.185362,0.34278,,0,-,-,,-,-,-
49,1252914483,용호탑치과의원,81,81,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용호동임플란트 용호동보험틀니 용호동사랑니 용호동스케일링 부산남구틀니수리,,0.331294,0.182531,0.342566,,0,-,-,,-,-,-
50,11599282,미치과,1,37,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.331294,0.178838,0.342288,,0,-,-,,-,-,-
