place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1593708063,덕천38플란트치과의원 부산 덕천,1469,349,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산덕천치과 전체임플란트 매복사랑니발치 잇몸치료 보존치료,,0.33134,0.440523,0.362055,,0,-,-,,-,-,-
2,11819812,리더스치과의원 덕천,1694,140,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,덕천치과 덕천동치과 수면치료 화명동치과 덕천임플란트,,0.33134,0.391369,0.358345,,0,-,-,,-,-,-
3,1562950128,덕천퍼스트치과의원,1149,178,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 야간진료 덕천동치과 덕천동임플란트,,0.33134,0.376292,0.357207,,0,-,-,,-,-,-
4,11539118,이앤미치과병원,124,1289,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,화명동치과 화명동내과 치과치료 사랑니발치 화명동임플란트,,0.33134,0.347607,0.355042,,0,-,-,,-,-,-
5,11815218,굿윌치과병원 덕천,397,2431,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,덕천치과 덕천임플란트 덕천치아교정 부산야간진료치과 덕천동치과,,0.33134,0.344934,0.35484,,0,-,-,,-,-,-
6,1022188628,화이트이치과의원 덕천,307,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치과 덕천치과 덕천역치과 덕천임플란트 덕천동치과,,0.33134,0.336066,0.354171,,0,-,-,,-,-,-
7,13006264,화명어린이치과의원,14,464,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.281461,0.350033,,0,-,-,,-,-,-
8,458524569,서울바른치과교정과치과의원,847,420,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,부산치과 부산치아교정 부산교정치과 부산교정 서울바른치과,,0.33134,0.278121,0.349798,,0,-,-,,-,-,-
9,12884140,미소를만드는치과의원,773,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치아교정 교정치과 부산치아교정 덕천치아교정 덕천교정치과,,0.33134,0.269573,0.349153,,0,-,-,,-,-,-
10,20570881,예쁜미소바른이치과의원,29,494,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,예바치과교정과 교정치과 교정전문 치아교정 치과,,0.33134,0.26786,0.349023,,0,-,-,,-,-,-
11,1960551269,덕천어린이치과의원,1,253,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영유아구강검진 어린이충치치료 소아치과 어린이치과 덕천어린이치과,,0.33134,0.266197,0.348898,,0,-,-,,-,-,-
12,31222475,굿윌주니어치과의원,37,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,덕천어린이치과 영유아구강검진 소아치과 어린이충치치료 굿윌어린이치과,,0.33134,0.263943,0.348728,,0,-,-,,-,-,-
13,19513906,연세비앤이치과의원,1024,1096,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,화명동치과 율리충치치료 부산전체임플란트 수정역오스템임플란트 부산북구틀니,,0.33134,0.259596,0.3484,,0,-,-,,-,-,-
14,32430354,타임치과의원,656,325,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,화명동사랑니 덕천동사랑니 부산사랑니 화명동임플란트 화명동구강외과,,0.331294,0.258906,0.34833,,0,-,-,,-,-,-
15,19514640,프라임치과의원,101,96,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,,,0.331294,0.25584,0.348099,,0,-,-,,-,-,-
16,1002089047,만덕탑치과의원,252,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,임플란트 사랑니발치 보존치료 소아치료 만덕치과,,0.33134,0.252594,0.347871,,0,-,-,,-,-,-
17,1363786463,만덕연세비앤이치과의원,417,643,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,임플란트 턱관절 야간치과 심미보철 무통마취,,0.33134,0.246458,0.347408,,0,-,-,,-,-,-
18,11535456,사과나무치과병원,140,562,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 치아교정 보철 치아미백 어르신틀니,,0.331294,0.241414,0.34701,,0,-,-,,-,-,-
19,37485797,홍치과의원,5,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.239717,0.346882,,0,-,-,,-,-,-
20,13249951,덕천치과의원,8,378,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.237658,0.346727,,0,-,-,,-,-,-
21,1262707675,포미치과의원,328,309,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,덕천치과 덕천임플란트 덕천치아미백 덕천역치과 덕천야간진료치과,,0.33134,0.235509,0.346582,,0,-,-,,-,-,-
22,1866996978,2080치과의원,4,290,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 사랑니발치 충치치료 신경치료 틀니,,0.331294,0.23297,0.346373,,0,-,-,,-,-,-
23,37690340,화명고운치과의원,23,269,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,,,0.331294,0.227518,0.345962,,0,-,-,,-,-,-
24,13249893,우리치과의원,1,216,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트교정,,0.331294,0.225755,0.345829,,0,-,-,,-,-,-
25,1139138849,새봄치과의원,27,151,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화명동치과 화명낙천대치과 부산북구치과 부산금곡동치과 화명동충치치료,,0.33134,0.223897,0.345706,,0,-,-,,-,-,-
26,37607382,서울삼성치과의원,292,505,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,덕천임플란트 덕천치과 부산잇몸치료 부산치주과 자기치아살리기보존과,,0.33134,0.223161,0.34565,,0,-,-,,-,-,-
27,13249856,화명서울치과의원,1,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,치과 치아교정 잇몸치료 교정전문 임플란트,,0.33134,0.217887,0.345252,,0,-,-,,-,-,-
28,19533024,구포김치과의원,1,171,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,,,0.331294,0.217484,0.345204,,0,-,-,,-,-,-
29,31734407,카이저치과의원,1,98,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.212221,0.344807,,0,-,-,,-,-,-
30,32699881,유디화명치과의원,4,258,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,임플란트 충치치료 스케일링 화명동치과 부산북구치과,,0.33134,0.206716,0.344409,,0,-,-,,-,-,-
