place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,36827221,다믿주치과의원 부산,7378,1143,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,부산치과 부산임플란트 부산충치치료 서면사랑니발치 서면치과,,0.33134,0.511537,0.400622,,5,320.0,5.0,,0.0177,0.027972,0.008791
2,1522550380,고르다치과의원 부산점,4400,534,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치과 부산오스템임플란트 서면치아미백라미네이트치과 부산충치신경치료 사랑니발치심미보철,,0.33134,0.509574,0.400474,,0,439.0,54.0,,0.0177,0.007967,0.007281
3,1286518554,365드림치과병원 수영,2366,1288,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치과 부산교정치과 부산라미네이트 부산수영치과 부산인비절라인,,0.33134,0.480685,0.398293,,5,-4.0,8.0,,0.0177,0.012293,0.007607
4,13021314,1945김근치과의원 서면,5449,427,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,서면치과 부산치과 뼈이식임플란트 라미네이트심미보철치료 서면스케일링,,0.33134,0.47762,0.398062,,-3,253.0,0.0,,0.0177,-0.04197,0.003512
5,37933246,디지털아트치과의원 서면,4243,730,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,서면치과 임플란트 라미네이트 부산치과 전체임플란트,,0.33134,0.469904,0.39748,,2,459.0,-1.0,,0.0177,-0.001618,0.006558
6,1817057026,리셋치과의원 부산서면,4911,571,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서면치과전문의 부산뼈이식임플란트 미니쉬라미네이트 서면고난도임플란트 부산틀니,,0.33134,0.469286,0.397433,,-3,219.0,1.0,,0.0177,-0.024269,0.004848
7,1956846259,서면뉴욕치과의원,2348,449,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치아교정 부산치과 서면치아교정 서면임플란트 서면치과,,0.33134,0.468901,0.397404,,-2,386.0,4.0,,0.0177,-0.018057,0.005317
8,1060480489,서면오늘플란트치과의원,3604,242,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서면치과 서면임플란트 부산치과 부산임플란트 부산사랑니발치,,0.33134,0.465573,0.397153,,3,371.0,2.0,,0.0177,0.012341,0.007611
9,1189708606,하이브치과의원 부산서면,4159,183,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서면치과 부산치과 서면임플란트 부산치아미백 서면스케일링,,0.33134,0.463317,0.396982,,-5,204.0,0.0,,0.0177,-0.024665,0.004817
10,1263686518,플란치과병원 부산점,2207,2899,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치과 부산임플란트 범내골치과 임플란트 서면치과,,0.33134,0.458325,0.396606,,3,421.0,6.0,,0.0177,0.015314,0.007835
11,36936225,시에스치과병원 서면,1961,1196,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,전체임플란트 부산임플란트 서면치과 서면교정치과 부산치과,,0.33134,0.449903,0.39597,,-1,0.0,-3.0,,0.0177,-0.008462,0.006041
12,12835266,굿윌치과병원 서면,3081,1374,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산임플란트 서면교정치과 부산턱관절 부산미백치과 서면사랑니발치,,0.33134,0.448797,0.395887,,0,250.0,0.0,,0.0177,-0.004377,0.006349
13,1593708063,덕천38플란트치과의원 부산 덕천,1469,349,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산덕천치과 전체임플란트 매복사랑니발치 잇몸치료 보존치료,,0.33134,0.440523,0.395262,,3,147.0,4.0,,0.0177,0.003929,0.006976
14,33647236,바른윤곽치과병원 서면,1699,894,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 양악수술 안면윤곽 매복사랑니발치 치아교정,,0.331294,0.436299,0.394926,,3,5.0,3.0,,0.0177,0.002359,0.006857
15,30831496,이좋은치과의원,2232,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,동래치과 동래임플란트 치아교정치과 사랑니발치 턱관절치과,,0.33134,0.431496,0.394581,Hot,11,165.0,2.0,,0.0177,0.028503,0.008831
16,903340344,예바치과교정과의원,1152,1195,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,치아교정 교정치과 투명교정 인비절라인 예쁜미소바른이치과,,0.33134,0.429266,0.394413,,4,50.0,2.0,,0.0177,0.008176,0.007297
17,19997433,스마트e치과의원 서면,3431,652,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서면치과 부산치과 서면임플란트 라미네이트 치아교정,,0.33134,0.419344,0.393664,,-3,58.0,3.0,,0.0177,-0.02297,0.004946
18,1502465057,진심을 담은 치과교정과 치과의원,1153,403,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동래치아교정 부산치아교정 부산인비절라인 동래치과 치과교정과전문의,,0.33134,0.418599,0.393608,Hot,10,277.0,1.0,,0.0177,0.017189,0.007977
19,1016296411,수영센텀치과의원,1043,586,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,수면임플란트재수술 매복사랑니발치 충치치료 턱관절장애치료 수영구전문의치과,,0.33134,0.416397,0.393441,,6,28.0,5.0,,0.0177,0.012896,0.007652
20,932451673,우리바른치과의원 해운대,621,207,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,해운대치과 치아교정 임플란트 장산역치과 부산부분교정,,0.33134,0.416173,0.393424,,-1,-1.0,8.0,,0.0177,-0.007483,0.006114
21,1636945897,해운대온담치과의원,598,443,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 전체임플란트 사랑니발치 충치치료,,0.33134,0.415987,0.39341,,0,28.0,35.0,,0.0177,-0.004021,0.006376
22,1865257889,닥터배치과의원,866,955,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,연산동치과 연산역치과 연산동사랑니 연산동임플란트 부산치주과,,0.33134,0.41583,0.393399,Hot,27,29.0,9.0,,0.0177,0.041648,0.009823
23,1351622905,광안뉴욕치과의원,672,305,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산임플란트 부산치아교정 부산치과 부산어린이치과 수영치과,,0.33134,0.415551,0.393378,,7,24.0,1.0,,0.0177,0.016512,0.007926
24,1027602401,남천바른생각치과의원,1194,507,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,남천동치과 남천동임플란트 부산심미레진치과 부산앞니레진치과 부산앞니치료,,0.33134,0.415072,0.393341,,5,87.0,3.0,,0.0177,0.015944,0.007882
25,2082904520,미남미소치과의원,928,102,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 미남역치과 보철치료 미백,,0.33134,0.41369,0.393237,,-16,141.0,16.0,,0.0177,-0.053388,0.00265
26,37129219,서울하이안치과의원,1512,549,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,좌동치과 해운대치과 해운대임플란트 좌동임플란트 좌동충치치료,,0.33134,0.406548,0.392698,,8,166.0,4.0,,0.0177,0.015854,0.007876
27,1290030027,바른치과의원,372,464,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동래치과 온천장치과 임플란트 치아교정 온천장역치과,,0.33134,0.400488,0.392241,,6,83.0,2.0,,0.0177,0.00919,0.007373
28,1480548114,서울뿌리튼튼치과의원,2326,1350,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,부산치과 부산임플란트 연산역치과 연제구치과 야간진료,,0.33134,0.399371,0.392156,,-10,290.0,6.0,,0.0177,-0.025431,0.00476
29,13250978,참좋은치과의원,1041,427,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전체임플란트 임플란트틀니 사랑니발치 충치신경보철치료 치주보존잇몸질환치료,,0.331294,0.397293,0.391982,,-2,80.0,3.0,,0.0177,-0.005494,0.006265
30,31098757,센텀타워치과의원,406,444,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,치과 임플란트 해운대치과 센텀치과 해운대임플란트,,0.33134,0.395257,0.391846,Hot,23,164.0,6.0,,0.0177,0.031138,0.00903
31,36398883,더착한치과의원,764,339,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,부산명지치과 명지임플란트 명지치과 국제신도시치과 오션시티치과,,0.33134,0.393046,0.391679,,-8,34.0,0.0,,0.0177,-0.014792,0.005563
32,1992921077,명지화이트치과의원,619,160,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,명지치과 명지임플란트 치아미백 치아교정 스케일링,,0.33134,0.392992,0.391675,Hot,15,32.0,8.0,,0.0177,0.016668,0.007937
33,1468260576,제일바른치과교정과치과의원,418,228,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,교정전문치과 교정전문의 사직동교정치과 거제동교정치과 청소년치아교정,,0.33134,0.392485,0.391637,,4,3.0,0.0,,0.0177,0.004945,0.007053
34,13249565,다대치과의원,247,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,다대포치과 다대동치과 임플란트 틀니 사하구치과,,0.33134,0.392072,0.391606,,1,29.0,0.0,,0.0177,0.001802,0.006816
35,11819812,리더스치과의원 덕천,1694,140,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,덕천치과 덕천동치과 수면치료 화명동치과 덕천임플란트,,0.33134,0.391369,0.391552,,-4,67.0,0.0,,0.0177,-0.007011,0.00615
36,1715690225,대명치과의원 대연점,1132,463,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,대연동치과 부산임플란트 대연동임플란트 부산남구치과 부산치주과전문의,,0.33134,0.390182,0.391463,,4,16.0,0.0,,0.0177,0.007418,0.007239
37,12837864,메디스치과의원 서면,1380,645,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,부산임플란트 부산치과 서면임플란트 치아교정 서면치과,,0.33134,0.38747,0.391258,,9,0.0,0.0,,0.0177,0.010392,0.007464
38,1088714048,이티치과의원,821,297,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치과 임플란트 치아교정 사랑니발치 충치치료,,0.33134,0.386694,0.3912,,5,90.0,3.0,,0.0177,0.007401,0.007238
39,1276680796,365효플란트치과의원,1500,514,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 하단치과 부산임플란트 사하구치과 하단역치과,,0.33134,0.386268,0.391167,,6,45.0,7.0,,0.0177,0.008549,0.007324
40,1201116357,메디스치과의원 경성대,777,757,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,경성대치과 부산남구치과 대연동임플란트 대연동치과 부산전체임플란트,,0.33134,0.385945,0.391143,,-18,50.0,5.0,,0.0177,-0.027853,0.004577
41,35023319,유앤아이치과병원,1229,1323,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,연산동치과 연제구치과 부산치과병원 부산임플란트 부산구강악안면외과,,0.33134,0.385316,0.391096,,9,111.0,5.0,,0.0177,0.012748,0.007642
42,1046130166,더블치과교정과치과의원,2212,489,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산교정치과 치아교정 정관교정치과 양산교정치과 민생지원금,,0.33134,0.385163,0.391084,,2,-2.0,2.0,,0.0177,0.006415,0.007164
43,37296558,디에스다솜치과의원,762,1363,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,연산동치과 부산치과 연제구치과 동래치과 연산동임플란트,,0.33134,0.384933,0.391067,,-2,74.0,3.0,,0.0177,0.00265,0.00688
44,1712510623,센텀뉴욕치과의원,755,1005,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,해운대치과 해운대임플란트 해운대치아교정 부산치과 센텀치과,,0.33134,0.384563,0.391039,,-12,28.0,5.0,,0.0177,-0.011958,0.005777
45,37548173,베리웰치과의원,1640,680,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,사랑니발치 치주잇몸질환치료 네비게이션임플란트재수술 충치신경치료 해운대앞니교정,,0.331294,0.38289,0.390895,,6,114.0,2.0,,0.0177,0.01318,0.007674
46,36410823,the화이트e치과의원,354,357,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,더화이트이치과 하단치과 사하구치과 사하구임플란트 사하구교정,,0.33134,0.381259,0.390789,,-8,9.0,2.0,,0.0177,-0.005448,0.006268
47,1530118685,광안리동백나무치과의원,353,535,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 충치치료 치주염잇몸질환 네비게이션보험임플란트 광안리치과,,0.33134,0.378128,0.390553,,-8,21.0,1.0,,0.0177,-0.005993,0.006227
48,1562950128,덕천퍼스트치과의원,1149,178,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 야간진료 덕천동치과 덕천동임플란트,,0.33134,0.376292,0.390415,Hot,12,-5.0,0.0,,0.0177,0.020776,0.008248
49,1846408648,명지이편한치과의원,500,513,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,명지치과 임플란트 사랑니발치 주말진료 부산치과,,0.33134,0.373096,0.390173,,-1,29.0,5.0,,0.0177,-0.001511,0.006565
50,1707786996,명인이플란트치과의원,727,511,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,대연동치과 대연동임플란트 대연역치과 대연치과 대연동사랑니,,0.33134,0.372082,0.390097,Hot,17,91.0,0.0,,0.0177,0.033505,0.009208
